SA2,Postgraduate Degree Level,Graduate Diploma and Graduate Certificate Level,Bachelor Degree Level,Advanced Diploma and Diploma Level,Certificate III & IV Level,Secondary Education - Years 10 and above,Certificate I & II Level,Secondary Education - Years 9 and below,Supplementary Codes,Not stated,Total
Arundel,115,40,291,182,176,318,0,14,54,112,1301
Biggera Waters,87,26,321,165,146,321,0,25,50,158,1299
Coombabah,45,26,189,207,222,339,0,27,46,106,1214
Labrador,143,45,552,370,374,636,0,73,106,294,2596
Paradise Point - Hollywell,51,25,250,147,149,267,0,7,37,73,1008
Runaway Bay,46,29,222,128,111,243,3,11,29,61,885
Guanaba - Springbrook,18,8,115,75,77,127,0,8,22,133,583
Tamborine - Canungra,66,48,338,238,244,381,0,15,48,144,1523
Currumbin Valley - Tallebudgera,44,21,237,108,111,166,0,3,23,59,783
Mudgeeraba - Bonogin,122,89,618,404,382,584,0,20,86,174,2478
Reedy Creek - Andrews,78,39,338,164,180,300,0,12,44,77,1231
Carrara,75,44,377,261,263,404,0,20,47,113,1613
Highland Park,26,23,212,192,203,332,5,18,32,71,1115
Nerang - Mount Nathan,92,83,512,454,536,828,0,41,94,211,2843
Pacific Pines - Gaven,116,80,559,481,524,852,0,45,120,218,2994
Worongary - Tallai,46,31,203,128,133,227,0,9,26,65,878
Coomera,83,46,405,409,388,633,0,43,97,196,2297
Helensvale,114,42,438,347,301,547,3,27,91,169,2077
Hope Island,80,20,319,181,143,317,0,10,47,130,1238
Jacobs Well - Alberton,4,5,61,44,87,133,0,13,22,36,412
Ormeau - Yatala,105,71,600,508,561,883,4,45,109,234,3119
Oxenford - Maudsland,90,58,453,402,447,668,3,34,74,178,2404
Pimpama,47,33,208,278,363,486,0,26,59,212,1718
Upper Coomera - Willow Vale,183,116,916,844,1012,1579,5,73,163,386,5277
Clear Island Waters,31,7,118,66,33,80,0,5,17,37,394
Merrimac,41,17,232,194,164,293,0,11,31,82,1070
Robina,247,80,796,486,400,717,0,26,99,216,3074
Varsity Lakes,168,64,621,406,350,577,0,35,69,183,2480
Ashmore,89,40,358,256,209,372,0,14,49,121,1506
Molendinar,53,26,211,144,124,218,0,18,24,62,881
Parkwood,77,23,255,148,143,282,0,14,29,69,1048
Southport - North,212,44,578,307,245,551,0,43,73,258,2317
Southport - South,204,46,641,367,252,556,0,43,79,220,2418
Benowa,78,29,270,145,95,211,0,14,37,77,958
Bundall,45,15,143,86,57,125,0,0,24,54,559
Main Beach,46,13,164,52,40,96,0,3,6,71,485
Surfers Paradise,258,69,990,462,377,901,0,44,141,691,3937
Darra - Sumner,48,18,218,96,94,184,0,31,27,109,828
Durack,83,23,265,128,137,279,0,69,54,131,1164
Forest Lake - Doolandella,339,117,1089,534,574,1162,5,103,162,292,4372
Inala - Richlands,78,26,321,228,278,848,11,254,148,368,2560
Oxley (Qld),149,64,475,131,104,234,0,14,30,117,1321
Wacol,19,0,44,40,52,144,0,25,20,276,613
Boonah,19,26,208,147,240,452,3,30,56,125,1306
Esk,4,4,70,51,85,149,0,22,21,50,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0,0,0,0
Lockyer Valley - East,42,46,277,294,454,782,0,95,76,238,2300
Lowood,19,23,201,206,374,600,0,45,62,172,1706
Rosewood,32,20,160,177,287,436,5,23,42,108,1302
Brassall,34,31,249,216,306,526,0,42,57,103,1562
Bundamba,34,26,147,152,240,417,0,41,39,142,1233
Churchill - Yamanto,16,13,147,135,234,333,0,30,40,64,1011
Ipswich - Central,35,34,199,100,113,201,0,25,26,79,810
Ipswich - East,67,61,404,289,451,756,3,76,63,205,2382
Ipswich - North,13,10,124,75,121,198,0,6,10,33,587
Karalee - Barellan Point,33,21,174,89,129,193,0,9,22,35,703
Karana Downs,73,47,223,99,115,194,0,5,17,36,798
Leichhardt - One Mile,11,14,103,104,221,417,0,58,39,135,1102
North Ipswich - Tivoli,15,20,126,117,178,283,0,33,24,62,852
Raceview,46,42,341,311,470,761,0,46,73,135,2219
Ripley,15,12,174,112,177,220,0,6,19,70,809
Riverview,4,6,31,45,76,120,0,22,11,50,365
Bellbird Park - Brookwater,147,59,608,327,396,618,0,23,70,168,2423
Camira - Gailes,24,22,204,180,231,397,0,34,36,102,1230
Carole Park,0,0,0,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,23,27,158,158,249,431,3,35,62,88,1241
Goodna,45,32,197,187,272,575,3,67,70,192,1648
New Chum,0,0,0,0,0,0,0,0,0,0,0
Redbank Plains,78,36,341,404,620,1133,5,111,134,275,3130
Springfield,51,32,222,146,205,340,0,21,36,65,1126
Springfield Lakes,201,79,820,462,501,838,5,27,102,166,3201
Beaudesert,25,23,190,174,313,574,0,49,64,151,1566
Beenleigh,23,10,128,139,214,377,0,56,37,124,1105
Eagleby,34,25,144,227,345,620,3,78,78,148,1702
Edens Landing - Holmview,36,17,179,175,222,417,0,37,48,74,1215
Mount Warren Park,15,15,119,101,156,278,0,15,26,57,781
Wolffdene - Bahrs Scrub,27,21,129,127,141,257,0,15,31,61,809
Boronia Heights - Park Ridge,31,29,223,212,326,529,0,45,69,130,1584
Browns Plains,41,13,179,154,199,380,0,33,52,102,1160
Chambers Flat - Logan Reserve,12,6,102,79,122,227,0,21,24,54,644
Crestmead,12,18,155,199,394,692,7,69,93,198,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0,0,0,0
Hillcrest,30,30,214,153,207,370,6,31,45,51,1137
Marsden,33,16,193,238,443,793,0,106,106,284,2211
Munruben - Park Ridge South,6,11,99,67,85,184,0,11,21,28,511
Regents Park - Heritage Park,55,50,363,306,441,828,3,52,93,137,2343
Greenbank,35,47,314,242,338,596,3,27,64,92,1756
Jimboomba,71,83,540,552,797,1221,0,60,148,279,3741
Logan Village,15,24,136,112,161,275,0,18,23,75,829
Bethania - Waterford,48,36,236,214,300,503,0,35,48,138,1549
Cornubia - Carbrook,46,30,269,168,162,266,0,11,28,65,1040
Loganholme - Tanah Merah,40,34,294,259,369,539,0,27,54,121,1737
Loganlea,43,33,226,179,293,455,5,54,71,172,1527
Shailer Park,62,51,420,221,245,428,0,17,56,83,1597
Waterford West,27,11,110,113,190,392,0,22,39,92,1001
Daisy Hill,68,38,267,152,148,218,0,10,33,49,980
Kingston (Qld.),27,8,110,133,243,473,4,66,75,209,1346
Logan Central,13,4,56,78,116,259,6,92,75,82,777
Rochedale South - Priestdale,157,85,679,329,342,621,0,18,49,97,2389
Slacks Creek,50,22,217,173,281,479,3,70,73,133,1499
Springwood,106,43,334,170,187,355,0,14,35,103,1345
Underwood,118,26,368,131,98,242,0,13,39,57,1094
Woodridge,58,15,183,176,292,592,4,146,140,158,1764
Bowen,21,21,164,94,191,428,0,41,41,142,1142
Broadsound - Nebo,15,30,173,97,228,442,0,18,37,209,1244
Clermont,6,12,102,46,88,209,0,4,12,65,546
Collinsville,0,4,50,30,69,165,0,15,5,61,398
Moranbah,39,34,300,128,307,501,0,21,57,204,1592
Andergrove - Beaconsfield,34,53,347,211,431,818,0,47,55,128,2119
East Mackay,13,9,116,35,78,135,0,7,16,39,452
Eimeo - Rural View,45,43,430,221,388,612,4,34,64,160,1999
Eungella Hinterland,0,0,0,0,0,0,0,0,0,0,0
Mackay,26,20,138,41,67,157,0,10,20,83,558
Mackay Harbour,4,0,19,10,6,10,0,0,0,18,68
Mount Pleasant - Glenella,40,37,352,149,202,454,0,13,44,67,1356
North Mackay,13,17,134,66,160,251,0,24,29,68,767
Ooralea - Bakers Creek,15,19,137,54,126,257,4,12,17,66,705
Pioneer Valley,9,25,170,102,232,450,0,15,38,98,1147
Sarina,14,19,162,120,269,571,0,29,59,178,1420
Seaforth - Calen,12,15,129,66,146,319,0,18,28,84,825
Shoal Point - Bucasia,13,17,139,92,189,330,0,10,18,62,863
Slade Point,6,8,65,43,80,156,0,13,9,38,425
South Mackay,20,14,160,96,176,319,0,14,25,64,900
Walkerston - Eton,11,16,136,101,208,422,0,11,24,82,1015
West Mackay,20,19,219,62,139,204,0,14,20,69,777
Airlie - Whitsundays,55,41,401,334,347,565,4,27,58,443,2284
Cape Conway,0,0,0,0,0,0,0,0,0,0,0
Proserpine,8,21,128,104,198,321,6,32,37,102,943
Beachmere - Sandstone Point,24,28,190,187,332,486,0,48,49,131,1470
Bribie Island,35,36,191,166,227,400,0,41,48,85,1238
Burpengary - East,5,6,88,71,85,157,0,9,27,25,467
Caboolture,52,60,441,455,807,1214,0,128,150,352,3667
Caboolture - South,33,42,280,413,677,1083,4,128,114,247,3025
Elimbah,6,15,76,72,102,161,0,7,16,38,496
Morayfield - East,11,16,102,160,271,457,4,42,43,82,1201
Wamuran,7,3,80,64,93,164,0,9,16,33,471
Kilcoy,11,12,85,60,93,215,6,18,20,61,578
Woodford - D'Aguilar,10,15,100,101,191,247,0,15,31,101,810
Burpengary,36,46,253,275,379,563,0,44,63,128,1781
Deception Bay,25,42,314,377,563,937,5,103,97,270,2738
Morayfield,10,8,82,69,95,142,0,8,16,27,474
Narangba,52,91,530,426,604,857,0,45,88,148,2829
Upper Caboolture,11,7,49,42,66,117,0,6,5,32,334
Clontarf,30,26,197,127,190,329,0,32,23,76,1031
Margate - Woody Point,48,40,296,211,270,422,0,39,42,98,1469
Redcliffe,38,19,212,152,196,312,3,26,40,114,1114
Rothwell - Kippa-Ring,29,45,293,287,430,706,0,63,75,152,2086
Scarborough - Newport - Moreton Island,63,38,291,182,175,314,5,20,40,116,1243
Albany Creek,99,74,592,299,269,417,0,7,43,70,1876
Cashmere,118,84,785,471,498,740,0,20,80,87,2882
Dayboro,37,39,279,156,134,252,0,5,38,100,1031
Eatons Hill,54,48,323,163,159,244,0,4,29,37,1070
The Hills District,225,214,1232,456,422,687,0,13,89,133,3472
Samford Valley,119,64,463,146,106,226,0,8,32,75,1232
Dakabin - Kallangur,65,80,585,482,827,1214,3,87,128,261,3730
Murrumba Downs - Griffin,102,72,616,488,516,820,0,39,84,177,2906
North Lakes - Mango Hill,281,155,1325,840,885,1307,0,53,150,314,5309
Bray Park,32,35,242,211,334,485,0,34,45,71,1496
Lawnton,29,24,168,119,181,253,0,18,27,51,863
Petrie,31,50,268,183,252,343,0,16,35,80,1257
Strathpine - Brendale,57,41,309,242,350,586,0,30,56,100,1783
Aurukun,3,0,5,3,12,94,0,49,3,14,182
Cape York,15,17,109,64,152,332,4,67,23,149,936
Croydon - Etheridge,0,0,17,17,14,53,0,7,3,31,139
Kowanyama - Pormpuraaw,3,3,10,5,28,176,0,19,5,33,274
Northern Peninsula,0,6,29,48,83,174,0,9,9,35,392
Tablelands,12,7,72,52,77,179,0,10,11,66,487
Torres,20,16,96,49,81,156,4,3,10,163,605
Torres Strait Islands,3,9,21,39,137,266,0,13,8,90,587
Weipa,20,23,141,58,128,191,0,10,15,78,674
Carpentaria,7,10,63,32,67,339,0,42,7,116,690
Mount Isa,93,83,548,235,464,1007,3,78,80,376,2972
Mount Isa Region,12,12,75,41,58,143,0,19,5,75,441
Northern Highlands,5,12,79,28,48,153,0,19,4,38,381
Barcaldine - Blackall,11,8,125,39,108,200,0,12,19,57,581
Charleville,16,16,121,43,65,190,0,21,8,61,546
Far Central West,12,3,35,18,53,90,0,7,9,38,256
Far South West,7,9,45,28,66,125,0,13,9,26,329
Longreach,11,19,122,38,80,136,0,10,11,51,479
Buderim - North,89,61,504,244,282,389,0,14,67,119,1755
Buderim - South,105,85,544,288,284,423,0,12,46,86,1876
Mountain Creek,66,46,439,267,322,432,0,15,62,98,1750
Sippy Downs,57,33,309,203,255,343,5,19,40,90,1346
Aroona - Currimundi,27,37,268,174,231,332,5,21,45,43,1176
Buddina - Minyama,30,17,188,111,111,179,4,4,20,40,715
Caloundra - Kings Beach,26,18,149,85,109,151,0,18,31,73,669
Caloundra - West,71,69,584,435,531,769,4,42,94,155,2759
Golden Beach - Pelican Waters,37,25,231,173,191,278,0,20,34,61,1056
Moffat Beach - Battery Hill,46,27,242,119,149,211,0,14,20,48,881
Parrearra - Warana,40,36,292,173,177,317,0,11,40,77,1159
Wurtulla - Birtinya,43,45,238,147,182,266,0,15,30,69,1038
Coolum Beach,101,73,527,314,338,448,0,18,61,133,2006
Marcoola - Mudjimba,51,29,302,198,201,345,0,14,32,75,1252
Maroochydore - Kuluin,134,58,602,352,422,612,0,45,96,188,2500
Mooloolaba - Alexandra Headland,85,48,422,198,221,352,0,17,41,181,1564
Noosa Heads,22,12,113,78,36,92,0,4,12,39,417
Noosaville,28,20,199,133,135,196,0,12,28,58,807
Sunshine Beach,41,26,222,114,110,165,0,6,32,59,775
Tewantin,31,18,162,158,195,297,0,25,30,64,982
Peregian Beach - Marcus Beach,30,11,140,66,41,78,0,0,5,37,412
Peregian Springs,47,41,266,183,163,273,0,4,32,101,1104
Beerwah,11,25,165,134,220,336,0,19,34,80,1024
Caloundra Hinterland,38,23,166,100,115,171,0,10,24,42,686
Glass House Mountains,15,18,125,97,157,190,0,14,28,37,683
Landsborough,40,31,229,186,229,370,0,20,40,105,1249
Maroochy Hinterland,25,11,129,57,100,148,0,13,17,41,532
Palmwoods,34,48,263,178,216,316,0,12,39,60,1169
Bli Bli,39,34,253,190,216,289,0,13,29,68,1128
Diddillibah - Rosemount,11,20,91,54,77,94,0,5,10,37,394
Eumundi - Yandina,45,32,283,179,180,310,0,32,29,84,1176
Nambour,65,76,476,350,554,694,5,53,69,167,2509
Noosa Hinterland,61,65,501,327,376,578,0,32,71,166,2171
Cambooya - Wyreema,41,25,194,119,168,263,0,14,28,79,928
Darling Heights,172,43,514,221,277,501,0,56,74,128,1988
Drayton - Harristown,47,24,227,143,240,396,4,49,37,117,1294
Gatton,46,12,204,95,148,355,0,48,54,111,1070
Gowrie (Qld),24,24,162,116,208,247,0,11,20,54,872
Highfields,44,69,447,187,257,371,0,15,43,70,1505
Lockyer Valley - West,35,32,252,158,214,410,0,28,38,128,1307
Middle Ridge,71,29,287,67,101,161,0,7,28,21,785
Newtown (Qld),36,24,277,147,268,388,0,30,35,112,1319
North Toowoomba - Harlaxton,31,24,161,84,133,208,4,24,16,63,748
Rangeville,80,42,306,104,151,212,0,11,25,58,988
Toowoomba - Central,80,64,451,213,297,450,4,24,56,143,1784
Toowoomba - East,108,53,402,134,138,223,0,11,29,90,1181
Toowoomba - West,56,40,354,216,364,537,0,32,49,112,1763
Wilsonton,29,20,210,176,346,575,4,57,47,139,1589
Ayr,10,17,184,75,169,392,0,28,25,99,998
Burdekin,9,18,109,82,128,324,0,24,29,57,779
Charters Towers,14,23,150,75,140,360,0,35,24,109,935
Dalrymple,10,6,54,36,90,170,0,4,11,56,430
Ingham,4,0,61,41,68,159,0,13,8,38,397
Ingham Region,9,11,93,38,114,200,0,13,19,50,547
Palm Island,0,8,8,6,40,184,0,33,3,25,315
Aitkenvale,33,20,173,85,78,176,0,20,26,60,664
Annandale,73,39,331,122,147,248,0,8,36,63,1060
Belgian Gardens - Pallarenda,30,18,135,37,42,68,0,7,12,40,380
Bohle Plains,44,33,288,139,255,334,0,9,28,64,1185
Condon - Rasmussen,22,22,224,147,306,496,3,49,44,108,1418
Cranbrook,40,20,167,90,110,195,0,25,27,50,733
Deeragun,101,86,751,511,897,1186,0,69,88,266,3969
Douglas,115,45,390,112,109,200,0,4,22,64,1070
Garbutt - West End,40,39,201,101,142,255,0,16,23,121,942
Gulliver - Currajong - Vincent,31,36,201,109,205,367,0,21,34,83,1093
Heatley,17,12,80,59,102,188,0,14,27,48,544
Hermit Park - Rosslea,47,38,213,90,119,199,0,17,17,67,805
Hyde Park - Pimlico,21,24,182,85,101,158,0,13,13,45,642
Kelso,18,22,199,173,300,556,0,53,44,137,1504
Kirwan - East,21,13,153,106,204,350,0,40,30,69,988
Kirwan - West,54,69,499,293,434,697,0,24,65,141,2283
Magnetic Island,18,10,47,19,28,62,0,7,4,31,217
Mount Louisa,44,50,400,197,311,393,3,15,28,87,1533
Mundingburra,20,17,117,44,67,99,0,6,6,21,397
Northern Beaches,13,15,116,62,162,245,0,13,28,77,732
Oonoonba,65,34,341,116,152,263,0,9,29,58,1076
South Townsville - Railway Estate,51,39,202,82,96,174,0,10,19,92,772
Townsville - South,21,8,97,52,90,161,3,5,15,28,487
Townsville City - North Ward,135,53,487,125,142,232,0,14,24,178,1388
Wulguru - Roseneath,12,15,102,68,114,235,0,19,29,169,763
Ashfield - Kepnock,7,14,104,74,108,218,0,26,13,37,612
Bargara - Burnett Heads,69,47,448,191,299,490,0,46,42,105,1729
Branyan - Kensington,11,9,92,57,118,201,0,17,18,36,555
Bundaberg,25,14,141,70,131,277,5,32,26,99,814
Bundaberg East - Kalkie,24,18,131,70,142,231,0,25,23,50,718
Bundaberg North - Gooburrum,6,11,102,67,99,272,0,28,29,70,683
Bundaberg Region - North,12,9,112,91,182,292,0,34,27,103,868
Bundaberg Region - South,11,13,101,84,171,296,0,27,33,90,834
Millbank - Avoca,17,17,131,87,158,273,0,24,24,68,792
Svensson Heights - Norville,4,9,103,71,131,221,0,24,27,53,643
Walkervale - Avenell Heights,9,25,176,119,278,446,0,46,49,109,1273
Gayndah - Mundubbera,7,9,112,58,118,251,0,21,28,96,705
Gin Gin,3,5,55,36,73,174,0,30,18,58,451
Kingaroy,27,29,218,141,285,423,4,43,32,91,1301
Kingaroy Region - North,14,22,123,89,158,350,0,65,24,97,934
Kingaroy Region - South,4,4,68,51,93,126,0,9,17,41,419
Monto - Eidsvold,11,16,58,35,67,119,0,9,15,56,375
Nanango,11,10,99,78,173,297,0,35,48,83,835
North Burnett,0,0,0,0,0,0,0,0,0,0,0
Cooloola,9,6,44,40,95,164,0,17,25,50,444
Gympie - North,18,26,187,194,397,596,4,54,51,139,1666
Gympie - South,3,14,106,80,180,271,0,24,22,54,751
Gympie Region,24,39,247,250,395,616,5,43,56,186,1870
Kilkivan,9,5,31,38,59,132,0,11,17,45,356
Booral - River Heads,9,10,72,55,102,174,0,11,16,38,489
Craignish - Dundowran Beach,26,11,96,61,97,140,0,5,11,30,482
Pialba - Eli Waters,41,24,267,154,287,396,0,55,59,119,1408
Point Vernon,3,16,98,87,93,179,0,21,16,44,562
Torquay - Scarness - Kawungan,33,37,267,159,314,433,0,46,50,139,1485
Urangan - Wondunna,28,41,234,144,282,406,0,31,42,127,1335
Burrum - Fraser,13,15,104,83,182,307,0,41,33,98,882
Granville,3,3,24,24,81,110,0,18,14,40,318
Maryborough (Qld),31,26,223,164,409,663,7,76,52,174,1821
Maryborough Region - South,4,11,84,67,154,247,0,18,15,85,680
Tinana,11,9,100,52,135,213,0,25,20,48,604
Migratory - Offshore - Shipping (Qld),0,0,0,0,8,5,0,0,0,0,12
No Usual Address (Qld),66,20,363,126,165,306,0,38,56,370,1518
Adelaide,493,64,1012,214,123,341,0,15,44,254,2560
North Adelaide,168,27,407,58,51,105,0,0,21,87,923
Adelaide Hills,28,16,152,89,110,156,0,9,21,50,640
Aldgate - Stirling,234,115,796,198,171,253,0,3,45,79,1889
Hahndorf - Echunga,32,14,130,44,65,94,0,5,19,27,429
Lobethal - Woodside,46,36,264,128,171,219,0,12,33,40,953
Mount Barker,102,80,568,303,451,590,0,36,101,154,2378
Mount Barker Region,21,22,162,87,148,193,0,12,38,48,739
Nairne,23,23,177,104,155,203,0,9,19,48,771
Uraidla - Summertown,61,32,213,57,63,103,0,5,15,29,574
Burnside - Wattle Park,320,116,943,196,118,283,0,7,38,82,2109
Glenside - Beaumont,166,41,477,96,55,139,0,0,16,45,1033
Toorak Gardens,312,94,806,145,99,225,0,15,37,67,1794
Athelstone,76,45,369,148,130,226,0,6,32,25,1060
Paradise - Newton,311,71,791,294,309,532,4,25,85,116,2534
Rostrevor - Magill,409,133,1093,286,260,487,0,28,80,135,2911
Norwood (SA),285,73,643,136,89,208,0,5,24,121,1580
Payneham - Felixstow,209,79,709,169,153,294,0,10,41,71,1745
St Peters - Marden,274,87,746,146,116,250,0,7,54,77,1747
Nailsworth - Broadview,121,36,362,82,78,174,0,6,22,48,928
Prospect,260,88,790,187,180,333,0,7,56,111,2017
Walkerville,124,35,328,78,48,122,0,3,17,51,814
Goodwood - Millswood,401,145,1039,238,184,337,0,11,54,129,2542
Unley - Parkside,415,160,1147,225,164,341,0,8,68,130,2655
Gawler - North,32,23,194,176,265,389,0,17,35,69,1203
Gawler - South,67,42,367,326,510,678,5,50,86,144,2273
Lewiston - Two Wells,7,11,74,79,148,258,0,19,22,56,683
Craigmore - Blakeview,51,35,338,334,598,949,5,70,115,158,2656
Davoren Park,33,29,179,249,641,1065,13,130,136,256,2731
Elizabeth,13,11,85,84,185,481,4,131,98,155,1262
Elizabeth East,18,18,163,179,341,591,3,65,92,128,1598
Munno Para West - Angle Vale,38,23,260,260,470,703,6,43,60,131,1981
One Tree Hill,6,7,41,25,42,61,0,0,6,16,206
Smithfield - Elizabeth North,24,12,86,130,326,647,7,94,82,166,1566
Virginia - Waterloo Corner,6,3,61,52,67,161,0,34,17,46,451
Enfield - Blair Athol,313,88,943,374,420,801,6,136,215,262,3561
Northgate - Oakden - Gilles Plains,408,128,1247,412,494,789,5,83,124,328,4010
Windsor Gardens,477,125,1213,343,339,711,5,40,112,197,3557
Dry Creek - North,0,0,0,0,0,0,0,0,0,0,0
Ingle Farm,109,42,451,207,347,514,5,45,97,98,1919
Para Hills,74,34,386,243,378,613,5,47,81,116,1977
Parafield,0,0,10,0,0,0,0,0,0,0,16
Parafield Gardens,116,34,472,228,405,746,6,112,142,137,2398
Paralowie,40,28,250,249,464,981,7,125,140,166,2458
Salisbury,73,24,297,212,428,747,11,184,175,165,2309
Salisbury East,57,35,308,298,474,692,5,86,102,128,2194
Salisbury North,44,40,254,269,551,998,3,151,141,199,2650
Mawson Lakes - Globe Derby Park,314,75,773,295,294,498,0,31,69,128,2483
Pooraka - Cavan,70,23,229,132,169,284,0,44,65,82,1091
Golden Grove,57,42,328,163,213,332,0,13,34,59,1238
Greenwith,43,34,284,167,251,337,0,9,34,45,1210
Highbury - Dernancourt,94,60,433,137,162,258,0,9,31,54,1233
Hope Valley - Modbury,180,60,588,281,347,523,5,32,76,100,2188
Modbury Heights,140,93,599,328,428,604,3,33,78,104,2410
Redwood Park,71,75,467,293,420,568,0,29,65,105,2105
St Agnes - Ridgehaven,75,53,425,229,293,361,0,16,44,55,1559
Brighton (SA),145,73,586,184,147,267,0,11,45,77,1534
Glenelg (SA),241,84,902,284,281,428,0,13,71,194,2506
Edwardstown,218,76,709,249,234,437,0,24,62,139,2161
Hallett Cove,115,46,427,200,245,369,0,9,63,57,1537
Marino - Seaview Downs,89,44,397,147,169,247,0,0,42,64,1202
Mitchell Park,225,89,730,234,236,464,4,33,63,129,2209
Morphettville,189,82,679,237,260,436,0,27,65,132,2106
Sheidow Park - Trott Park,65,42,412,236,303,385,0,12,44,50,1556
Warradale,181,92,667,240,255,443,0,31,79,143,2122
Belair,58,26,186,48,31,60,0,0,4,13,425
Bellevue Heights,118,26,402,105,81,112,0,8,26,35,911
Blackwood,167,98,574,144,133,206,0,5,31,37,1400
Colonel Light Gardens,265,130,863,216,221,339,0,7,61,78,2179
Mitcham (SA),256,97,805,163,125,229,0,12,38,69,1792
Panorama,99,51,394,106,92,199,0,13,34,67,1049
Aberfoyle Park,79,51,381,177,258,347,0,17,48,39,1404
Aldinga,48,54,327,289,485,667,0,30,90,184,2158
Christie Downs,24,14,138,108,301,423,3,43,43,117,1216
Christies Beach,35,31,201,132,252,381,0,25,47,119,1236
Clarendon,10,8,69,33,35,49,0,0,8,9,232
Coromandel Valley,57,36,193,54,67,89,0,0,16,22,542
Flagstaff Hill,100,54,415,178,175,243,0,10,30,57,1263
Hackham - Onkaparinga Hills,11,7,95,98,192,253,0,14,38,30,741
Hackham West - Huntfield Heights,9,19,105,120,249,368,0,43,47,86,1046
Happy Valley,77,54,467,265,358,435,0,14,56,88,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,0,0,0,3
McLaren Vale,22,14,163,92,103,144,0,4,13,34,591
Morphett Vale - East,44,41,248,236,419,594,0,37,61,97,1778
Morphett Vale - West,30,20,172,163,308,439,6,21,59,91,1308
Reynella,44,37,281,188,314,391,0,26,47,69,1385
Seaford (SA),92,84,577,418,680,941,3,43,115,193,3138
Willunga,10,15,100,39,48,96,0,5,13,25,341
Woodcroft,40,33,318,189,303,409,0,24,51,51,1417
Beverley,83,40,345,128,171,280,0,16,40,79,1176
Flinders Park,140,68,569,229,241,484,3,25,83,113,1954
Henley Beach,173,57,608,200,199,334,0,11,55,106,1750
Hindmarsh - Brompton,303,143,959,290,256,498,4,45,64,174,2733
Royal Park - Hendon - Albert Park,34,20,200,118,147,245,0,19,27,52,854
Seaton - Grange,128,53,557,249,303,511,4,41,75,135,2056
West Lakes,114,52,404,180,217,367,0,26,53,99,1506
Woodville - Cheltenham,188,78,666,271,341,569,0,91,103,141,2441
Dry Creek - South,0,0,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,129,102,483,237,327,477,0,26,57,103,1930
North Haven,52,42,306,227,365,526,4,41,75,116,1755
Port Adelaide,55,41,295,179,255,419,4,49,62,99,1449
The Parks,183,46,680,268,317,767,0,169,125,206,2771
Torrens Island,0,0,0,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0,0,0,0
Fulham,23,14,98,42,40,53,0,3,13,11,294
Lockleys,215,64,603,186,203,384,3,17,69,90,1829
Plympton,477,129,1289,440,379,705,4,26,105,214,3767
Richmond (SA),316,114,972,281,297,512,0,20,82,174,2775
West Beach,60,15,210,90,84,140,0,0,18,28,640
Barossa - Angaston,25,21,131,97,142,189,0,5,23,42,679
Light,21,24,205,121,248,355,0,18,34,55,1087
Lyndoch,26,24,162,96,162,178,0,3,20,51,724
Mallala,5,5,43,24,61,138,0,9,20,36,340
Nuriootpa,22,7,134,86,181,233,0,7,34,52,745
Tanunda,23,14,130,52,92,108,0,4,17,32,475
Clare,11,12,105,58,92,133,0,9,18,28,481
Gilbert Valley,13,14,95,52,92,125,4,11,16,44,468
Goyder,3,5,52,50,71,130,0,9,16,39,374
Wakefield - Barunga West,19,16,154,93,189,330,3,26,36,66,936
Jamestown,14,12,109,57,78,126,0,8,11,30,445
Peterborough - Mount Remarkable,4,9,73,53,86,164,0,15,10,38,448
Port Pirie,21,25,175,119,359,617,9,63,37,117,1547
Port Pirie Region,3,4,70,34,75,104,0,4,16,18,332
Kadina,7,18,78,48,118,195,0,18,26,61,578
Moonta,4,3,70,36,82,130,0,11,10,29,383
Wallaroo,3,7,48,26,80,137,0,6,16,25,345
Yorke Peninsula - North,9,8,109,48,113,195,0,16,17,28,547
Yorke Peninsula - South,3,5,43,27,63,100,0,4,8,23,285
Ceduna,0,8,56,39,62,110,0,8,14,55,352
Eyre Peninsula,17,12,139,71,139,187,0,13,35,60,669
Kimba - Cleve - Franklin Harbour,9,0,88,53,78,131,0,12,11,50,445
Le Hunte - Elliston,3,0,51,28,44,81,0,4,3,24,237
Port Lincoln,30,46,338,177,422,635,0,39,53,176,1916
West Coast (SA),6,8,68,37,62,109,0,14,17,64,385
Western,0,0,0,0,0,0,0,0,0,6,10
Whyalla,63,33,447,228,500,1015,7,81,80,224,2684
Whyalla - North,0,0,0,0,0,0,0,0,0,0,0
APY Lands,3,0,26,10,20,153,0,47,12,100,379
Coober Pedy,14,5,36,25,22,54,0,12,3,43,204
Quorn - Lake Gilles,3,5,37,20,30,55,0,9,4,21,186
Outback,5,8,48,20,45,93,0,6,8,53,277
Port Augusta,35,35,248,108,261,622,6,53,53,185,1603
Roxby Downs,18,14,125,64,127,220,0,18,17,47,648
Goolwa - Port Elliot,21,18,124,92,188,261,3,16,42,56,833
Kangaroo Island,16,21,104,36,62,143,0,16,29,46,475
