SA2,Did not provide child care,Cared for own child/children,Cared for other child/children,Cared for own child/children and other child/children,Not stated,Total
Victoria Park - Lathlain - Burswood,1617,831,92,47,259,2846
Bentley - Wilson - St James,1730,945,94,20,311,3097
Canning Vale - West,497,660,40,24,41,1260
Canning Vale Commercial,0,0,0,0,0,0
Cannington - Queens Park,1774,1378,84,25,273,3532
Parkwood - Ferndale - Lynwood,885,907,75,46,77,1990
Riverton - Shelley - Rossmoyne,556,831,54,42,49,1527
Welshpool,0,0,0,0,0,0
Willetton,675,1389,57,56,58,2240
Beckenham - Kenwick - Langford,1351,1337,101,59,187,3038
Canning Vale - East,1254,1996,125,59,130,3572
Gosnells,1056,1457,130,77,245,2964
Huntingdale - Southern River,1050,1832,108,87,139,3216
Maddington - Orange Grove - Martin,739,930,59,43,118,1889
Thornlie,1264,1635,102,85,159,3246
Forrestfield - Wattle Grove,1082,1541,116,69,148,2956
High Wycombe,626,942,85,59,123,1838
Kalamunda - Maida Vale - Gooseberry Hill,493,854,70,60,77,1544
Lesmurdie - Bickley - Carmel,334,659,37,44,46,1118
Byford,920,1590,140,94,164,2906
Mundijong,219,414,45,23,42,735
Serpentine - Jarrahdale,126,247,25,13,43,451
Como,1402,742,77,24,170,2409
Manning - Waterford,561,606,47,28,70,1316
South Perth - Kensington,1304,856,77,37,208,2485
Banjup,967,1877,106,84,115,3148
Bibra Industrial,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0
Coogee,434,595,60,14,46,1154
Coolbellup,506,507,77,30,85,1208
Hamilton Hill,741,557,78,39,154,1569
Henderson,0,0,0,0,0,0
North Coogee,198,136,11,3,43,390
South Lake - Cockburn Central,777,730,65,35,97,1710
Spearwood,632,577,46,34,99,1387
Success - Hammond Park,1075,1602,94,59,193,3025
Yangebup,429,605,50,26,80,1189
Beeliar - Wattleup,551,735,57,22,77,1443
Jandakot,102,133,12,11,14,271
East Fremantle,360,391,45,31,50,874
Fremantle,1262,668,120,47,294,2386
Fremantle - South,958,786,103,64,141,2055
O'Connor (WA),0,0,0,0,0,0
Bertram - Wellard (West),1055,1531,114,70,177,2946
Calista,367,527,63,33,89,1072
Hope Valley - Postans,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,4
Parmelia - Orelia,535,765,82,54,150,1586
Casuarina - Wandi,390,434,37,19,59,937
Applecross - Ardross,531,660,55,30,73,1346
Bateman,173,208,15,15,21,434
Bicton - Palmyra,884,870,82,48,103,1993
Booragoon,708,877,68,39,101,1791
Bull Creek,321,460,30,25,27,859
Leeming,460,663,40,33,44,1239
Melville,714,1057,68,68,83,1988
Murdoch - Kardinya,729,534,61,23,57,1404
Willagee,300,346,30,24,48,751
Winthrop,246,306,13,13,22,605
Baldivis,1655,3362,259,186,440,5904
Cooloongup,326,532,55,38,81,1035
Port Kennedy,545,1108,104,87,133,1968
Rockingham,695,732,87,47,155,1711
Rockingham Lakes,0,0,0,0,0,0
Safety Bay - Shoalwater,414,700,54,60,69,1294
Singleton - Golden Bay - Secret Harbour,772,1931,101,111,148,3054
Waikiki,478,942,70,56,108,1651
Warnbro,457,739,74,63,114,1450
Albany,584,757,82,47,85,1561
Albany Region,84,202,16,13,24,333
Bayonet Head - Lower King,134,338,27,30,30,558
Denmark,147,312,22,26,60,571
Gnowangerup,96,207,16,13,38,369
Katanning,193,253,31,29,72,578
Kojonup,130,262,12,19,62,491
Little Grove - Elleker,89,185,13,16,9,304
McKail - Willyung,404,727,65,43,77,1319
Plantagenet,163,266,22,8,37,496
Stirling Range National Park,0,0,0,0,0,0
Chittering,158,352,25,15,57,613
Cunderdin,125,223,30,17,39,434
Dowerin,125,260,12,20,27,456
Gingin - Dandaragan,298,457,39,28,76,907
Merredin,204,289,24,16,48,580
Moora,186,297,22,20,48,577
Mukinbudin,99,190,22,12,38,364
Northam,398,617,54,53,116,1240
Toodyay,106,205,20,11,35,371
York - Beverley,137,252,23,20,50,483
Brookton,97,199,17,14,44,377
Kulin,151,288,33,15,49,531
Murray,84,179,11,18,23,311
Narrogin,165,275,23,13,47,522
Wagin,137,293,25,13,55,529
Broome,1065,954,111,88,346,2555
Derby - West Kimberley,434,441,123,64,168,1235
Halls Creek,210,137,49,25,137,553
Kununurra,493,435,80,41,171,1219
Roebuck,133,109,33,13,35,321
East Pilbara,329,128,92,32,159,746
Newman,242,390,30,24,113,798
Port Hedland,340,350,28,19,103,841
South Hedland,595,746,87,40,282,1739
Ashburton (WA),650,634,51,32,206,1563
Karratha,1036,1429,119,87,329,3005
Roebourne,251,411,24,20,76,782
Esperance,466,708,69,59,149,1449
Esperance Region,132,255,18,18,71,485
Carnarvon,245,274,32,19,117,680
Exmouth,249,303,29,26,78,684
Boulder,320,497,55,31,146,1043
Kalgoorlie,793,1048,92,73,221,2225
Kalgoorlie - North,470,807,58,48,125,1507
Kalgoorlie Airport,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,202,285,32,9,85,614
Leinster - Leonora,204,209,68,46,141,664
Trafalgar (WA),0,0,0,0,0,0
Geraldton,508,554,70,37,132,1302
Geraldton - East,303,500,34,34,140,1013
Geraldton - North,306,588,43,42,74,1053
Geraldton - South,460,780,68,33,83,1429
Irwin,85,215,15,20,32,360
Meekatharra,158,97,18,13,88,379
Morawa,132,220,18,20,40,429
Northampton - Mullewa - Greenough,162,311,25,36,66,596
Migratory - Offshore - Shipping (WA),11,0,0,0,3,14
No Usual Address (WA),447,111,22,4,248,838
Bridgewater - Gagebrook,315,483,53,34,110,987
Brighton - Pontville,233,449,38,28,40,785
Old Beach - Otago,200,318,28,10,20,584
Bellerive - Rosny,275,301,32,31,26,664
Cambridge,247,509,34,34,19,849
Geilston Bay - Risdon,169,208,28,18,3,428
Howrah - Tranmere,468,657,54,43,44,1263
Lindisfarne - Rose Bay,316,401,42,25,28,808
Mornington - Warrane,278,316,44,15,30,679
Risdon Vale,102,174,24,13,58,377
Rokeby,354,481,50,20,55,957
South Arm,129,282,25,26,15,482
Austins Ferry - Granton,172,293,17,23,20,524
Berriedale - Chigwell,244,356,39,16,40,694
Claremont (Tas.),356,501,54,29,44,991
Derwent Park - Lutana,227,254,36,21,44,580
Glenorchy,529,650,71,62,89,1404
Montrose - Rosetta,235,268,26,20,35,586
Moonah,323,316,33,26,56,755
New Norfolk,238,421,32,36,47,774
West Moonah,238,265,29,11,36,578
Kingston - Huntingfield,546,839,56,68,68,1566
Kingston Beach - Blackmans Bay,435,654,54,30,41,1214
Margate - Snug,287,594,43,50,36,1010
Mount Wellington,0,0,0,0,0,0
Taroona - Bonnet Hill,122,184,12,19,17,351
Hobart,813,244,64,16,122,1253
Lenah Valley - Mount Stuart,501,521,56,35,60,1180
Mount Nelson - Dynnyrne,295,234,21,18,28,593
New Town,397,324,47,23,57,837
Sandy Bay,863,500,37,26,81,1515
South Hobart - Fern Tree,373,351,45,33,53,850
West Hobart,459,330,48,20,54,915
Dodges Ferry - Lewisham,268,491,32,24,63,884
Sorell - Richmond,320,571,38,26,54,1015
Invermay,186,151,20,5,33,394
Kings Meadows - Punchbowl,212,266,31,18,47,568
Launceston,326,218,26,20,60,637
Legana,132,263,22,10,16,446
Mowbray,199,219,25,5,33,479
Newnham - Mayfield,443,531,58,29,88,1148
Newstead,197,353,27,15,31,619
Norwood (Tas.),127,242,21,15,20,417
Prospect Vale - Blackstone,258,396,37,12,43,748
Ravenswood,147,217,19,12,55,447
Riverside,263,402,31,29,30,756
South Launceston,291,279,36,24,40,662
Summerhill - Prospect,218,313,24,16,35,617
Trevallyn,218,275,37,18,28,574
Waverley - St Leonards,164,230,26,14,31,463
West Launceston,220,284,31,8,23,568
Youngtown - Relbia,177,302,32,13,37,557
Beauty Point - Beaconsfield,78,180,16,4,22,301
Deloraine,180,316,31,16,44,586
Grindelwald - Lanena,156,307,27,18,34,545
Hadspen - Carrick,111,241,19,20,13,406
Westbury,129,216,16,18,22,399
Dilston - Lilydale,134,234,9,11,33,420
George Town,230,375,27,13,61,706
Longford,114,228,23,13,20,398
Northern Midlands,120,208,19,6,41,406
Perth - Evandale,175,308,28,10,38,563
St Helens - Scamander,144,284,23,9,32,499
Flinders and Cape Barren Islands,27,48,3,4,3,83
Scottsdale - Bridport,186,355,28,30,51,656
Central Highlands,60,111,12,7,9,200
Derwent Valley,100,186,12,5,18,322
Southern Midlands,201,325,34,18,55,634
Wilderness - East,0,0,0,0,0,5
Bruny Island - Kettering,75,135,11,13,21,255
Cygnet,124,220,15,12,33,411
Geeveston - Dover,117,171,14,12,32,345
Huonville - Franklin,313,530,44,23,60,977
Forestier - Tasman,61,95,7,0,15,185
Triabunna - Bicheno,142,185,14,6,27,374
Acton - Upper Burnie,138,206,20,8,25,402
Burnie - Ulverstone Region,134,308,30,14,37,516
Burnie - Wivenhoe,175,222,11,19,39,455
Parklands - Camdale,271,369,29,21,32,726
Penguin - Sulphur Creek,183,291,25,15,32,557
Romaine - Havenview,133,234,21,16,21,422
Somerset,129,240,17,13,26,421
Ulverstone,221,397,32,30,30,714
West Ulverstone,133,207,19,17,27,405
Wynyard,163,368,36,20,39,623
Devonport,571,818,81,53,76,1584
East Devonport,181,248,31,25,31,509
Latrobe,162,293,33,15,32,538
Miandetta - Don,141,267,21,9,23,464
Port Sorell,168,281,25,17,26,522
Quoiba - Spreyton,117,182,9,13,18,338
Sheffield - Railton,215,324,29,22,39,629
Turners Beach - Forth,94,200,14,11,15,333
King Island,67,78,12,6,12,181
North West,112,258,15,9,47,442
Smithton,105,247,25,17,28,420
Waratah,96,210,24,14,22,360
West Coast (Tas.),167,249,25,12,42,497
Wilderness - West,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),3,0,0,0,0,3
No Usual Address (Tas.),66,30,4,4,13,120
Darwin Airport,0,0,0,0,0,3
Darwin City,921,262,41,7,238,1472
East Point,5,0,0,0,0,5
Fannie Bay - The Gardens,319,175,23,4,56,577
Larrakeyah,381,216,19,7,90,713
Ludmilla - The Narrows,202,138,25,5,55,420
Parap,274,198,21,7,59,562
Stuart Park,517,228,26,4,127,904
Woolner - Bayview - Winnellie,273,171,15,6,50,513
Alawa,149,139,6,3,41,352
Anula,112,188,13,10,30,350
Berrimah,63,50,8,3,31,161
Brinkin - Nakara,269,210,21,9,67,584
Buffalo Creek,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0
Coconut Grove,309,174,20,9,84,595
East Arm,4,0,0,0,0,4
Jingili,101,115,18,8,20,261
Karama,323,319,38,12,100,790
Leanyer,298,311,24,9,63,708
Lyons (NT),329,531,34,14,60,973
Malak - Marrara,285,260,26,22,85,671
Millner,229,160,20,5,43,456
Moil,122,128,7,11,31,297
Nightcliff,385,244,32,10,83,755
Rapid Creek,316,204,21,17,84,648
Tiwi,195,163,17,5,39,410
Wagaman,158,118,11,8,44,345
Wanguri,106,107,20,5,30,271
Wulagi,134,181,18,11,40,389
Howard Springs,173,191,14,6,110,493
Humpty Doo,398,647,49,27,147,1268
Koolpinyah,3,0,0,0,0,3
Virginia,156,187,18,9,49,420
Weddell,187,279,26,12,90,590
Bakewell,217,286,22,9,44,586
Driver,181,215,15,12,52,480
Durack - Marlow Lagoon,276,402,27,15,63,783
Gray,204,228,24,7,80,542
Moulden,161,209,24,12,58,456
Palmerston - North,267,403,21,29,57,784
Palmerston - South,270,329,11,9,57,667
Rosebery - Bellamack,394,752,47,32,90,1314
Woodroffe,194,251,18,17,69,545
Charles,286,251,34,20,111,693
East Side,415,314,49,25,129,924
Flynn (NT),294,283,36,31,96,737
Larapinta,275,364,31,33,83,788
Mount Johns,361,224,23,15,128,749
Petermann - Simpson,237,97,23,17,77,456
Ross,123,92,16,17,39,288
Sandover - Plenty,104,183,57,89,94,528
Tanami,111,148,107,54,54,467
Yuendumu - Anmatjere,88,138,49,36,46,364
Barkly,121,151,46,26,44,380
Tennant Creek,211,139,29,14,62,446
Alligator,215,221,38,17,87,575
Daly,57,124,30,6,38,244
Thamarrurr,69,214,56,12,94,450
Tiwi Islands,194,134,38,0,25,398
West Arnhem,132,261,123,147,137,801
Anindilyakwa,177,152,32,10,71,444
East Arnhem,271,378,313,186,72,1213
Nhulunbuy,151,243,30,29,77,524
Elsey,77,160,39,24,30,324
Gulf,178,235,82,50,37,589
Katherine,562,557,72,34,313,1542
Victoria River,114,101,35,24,68,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,4
No Usual Address (NT),182,72,17,0,149,420
Aranda,92,153,14,13,7,279
Belconnen,1031,300,37,7,125,1497
Bruce,855,307,40,7,59,1261
Charnwood,196,233,22,19,30,496
Cook,198,168,17,14,17,419
Dunlop,443,660,39,44,45,1235
Evatt,305,376,34,17,49,781
Florey,282,309,35,12,33,669
Flynn (ACT),156,248,14,19,15,459
Fraser,76,147,6,13,11,254
Giralang,199,255,17,12,22,512
Gooromon,0,0,0,0,0,0
Hawker,156,166,13,8,15,354
Higgins,171,234,12,13,20,455
Holt,296,346,30,20,44,735
Kaleen,404,456,31,26,35,956
Latham,229,274,29,17,30,585
Lawson,3,15,0,0,0,24
Macgregor (ACT),544,691,58,35,36,1358
Macquarie,200,183,13,15,22,424
McKellar,121,162,15,12,14,321
Melba,180,217,17,11,19,440
Page,221,187,12,10,25,458
Scullin,185,215,17,12,25,461
Spence,149,189,19,9,9,381
Weetangera,102,165,7,7,3,284
Molonglo Corridor,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0
Hume,0,0,0,0,19,20
Kowen,0,7,0,0,0,6
Canberra East,33,20,3,0,13,74
Canberra Airport,7,9,5,0,0,20
Majura,0,7,0,0,3,16
Amaroo,300,551,17,29,24,919
Bonner,493,843,50,32,71,1493
Casey,571,681,61,35,67,1413
Crace,456,489,29,21,54,1050
Forde,264,508,17,17,35,843
Franklin,762,613,46,21,74,1512
Gungahlin,570,509,31,13,82,1211
Hall,11,15,0,0,0,26
Harrison,690,808,51,25,67,1641
Mitchell,0,0,0,0,0,0
Ngunnawal,771,987,105,34,100,2000
Nicholls,252,389,29,14,45,728
Palmerston,373,383,30,25,51,868
Gungahlin - East,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0
Jacka,69,87,7,3,3,175
Kenny,0,0,0,0,0,4
Moncrieff,7,11,0,0,5,25
Taylor,0,0,0,0,0,0
Throsby,0,0,0,0,0,0
Acton,189,5,4,0,8,205
Ainslie,339,296,19,21,32,714
Braddon,1020,122,39,7,137,1328
Civic,520,49,20,0,75,668
Dickson,264,122,20,4,25,434
Downer,307,237,24,9,41,616
Hackett,146,201,17,16,18,398
Lyneham,566,235,44,12,91,942
O'Connor (ACT),436,279,28,22,48,815
Turner,642,134,25,6,83,882
Watson,554,435,44,29,69,1125
Black Mountain,0,0,0,0,0,0
Campbell,211,154,12,7,16,395
Duntroon,69,57,5,9,17,153
Parkes (ACT) - North,0,0,0,0,0,0
Reid,141,55,3,5,25,225
Russell,0,0,0,0,0,0
Deakin,128,145,8,7,9,303
Forrest,142,61,12,5,29,245
Griffith (ACT),447,224,28,3,56,762
Lake Burley Griffin,0,0,0,0,0,0
Narrabundah,401,363,34,14,76,888
Parkes (ACT) - South,0,0,0,0,0,0
Red Hill (ACT),133,161,8,8,30,334
Yarralumla,111,130,10,0,16,269
Barton,220,56,13,4,29,316
Fyshwick,0,0,0,0,0,3
Kingston (ACT),857,162,42,0,93,1150
Banks,294,444,34,23,40,841
Bonython,208,280,22,13,16,539
Calwell,283,395,41,17,43,775
Chisholm,259,355,30,12,31,682
Conder,224,355,19,26,34,654
Fadden,109,172,10,6,5,304
Gilmore,167,202,17,14,18,407
Gordon (ACT),423,514,32,35,36,1037
Gowrie (ACT),138,211,25,13,12,386
Greenway,177,117,17,5,25,340
Isabella Plains,231,354,32,16,35,666
Kambah,699,972,78,72,110,1929
Macarthur,51,96,0,10,12,166
Monash,262,316,28,28,28,667
Mount Taylor,0,0,0,0,0,0
Oxley (ACT),81,102,6,7,8,206
Richardson,180,227,35,9,13,468
Theodore,199,280,37,13,20,551
Tuggeranong,0,0,0,0,0,0
Wanniassa,354,512,37,38,46,991
Tuggeranong - West,0,0,0,0,0,0
Chapman,76,151,11,12,5,254
Duffy,161,223,15,5,23,439
Fisher,159,215,23,7,22,436
Holder,160,171,7,10,16,362
Rivett,186,240,16,15,25,477
Stirling,74,145,9,12,17,249
Waramanga,145,183,21,12,17,377
Weston,167,236,15,13,31,459
Scrivener,0,0,0,0,0,0
Chifley,191,167,11,14,21,402
Curtin,263,320,18,8,35,643
Farrer,151,187,9,13,10,361
Garran,169,238,9,10,28,451
Hughes,118,156,19,9,23,325
Isaacs,88,115,6,5,4,219
Lyons (ACT),261,168,15,5,37,493
Mawson,236,205,11,3,30,485
O'Malley,29,34,6,3,6,80
Pearce,116,144,14,9,18,295
Phillip,495,183,18,5,74,778
Torrens,91,153,3,4,6,266
Arboretum,0,0,0,0,0,0
Coombs,189,202,15,4,36,443
Denman Prospect,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0
Wright,392,230,41,13,68,738
ACT - South West,37,49,0,0,13,99
Namadgi,4,0,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0
No Usual Address (ACT),54,10,4,3,9,77
Christmas Island,76,99,3,3,32,208
Cocos (Keeling) Islands,25,38,3,0,7,72
Jervis Bay,17,11,10,0,12,56
Norfolk Island,75,89,16,4,9,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0
No Usual Address (OT),3,3,0,0,0,8
Total,1346993,1526451,129522,74317,221365,3298649
