SA2,Oceania and Antarctica,North-West Europe,Southern and Eastern Europe,North Africa and the Middle East,South-East Asia,North-East Asia,Southern and Central Asia,Americas,Sub-Saharan Africa,Supplementary codes,Not stated,Total
Westcourt - Bungalow,474,46,17,4,84,139,72,29,13,4,127,1005
White Rock,514,20,7,0,31,33,12,6,13,0,74,708
Whitfield - Edge Hill,760,68,13,0,59,60,21,24,6,0,72,1091
Woree,473,17,4,0,39,30,24,8,5,0,90,687
Babinda,344,16,0,0,16,0,6,7,4,0,47,440
Innisfail,713,21,9,0,54,26,111,4,3,0,145,1079
Johnstone,690,26,8,0,28,13,22,5,5,0,80,875
Tully,792,52,14,0,57,48,48,12,0,0,123,1151
Wooroonooran,0,0,0,0,0,0,0,0,0,0,0,0
Yarrabah,297,0,0,0,0,0,0,0,0,0,4,305
Daintree,558,51,12,0,21,7,0,12,3,0,111,777
Port Douglas,442,108,15,0,25,38,14,37,8,0,151,827
Atherton,933,39,7,5,26,18,9,4,12,0,96,1161
Herberton,381,13,0,0,9,6,0,3,0,0,82,500
Kuranda,363,42,5,4,10,11,0,9,3,0,53,492
Malanda - Yungaburra,662,26,5,0,18,0,0,5,11,0,60,787
Mareeba,956,41,20,0,42,56,22,5,13,0,160,1310
Balonne,465,14,0,0,13,3,0,3,12,0,47,548
Chinchilla,891,18,4,5,20,3,23,12,8,0,135,1113
Goondiwindi,705,14,0,0,16,11,11,13,11,0,89,866
Inglewood - Waggamba,375,7,3,0,8,12,7,0,8,0,48,467
Miles - Wandoan,386,21,0,0,16,3,0,4,4,0,71,504
Roma,814,24,0,0,40,9,33,12,15,0,133,1081
Roma Region,580,17,0,0,4,0,8,0,0,0,53,668
Tara,307,3,4,0,19,4,0,5,0,0,81,423
Crows Nest - Rosalie,736,18,0,0,9,0,0,7,4,0,68,841
Jondaryan,675,15,4,0,32,3,3,31,5,0,67,834
Millmerran,260,0,3,0,29,9,0,0,5,0,40,352
Pittsworth,493,13,0,0,16,5,0,0,0,0,41,585
Wambo,1747,29,6,3,67,8,22,11,28,0,165,2093
Clifton - Greenmount,444,15,0,0,17,0,3,4,5,0,51,531
Southern Downs - East,332,10,0,0,12,0,0,0,0,0,43,401
Southern Downs - West,348,8,4,0,8,3,0,6,0,0,38,407
Stanthorpe,437,15,5,0,4,52,4,13,0,0,37,575
Stanthorpe Region,472,20,0,0,5,4,0,4,3,0,37,553
Warwick,1419,21,6,3,38,19,11,15,16,0,97,1646
Central Highlands - East,917,8,0,0,22,9,8,7,14,0,127,1113
Central Highlands - West,848,21,4,0,14,3,6,8,9,0,129,1039
Emerald,1661,38,15,0,69,30,44,18,50,0,264,2183
Berserker,732,14,0,0,48,11,15,5,9,0,65,892
Bouldercombe,192,6,0,0,3,0,0,0,0,0,14,214
Emu Park,479,13,0,0,14,0,0,5,4,0,51,573
Frenchville - Mount Archer,964,7,0,0,38,15,33,13,20,0,55,1146
Glenlee - Rockyview,454,12,3,0,5,0,0,3,4,0,31,515
Gracemere,1532,16,4,4,30,9,26,5,29,0,120,1775
Lakes Creek,533,6,3,0,54,7,7,7,3,0,37,660
Mount Morgan,235,0,0,0,9,0,0,5,0,0,26,273
Norman Gardens,1072,13,7,6,83,32,88,33,18,0,86,1435
Park Avenue,558,4,0,0,18,13,13,10,9,0,38,658
Parkhurst - Kawana,760,12,0,0,44,14,29,12,8,0,62,947
Rockhampton - West,662,12,4,0,14,7,11,6,5,0,40,763
Rockhampton City,303,0,0,3,15,8,12,0,0,0,41,374
Rockhampton Region - East,279,7,0,0,7,0,0,0,5,0,27,338
Rockhampton Region - North,357,13,5,0,7,0,0,0,7,0,49,439
Rockhampton Region - West,289,6,0,0,0,0,0,4,0,0,28,328
Shoalwater Bay,0,0,0,0,0,0,0,0,0,0,0,0
The Range - Allenstown,724,16,0,3,33,6,40,8,14,0,74,927
Yeppoon,1775,82,8,3,46,13,8,26,29,0,150,2139
Banana,896,18,0,0,8,0,10,3,6,0,95,1042
Biloela,612,5,0,0,62,17,19,15,12,0,74,819
Agnes Water - Miriam Vale,446,24,0,0,11,7,0,8,6,0,64,564
Boyne Island - Tannum Sands,1154,52,3,3,36,8,7,19,47,0,88,1420
Callemondah,0,0,0,0,0,0,0,0,0,0,0,0
Clinton - New Auckland,1728,54,14,13,101,20,70,26,53,0,129,2214
Gladstone,538,28,10,10,65,11,51,8,8,0,99,833
Gladstone Hinterland,1349,30,7,0,21,4,0,7,27,0,143,1589
Kin Kora - Sun Valley,442,4,6,0,20,3,13,7,9,0,23,538
South Trees,0,0,0,0,0,0,0,0,0,0,0,0
Telina - Toolooa,802,17,9,5,30,8,11,17,15,0,74,993
West Gladstone,439,16,7,4,46,9,33,10,6,0,64,638
Broadbeach Waters,677,61,30,7,41,52,6,27,20,0,63,985
Burleigh Heads,964,72,23,3,30,30,6,77,13,0,141,1351
Burleigh Waters,1455,105,21,8,42,65,9,81,19,0,82,1891
Mermaid Beach - Broadbeach,1310,107,51,12,76,119,33,170,28,4,265,2166
Mermaid Waters,1189,93,20,8,57,98,21,70,32,0,116,1705
Miami,937,50,18,0,23,23,11,94,22,0,111,1285
Coolangatta,505,34,13,0,29,18,10,50,10,0,89,758
Currumbin - Tugun,1199,87,17,0,40,38,6,62,13,0,144,1609
Currumbin Waters,855,65,9,0,14,13,0,28,9,0,49,1047
Elanora,1126,78,19,0,27,26,3,26,18,0,82,1408
Palm Beach,1729,100,20,0,42,46,4,84,28,0,170,2233
Arundel,807,63,32,11,68,133,44,20,28,0,89,1301
Biggera Waters,752,53,44,19,73,124,55,34,23,0,126,1299
Coombabah,871,52,23,13,49,61,20,17,19,0,83,1214
Labrador,1625,98,74,39,143,150,91,60,66,0,250,2596
Paradise Point - Hollywell,752,63,23,0,30,33,10,17,19,0,59,1008
Runaway Bay,602,49,16,9,48,40,24,14,23,0,52,885
Guanaba - Springbrook,456,37,5,0,8,9,0,5,12,0,54,583
Tamborine - Canungra,1150,124,20,7,22,22,5,23,12,0,144,1523
Currumbin Valley - Tallebudgera,604,53,12,0,16,4,3,20,13,0,47,783
Mudgeeraba - Bonogin,1865,175,39,11,48,71,21,43,75,3,135,2478
Reedy Creek - Andrews,906,64,18,6,40,38,18,35,41,0,64,1231
Carrara,1201,81,25,11,49,80,21,20,35,0,86,1613
Highland Park,898,57,13,0,32,24,6,10,12,0,56,1115
Nerang - Mount Nathan,2239,118,49,6,75,49,51,48,35,5,174,2843
Pacific Pines - Gaven,2163,166,56,24,94,132,91,46,38,0,186,2994
Worongary - Tallai,668,59,11,4,22,19,9,13,28,4,52,878
Coomera,1670,136,23,3,67,67,21,31,98,0,185,2297
Helensvale,1452,161,32,8,80,94,33,33,48,0,131,2077
Hope Island,747,92,34,11,39,85,17,11,68,0,120,1238
Jacobs Well - Alberton,351,13,0,0,14,3,0,3,4,0,20,412
Ormeau - Yatala,2458,168,39,7,53,42,27,34,89,0,206,3119
Oxenford - Maudsland,1821,141,41,7,54,72,25,25,61,0,157,2404
Pimpama,1296,82,20,3,29,36,12,17,32,0,189,1718
Upper Coomera - Willow Vale,3965,318,81,24,137,147,65,70,139,3,325,5277
Clear Island Waters,219,17,10,0,17,60,21,6,6,0,27,394
Merrimac,739,40,22,0,49,98,19,16,24,0,65,1070
Robina,1962,166,50,15,138,313,56,87,104,0,173,3074
Varsity Lakes,1527,124,54,21,104,251,51,123,59,4,171,2480
Ashmore,1062,76,30,6,67,98,20,32,17,0,98,1506
Molendinar,554,29,13,4,47,131,21,15,14,4,52,881
Parkwood,732,46,12,3,48,77,35,15,16,0,60,1048
Southport - North,1020,84,67,63,162,457,112,77,41,3,239,2317
Southport - South,1246,93,62,30,149,460,83,65,45,3,178,2418
Benowa,543,44,22,12,50,151,28,23,13,0,69,958
Bundall,376,24,18,0,20,42,10,14,9,0,43,559
Main Beach,286,33,15,4,15,16,11,32,11,0,69,485
Surfers Paradise,1439,196,148,62,234,517,323,361,39,3,614,3937
Darra - Sumner,393,23,6,14,147,19,99,17,28,0,92,828
Durack,428,12,16,38,316,42,111,11,60,0,120,1164
Forest Lake - Doolandella,2440,128,77,83,522,241,429,72,149,5,231,4372
Inala - Richlands,902,13,18,71,860,45,109,28,188,3,328,2560
Oxley (Qld),831,64,24,21,121,46,58,25,35,0,95,1321
Wacol,447,4,5,6,75,8,20,4,17,0,30,613
Boonah,1082,28,7,0,23,34,3,12,4,0,119,1306
Esk,385,9,0,0,13,4,0,0,0,0,46,455
Lake Manchester - England Creek,0,0,0,0,0,0,0,0,0,0,0,0
Lockyer Valley - East,1906,59,7,3,48,27,5,16,12,0,212,2300
Lowood,1440,38,0,0,36,17,3,7,14,0,147,1706
Rosewood,1128,31,0,0,13,4,0,8,10,0,100,1302
Brassall,1370,29,4,0,36,12,15,9,12,0,81,1562
Bundamba,974,21,8,3,47,11,9,20,21,0,120,1233
Churchill - Yamanto,888,10,8,0,21,8,21,3,6,0,47,1011
Ipswich - Central,648,27,3,3,18,15,8,11,11,0,71,810
Ipswich - East,1987,37,9,12,57,20,33,17,18,0,188,2382
Ipswich - North,513,17,8,5,8,3,0,5,6,0,30,587
Karalee - Barellan Point,596,31,0,0,12,8,3,4,17,0,30,703
Karana Downs,624,53,10,4,14,6,0,12,36,0,36,798
Leichhardt - One Mile,880,15,0,11,33,12,6,7,7,0,124,1102
North Ipswich - Tivoli,721,14,7,0,12,9,5,7,6,0,63,852
Raceview,1916,49,5,9,52,15,48,13,13,6,104,2219
Ripley,670,24,0,0,18,7,11,9,11,0,65,809
Riverview,280,8,0,5,15,5,3,0,3,0,39,365
Bellbird Park - Brookwater,1717,122,28,27,105,41,121,39,75,0,142,2423
Camira - Gailes,956,45,14,9,69,11,9,10,25,5,75,1230
Carole Park,0,0,0,0,0,0,0,0,0,0,0,0
Collingwood Park - Redbank,924,33,17,31,61,27,32,38,22,0,62,1241
Goodna,1025,23,15,51,176,33,73,24,61,0,176,1648
New Chum,0,0,0,0,0,0,0,0,0,0,0,0
Redbank Plains,2331,56,23,88,122,38,100,31,118,3,226,3130
Springfield,808,43,10,12,72,21,53,29,19,0,59,1126
Springfield Lakes,2138,158,48,41,200,81,247,72,83,9,140,3201
Beaudesert,1312,50,8,3,24,6,8,8,8,0,140,1566
Beenleigh,862,21,3,8,50,9,17,15,9,0,100,1105
Eagleby,1281,31,35,29,70,23,16,34,36,0,135,1702
Edens Landing - Holmview,932,53,18,3,63,24,38,8,10,0,70,1215
Mount Warren Park,628,36,8,4,26,12,5,11,0,0,53,781
Wolffdene - Bahrs Scrub,676,29,12,0,12,6,6,7,11,4,46,809
Boronia Heights - Park Ridge,1204,45,12,0,78,65,54,10,21,0,97,1584
Browns Plains,736,17,22,23,79,71,73,12,22,0,89,1160
Chambers Flat - Logan Reserve,492,17,14,0,41,10,10,6,12,0,47,644
Crestmead,1409,21,21,31,113,13,20,4,34,3,161,1836
Greenbank Military Camp,0,0,0,0,0,0,0,0,0,0,0,0
Hillcrest,867,31,16,5,69,49,24,14,21,0,38,1137
Marsden,1482,27,43,51,173,23,77,16,61,7,248,2211
Munruben - Park Ridge South,408,21,7,0,24,18,0,4,4,0,22,511
Regents Park - Heritage Park,1689,64,71,23,135,93,83,24,35,3,114,2343
Greenbank,1454,72,21,3,73,10,6,8,29,0,77,1756
Jimboomba,3114,169,25,0,59,26,13,39,33,0,253,3741
Logan Village,701,35,4,6,20,3,0,4,5,0,61,829
Bethania - Waterford,1188,46,21,5,64,26,47,13,28,0,105,1549
Cornubia - Carbrook,842,44,19,5,28,14,10,12,22,0,51,1040
Loganholme - Tanah Merah,1398,65,24,0,49,34,21,10,31,0,106,1737
Loganlea,976,33,24,34,106,32,98,16,43,4,157,1527
Shailer Park,1182,103,29,9,55,51,39,26,39,0,72,1597
Waterford West,741,17,17,12,66,6,35,14,15,3,73,1001
Daisy Hill,693,36,19,13,49,62,33,12,23,0,37,980
Kingston (Qld.),896,19,21,18,96,24,51,14,34,0,171,1346
Logan Central,448,4,11,28,115,15,46,3,35,3,63,777
Rochedale South - Priestdale,1762,79,41,13,66,167,86,37,46,0,92,2389
Slacks Creek,1044,26,28,26,94,48,84,13,34,0,101,1499
Springwood,928,54,39,13,62,67,53,13,24,3,88,1345
Underwood,467,21,36,26,79,216,124,9,50,0,63,1094
Woodridge,942,17,27,96,235,39,188,8,91,0,117,1764
Bowen,783,41,8,3,63,98,15,13,11,0,113,1142
Broadsound - Nebo,928,12,0,0,45,8,9,6,18,0,203,1244
Clermont,439,9,0,0,9,3,6,5,6,0,69,546
Collinsville,302,8,0,0,21,4,0,0,0,0,66,398
Moranbah,1217,25,4,5,57,11,29,15,24,0,201,1592
Andergrove - Beaconsfield,1783,48,12,6,47,19,32,20,49,3,116,2119
East Mackay,354,6,3,0,29,3,8,6,8,0,35,452
Eimeo - Rural View,1613,77,10,3,33,11,21,17,67,0,136,1999
Eungella Hinterland,0,0,0,0,0,0,0,0,0,0,0,0
Mackay,305,20,3,3,82,21,46,5,5,0,76,558
Mackay Harbour,38,7,0,0,0,4,0,0,0,0,14,68
Mount Pleasant - Glenella,1098,27,6,6,45,19,45,19,30,0,57,1356
North Mackay,594,12,7,0,41,6,17,8,9,0,63,767
Ooralea - Bakers Creek,539,15,7,3,24,13,25,10,6,0,62,705
Pioneer Valley,994,26,0,0,12,0,6,6,8,0,94,1147
Sarina,1194,24,0,0,29,4,0,9,12,0,152,1420
Seaforth - Calen,693,14,0,0,12,0,0,4,10,0,85,825
Shoal Point - Bucasia,729,38,4,0,10,3,3,8,10,0,50,863
Slade Point,359,9,5,0,14,0,3,7,0,0,21,425
South Mackay,683,13,0,0,91,16,24,4,11,0,53,900
Walkerston - Eton,877,18,0,0,18,0,0,6,12,0,77,1015
West Mackay,578,11,4,3,64,8,22,10,13,0,62,777
Airlie - Whitsundays,1326,185,33,4,78,96,28,57,44,0,425,2284
Cape Conway,0,0,0,0,0,0,0,0,0,0,0,0
Proserpine,766,41,7,4,13,3,0,3,8,0,92,943
Beachmere - Sandstone Point,1233,60,6,4,29,17,5,7,10,0,116,1470
Bribie Island,989,79,12,0,39,23,3,3,12,0,62,1238
Burpengary - East,399,24,4,3,3,9,0,0,7,0,24,467
Caboolture,2822,83,18,22,122,199,54,21,27,0,293,3667
Caboolture - South,2478,61,17,7,88,118,14,18,24,0,213,3025
Elimbah,421,18,0,0,6,13,0,0,8,0,28,496
Morayfield - East,1005,24,4,0,37,43,9,7,5,0,59,1201
Wamuran,376,21,0,0,6,22,5,3,9,0,32,471
Kilcoy,428,9,0,0,71,4,3,6,3,0,54,578
Woodford - D'Aguilar,669,19,0,0,8,6,0,11,8,0,95,810
Burpengary,1488,75,9,5,38,19,5,13,26,4,103,1781
Deception Bay,2282,73,17,3,66,29,15,9,33,0,219,2738
Morayfield,406,19,0,0,3,3,0,4,8,0,22,474
Narangba,2377,156,16,4,50,20,14,32,45,0,131,2829
Upper Caboolture,273,17,0,0,0,3,0,3,3,0,23,334
Clontarf,839,42,7,0,24,11,10,14,12,0,66,1031
Margate - Woody Point,1183,75,12,5,46,22,10,17,14,0,82,1469
Redcliffe,832,65,13,3,35,16,12,16,14,4,99,1114
Rothwell - Kippa-Ring,1701,85,19,3,58,19,37,21,30,3,112,2086
Scarborough - Newport - Moreton Island,908,98,17,3,39,32,16,18,22,0,98,1243
Albany Creek,1521,93,22,7,40,40,15,25,53,0,55,1876
Cashmere,2324,128,26,15,88,15,75,23,117,4,73,2882
Dayboro,853,60,0,3,4,6,0,4,12,0,82,1031
Eatons Hill,858,78,18,7,16,9,15,12,27,0,29,1070
The Hills District,2879,180,33,9,74,46,30,57,53,3,101,3472
Samford Valley,955,102,11,0,21,8,10,15,33,3,78,1232
Dakabin - Kallangur,3057,112,19,19,114,31,54,34,58,5,226,3730
Murrumba Downs - Griffin,2229,123,25,15,77,38,123,48,84,6,147,2906
North Lakes - Mango Hill,3482,390,69,39,217,169,274,114,289,7,269,5309
Bray Park,1241,43,10,5,56,19,24,12,25,0,56,1496
Lawnton,693,26,3,4,40,9,20,13,12,0,51,863
Petrie,1003,71,10,3,25,13,13,12,32,0,62,1257
Strathpine - Brendale,1369,38,11,15,86,48,63,33,23,0,90,1783
Aurukun,176,0,0,0,4,0,0,0,0,0,6,182
Cape York,753,26,5,0,13,18,5,9,9,0,94,936
Croydon - Etheridge,105,10,0,0,0,0,0,0,0,0,24,139
Kowanyama - Pormpuraaw,268,3,0,0,6,0,0,0,0,0,0,274
Northern Peninsula,364,3,3,0,0,0,0,0,0,0,16,392
Tablelands,361,21,0,0,12,3,4,5,9,0,69,487
Torres,454,9,0,0,9,7,0,8,5,0,107,605
Torres Strait Islands,576,3,0,0,0,0,0,0,0,0,12,587
Weipa,544,13,4,0,23,3,0,0,0,0,76,674
Carpentaria,591,7,0,0,13,0,7,6,5,0,63,690
Mount Isa,2229,48,8,3,145,19,69,31,65,0,355,2972
Mount Isa Region,331,18,0,0,9,3,14,3,0,0,69,441
Northern Highlands,324,17,5,0,6,0,6,0,0,0,34,381
Barcaldine - Blackall,501,15,0,0,7,0,10,0,4,0,50,581
Charleville,436,11,0,0,35,0,4,5,5,0,49,546
Far Central West,195,12,0,0,6,0,0,0,0,0,41,256
Far South West,290,10,0,0,0,0,0,3,0,0,22,329
Longreach,396,9,0,0,7,0,5,3,3,0,47,479
Buderim - North,1369,97,20,7,42,32,14,36,45,0,95,1755
Buderim - South,1403,166,20,0,39,49,29,38,62,0,78,1876
Mountain Creek,1324,123,20,0,41,37,30,35,59,0,83,1750
Sippy Downs,985,71,15,0,43,63,22,25,35,0,80,1346
Aroona - Currimundi,1011,70,5,0,14,0,4,12,30,0,25,1176
Buddina - Minyama,586,32,4,0,17,16,10,10,13,0,32,715
Caloundra - Kings Beach,436,31,4,5,27,38,32,16,13,0,68,669
Caloundra - West,2195,199,26,3,56,22,43,35,52,0,128,2759
Golden Beach - Pelican Waters,816,89,8,0,29,13,14,20,23,0,57,1056
Moffat Beach - Battery Hill,717,55,3,0,17,0,8,15,8,0,49,881
Parrearra - Warana,904,84,17,0,18,17,7,31,18,0,70,1159
Wurtulla - Birtinya,798,63,21,6,18,9,14,17,22,0,69,1038
Coolum Beach,1576,149,15,4,37,10,10,56,33,0,122,2006
Marcoola - Mudjimba,990,67,10,4,25,14,26,31,18,0,69,1252
Maroochydore - Kuluin,1762,136,31,7,78,105,107,57,26,4,169,2500
Mooloolaba - Alexandra Headland,1046,113,32,4,40,33,61,45,27,0,163,1564
Noosa Heads,268,40,15,0,18,20,10,12,10,0,29,417
Noosaville,579,65,13,0,35,12,9,20,21,0,49,807
Sunshine Beach,523,97,14,0,16,11,7,35,17,0,60,775
Tewantin,768,73,9,3,22,15,13,22,15,0,49,982
Peregian Beach - Marcus Beach,302,54,7,0,7,0,0,12,3,0,28,412
Peregian Springs,764,121,12,0,20,15,6,38,39,0,91,1104
Beerwah,848,39,0,0,22,15,9,9,6,0,79,1024
Caloundra Hinterland,563,36,9,0,17,6,6,4,8,0,34,686
Glass House Mountains,575,27,4,0,6,15,0,9,3,0,41,683
Landsborough,1012,70,3,0,20,4,3,19,19,0,93,1249
Maroochy Hinterland,441,27,0,0,7,5,0,3,9,0,39,532
Palmwoods,961,81,10,0,26,5,4,11,23,0,49,1169
Bli Bli,937,54,3,0,27,8,21,10,10,0,62,1128
Diddillibah - Rosemount,314,22,0,0,12,5,5,4,3,0,26,394
Eumundi - Yandina,948,63,8,0,38,7,3,15,17,0,72,1176
Nambour,2060,105,14,6,71,21,31,27,37,0,135,2509
Noosa Hinterland,1751,150,12,3,39,22,3,31,24,0,145,2171
Cambooya - Wyreema,795,22,3,0,7,0,4,4,11,0,72,928
Darling Heights,1174,36,11,142,90,95,240,21,70,0,111,1988
Drayton - Harristown,997,15,5,30,56,18,49,15,15,0,100,1294
Gatton,570,9,3,29,48,231,64,13,19,0,88,1070
Gowrie (Qld),793,15,0,0,3,0,0,10,12,0,41,872
Highfields,1326,36,4,0,16,0,6,12,36,0,67,1505
Lockyer Valley - West,1111,31,4,0,18,11,0,4,17,0,110,1307
Middle Ridge,613,20,6,15,20,26,38,12,16,0,15,785
Newtown (Qld),1070,10,6,8,37,28,42,11,6,0,96,1319
North Toowoomba - Harlaxton,629,13,5,0,7,0,3,10,14,0,53,748
Rangeville,763,33,4,10,23,25,39,13,22,0,53,988
Toowoomba - Central,1395,42,9,16,45,51,63,19,26,4,118,1784
Toowoomba - East,959,30,8,5,18,11,30,12,18,0,76,1181
Toowoomba - West,1483,29,3,21,42,17,18,13,31,0,97,1763
Wilsonton,1340,17,4,7,44,30,22,10,13,0,102,1589
Ayr,831,16,5,0,23,26,14,6,0,0,80,998
Burdekin,674,14,3,0,10,13,0,0,4,0,54,779
Charters Towers,770,10,4,0,21,6,6,6,0,0,104,935
Dalrymple,363,11,3,0,4,0,0,0,0,0,56,430
Ingham,326,9,0,0,15,0,5,3,0,0,34,397
Ingham Region,463,6,0,0,14,5,0,0,3,0,56,547
Palm Island,310,0,0,0,0,0,0,0,0,0,5,315
Aitkenvale,458,17,3,7,43,17,28,12,29,0,46,664
Annandale,797,41,5,7,30,22,57,12,35,0,55,1060
Belgian Gardens - Pallarenda,278,34,4,0,12,3,0,6,3,0,37,380
Bohle Plains,998,45,0,0,19,3,19,15,27,0,52,1185
Condon - Rasmussen,1222,25,4,3,40,10,9,12,4,0,90,1418
Cranbrook,525,12,0,5,66,21,22,15,15,0,51,733
Deeragun,3427,118,12,7,63,18,16,27,46,0,229,3969
Douglas,702,35,11,9,48,34,107,33,30,0,59,1070
Garbutt - West End,725,24,11,3,18,18,13,14,8,0,107,942
Gulliver - Currajong - Vincent,888,16,7,0,53,9,5,13,10,0,77,1093
Heatley,450,4,0,0,26,8,3,6,9,0,39,544
Hermit Park - Rosslea,589,32,3,0,36,13,26,19,21,0,64,805
Hyde Park - Pimlico,497,20,0,3,32,10,17,12,14,0,37,642
Kelso,1290,30,5,0,26,4,0,6,12,0,124,1504
Kirwan - East,832,16,3,0,37,10,9,8,14,0,56,988
Kirwan - West,1957,54,9,3,58,10,26,12,31,0,115,2283
Magnetic Island,138,18,6,0,6,5,0,11,3,0,28,217
Mount Louisa,1302,25,7,0,41,8,15,14,32,4,83,1533
Mundingburra,307,7,5,5,13,7,11,12,3,0,17,397
Northern Beaches,602,18,0,0,17,3,0,3,4,0,79,732
Oonoonba,842,45,4,3,28,28,37,23,13,0,45,1076
South Townsville - Railway Estate,578,39,12,3,23,9,7,12,4,0,91,772
Townsville - South,408,21,0,0,10,5,0,11,3,0,38,487
Townsville City - North Ward,874,107,23,14,45,36,38,64,23,0,158,1388
Wulguru - Roseneath,666,14,3,0,14,0,0,3,4,0,53,763
Ashfield - Kepnock,533,9,0,0,17,13,8,0,3,0,28,612
Bargara - Burnett Heads,1437,70,11,8,39,33,8,20,36,0,71,1729
Branyan - Kensington,474,13,4,0,14,9,0,4,9,0,37,555
Bundaberg,514,20,6,3,45,84,46,4,3,0,78,814
Bundaberg East - Kalkie,592,21,8,0,17,11,27,0,9,0,35,718
Bundaberg North - Gooburrum,515,13,7,0,24,48,6,3,7,0,60,683
Bundaberg Region - North,706,24,0,0,8,30,0,0,3,0,89,868
Bundaberg Region - South,681,15,3,0,24,7,0,5,3,0,88,834
Millbank - Avoca,673,15,0,3,22,8,14,3,3,0,49,792
Svensson Heights - Norville,557,5,4,0,14,11,8,3,3,0,41,643
Walkervale - Avenell Heights,1086,15,3,0,38,25,4,6,8,0,82,1273
Gayndah - Mundubbera,527,14,7,0,18,52,15,0,3,0,75,705
Gin Gin,376,19,7,0,8,0,0,3,0,0,39,451
Kingaroy,1121,15,4,0,49,5,14,3,9,0,87,1301
Kingaroy Region - North,815,15,0,0,22,0,6,0,0,0,78,934
Kingaroy Region - South,368,7,0,0,7,0,0,0,6,0,27,419
Monto - Eidsvold,307,7,0,0,11,0,0,0,5,0,45,375
Nanango,714,14,0,0,19,8,3,6,6,0,81,835
North Burnett,0,0,0,0,0,0,0,0,0,0,0,0
Cooloola,362,22,0,0,12,0,0,0,4,0,34,444
Gympie - North,1417,36,7,0,42,14,13,11,3,0,115,1666
Gympie - South,656,15,4,5,13,4,5,0,6,0,43,751
Gympie Region,1576,50,5,5,40,7,5,8,13,0,168,1870
Kilkivan,299,0,0,0,3,0,3,0,0,0,42,356
Booral - River Heads,412,22,3,0,5,3,3,0,5,0,33,489
Craignish - Dundowran Beach,411,19,3,0,8,3,0,8,15,0,18,482
Pialba - Eli Waters,1093,40,10,7,56,20,51,13,27,0,94,1408
Point Vernon,461,11,0,0,21,4,4,3,8,0,41,562
Torquay - Scarness - Kawungan,1188,62,3,4,50,6,18,12,21,0,119,1485
Urangan - Wondunna,1080,50,6,5,29,8,18,14,14,0,105,1335
Burrum - Fraser,734,28,0,0,22,6,0,9,5,0,81,882
Granville,279,3,0,0,8,0,0,0,0,0,25,318
Maryborough (Qld),1572,26,3,3,46,14,17,11,4,0,129,1821
Maryborough Region - South,581,12,0,0,11,0,0,0,4,0,63,680
Tinana,525,7,0,0,11,6,4,4,6,0,36,604
Migratory - Offshore - Shipping (Qld),5,0,0,0,0,0,0,5,0,0,0,12
No Usual Address (Qld),813,165,26,3,43,133,28,50,13,0,234,1518
Adelaide,927,82,70,74,252,669,115,93,34,0,239,2560
North Adelaide,456,57,25,25,69,84,71,41,13,0,82,923
Adelaide Hills,536,36,5,0,12,4,0,6,0,0,40,640
Aldgate - Stirling,1536,122,31,12,36,29,4,27,15,0,85,1889
Hahndorf - Echunga,363,29,0,0,9,5,3,5,4,0,21,429
Lobethal - Woodside,813,38,8,3,24,4,4,9,12,0,48,953
Mount Barker,1898,131,12,9,51,34,37,25,25,0,161,2378
Mount Barker Region,623,34,3,5,3,3,0,4,4,0,53,739
Nairne,645,43,3,0,12,0,0,10,9,0,50,771
Uraidla - Summertown,458,23,10,4,16,17,0,5,12,0,27,574
Burnside - Wattle Park,1189,93,27,59,148,333,126,37,26,4,72,2109
Glenside - Beaumont,544,49,19,19,87,159,79,27,16,0,49,1033
Toorak Gardens,985,71,33,43,131,243,164,43,16,0,60,1794
Athelstone,807,40,21,31,31,50,34,13,12,0,26,1060
Paradise - Newton,1386,43,62,86,164,256,320,39,50,4,120,2534
Rostrevor - Magill,1603,61,71,62,188,446,305,33,47,0,90,2911
Norwood (SA),864,82,37,39,94,167,98,57,19,0,120,1580
Payneham - Felixstow,1045,43,37,35,108,218,148,21,21,0,63,1745
St Peters - Marden,1084,68,30,38,87,141,183,33,22,0,60,1747
Nailsworth - Broadview,606,21,14,8,45,36,139,8,3,0,40,928
Prospect,1303,51,39,24,123,92,238,25,24,0,88,2017
Walkerville,469,27,22,17,57,88,55,13,10,0,50,814
Goodwood - Millswood,1657,108,45,24,125,215,188,35,38,0,118,2542
Unley - Parkside,1735,125,47,33,118,253,129,56,34,0,123,2655
Gawler - North,1055,48,12,0,12,0,3,10,13,0,55,1203
Gawler - South,1913,95,16,10,53,18,16,23,15,0,127,2273
Lewiston - Two Wells,582,27,7,0,16,0,0,0,5,0,48,683
Craigmore - Blakeview,2184,92,24,35,66,15,64,18,42,0,122,2656
Davoren Park,2097,51,8,78,100,12,74,15,94,3,191,2731
Elizabeth,790,16,13,43,80,5,157,7,27,4,126,1262
Elizabeth East,1175,33,17,31,76,12,97,24,28,0,109,1598
Munno Para West - Angle Vale,1571,55,16,37,59,20,40,14,57,0,118,1981
One Tree Hill,171,13,0,0,0,0,0,7,0,0,15,206
Smithfield - Elizabeth North,1208,26,17,23,63,8,46,8,37,0,134,1566
Virginia - Waterloo Corner,284,6,3,6,98,0,3,0,4,0,42,451
Enfield - Blair Athol,1621,47,62,83,362,212,857,35,80,3,203,3561
