SA2,Never married,Widowed,Divorced,Separated,Married,Total
Cannington - Queens Park,1141,18,124,91,2159,3532
Parkwood - Ferndale - Lynwood,740,3,95,61,1094,1990
Riverton - Shelley - Rossmoyne,406,10,50,42,1020,1527
Welshpool,0,0,0,0,0,0
Willetton,477,10,77,65,1614,2240
Beckenham - Kenwick - Langford,1059,21,138,114,1709,3038
Canning Vale - East,835,14,121,109,2489,3572
Gosnells,1175,25,139,139,1489,2964
Huntingdale - Southern River,826,7,149,109,2121,3216
Maddington - Orange Grove - Martin,601,15,77,81,1116,1889
Thornlie,1099,17,148,108,1874,3246
Forrestfield - Wattle Grove,997,10,134,110,1710,2956
High Wycombe,735,7,99,96,898,1838
Kalamunda - Maida Vale - Gooseberry Hill,473,7,82,43,941,1544
Lesmurdie - Bickley - Carmel,306,12,58,39,699,1118
Byford,945,13,168,137,1647,2906
Mundijong,215,5,34,23,461,735
Serpentine - Jarrahdale,141,0,19,9,283,451
Como,1147,5,100,68,1085,2409
Manning - Waterford,454,4,68,34,760,1316
South Perth - Kensington,1082,8,113,53,1233,2485
Banjup,759,9,122,104,2151,3148
Bibra Industrial,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0
Coogee,396,0,49,49,658,1154
Coolbellup,560,9,53,40,546,1208
Hamilton Hill,812,11,88,53,603,1569
Henderson,0,0,0,0,0,0
North Coogee,156,0,10,8,212,390
South Lake - Cockburn Central,747,4,65,73,818,1710
Spearwood,572,8,58,75,678,1387
Success - Hammond Park,825,8,118,101,1968,3025
Yangebup,410,6,43,35,697,1189
Beeliar - Wattleup,460,3,68,46,865,1443
Jandakot,101,3,11,10,152,271
East Fremantle,345,0,50,34,451,874
Fremantle,1375,9,110,68,820,2386
Fremantle - South,1059,11,95,51,849,2055
O'Connor (WA),0,0,0,0,0,0
Bertram - Wellard (West),855,10,131,109,1843,2946
Calista,440,10,67,63,501,1072
Hope Valley - Postans,0,0,0,0,0,0
Kwinana Industrial,3,0,0,0,0,4
Parmelia - Orelia,685,12,104,83,699,1586
Casuarina - Wandi,331,0,37,23,542,937
Applecross - Ardross,428,3,60,43,803,1346
Bateman,139,3,16,6,271,434
Bicton - Palmyra,852,8,107,62,973,1993
Booragoon,594,7,70,49,1075,1791
Bull Creek,259,3,39,19,534,859
Leeming,366,0,38,39,783,1239
Melville,620,4,110,55,1196,1988
Murdoch - Kardinya,593,3,73,32,704,1404
Willagee,291,4,39,39,385,751
Winthrop,206,4,9,14,374,605
Baldivis,1862,17,272,263,3488,5904
Cooloongup,453,3,79,70,421,1035
Port Kennedy,699,14,120,108,1030,1968
Rockingham,804,11,108,103,687,1711
Rockingham Lakes,0,0,0,0,0,0
Safety Bay - Shoalwater,495,13,71,69,639,1294
Singleton - Golden Bay - Secret Harbour,829,7,187,139,1886,3054
Waikiki,601,8,96,91,856,1651
Warnbro,601,6,91,76,677,1450
Albany,660,5,102,85,714,1561
Albany Region,118,0,20,8,193,333
Bayonet Head - Lower King,170,0,37,28,323,558
Denmark,222,0,23,31,287,571
Gnowangerup,123,4,9,9,221,369
Katanning,220,9,21,24,299,578
Kojonup,186,0,12,14,282,491
Little Grove - Elleker,98,4,14,8,177,304
McKail - Willyung,465,4,68,72,710,1319
Plantagenet,178,3,32,21,261,496
Stirling Range National Park,0,0,0,0,0,0
Chittering,171,4,36,13,394,613
Cunderdin,171,3,9,20,236,434
Dowerin,168,0,29,12,250,456
Gingin - Dandaragan,387,8,39,33,433,907
Merredin,225,0,19,19,313,580
Moora,212,10,17,23,317,577
Mukinbudin,139,0,12,7,203,364
Northam,502,12,71,65,589,1240
Toodyay,141,0,18,24,189,371
York - Beverley,170,5,22,25,259,483
Brookton,121,0,11,12,226,377
Kulin,187,4,18,17,308,531
Murray,105,0,17,8,176,311
Narrogin,221,0,23,31,251,522
Wagin,165,5,20,14,317,529
Broome,1370,19,106,84,986,2555
Derby - West Kimberley,784,11,32,28,382,1235
Halls Creek,311,5,18,25,188,553
Kununurra,731,15,43,30,405,1219
Roebuck,224,0,3,6,83,321
East Pilbara,491,0,27,30,194,746
Newman,300,0,19,12,461,798
Port Hedland,329,0,35,17,470,841
South Hedland,734,4,58,53,885,1739
Ashburton (WA),719,3,58,45,742,1563
Karratha,1118,12,108,74,1701,3005
Roebourne,312,4,28,16,419,782
Esperance,589,3,79,77,699,1449
Esperance Region,140,0,16,15,312,485
Carnarvon,326,0,32,30,295,680
Exmouth,325,9,11,17,326,684
Boulder,492,12,54,42,444,1043
Kalgoorlie,878,6,84,72,1176,2225
Kalgoorlie - North,567,3,43,35,862,1507
Kalgoorlie Airport,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,309,0,15,19,266,614
Leinster - Leonora,297,8,33,34,287,664
Trafalgar (WA),0,0,0,0,0,0
Geraldton,617,5,69,78,531,1302
Geraldton - East,444,0,42,55,467,1013
Geraldton - North,376,3,52,55,569,1053
Geraldton - South,515,10,73,70,766,1429
Irwin,137,0,24,9,196,360
Meekatharra,234,17,9,19,110,379
Morawa,192,7,16,7,206,429
Northampton - Mullewa - Greenough,222,0,29,16,330,596
Migratory - Offshore - Shipping (WA),7,0,0,0,3,14
No Usual Address (WA),595,4,35,38,169,838
Bridgewater - Gagebrook,624,9,40,63,255,987
Brighton - Pontville,328,4,60,33,359,785
Old Beach - Otago,208,5,46,15,308,584
Bellerive - Rosny,280,5,32,25,319,664
Cambridge,263,0,43,22,507,849
Geilston Bay - Risdon,163,0,32,21,211,428
Howrah - Tranmere,439,5,82,41,690,1263
Lindisfarne - Rose Bay,331,6,48,32,389,808
Mornington - Warrane,384,0,45,24,220,679
Risdon Vale,232,0,19,12,117,377
Rokeby,548,0,53,56,299,957
South Arm,165,0,22,19,275,482
Austins Ferry - Granton,198,5,33,27,262,524
Berriedale - Chigwell,345,8,41,36,262,694
Claremont (Tas.),492,4,64,61,373,991
Derwent Park - Lutana,306,0,37,17,222,580
Glenorchy,726,14,77,73,510,1404
Montrose - Rosetta,242,5,41,34,262,586
Moonah,356,13,44,33,303,755
New Norfolk,417,12,40,38,272,774
West Moonah,276,6,30,24,246,578
Kingston - Huntingfield,578,14,74,61,848,1566
Kingston Beach - Blackmans Bay,458,4,63,45,647,1214
Margate - Snug,340,0,57,40,572,1010
Mount Wellington,0,0,0,0,0,0
Taroona - Bonnet Hill,127,0,18,16,193,351
Hobart,802,11,53,36,357,1253
Lenah Valley - Mount Stuart,515,6,57,40,564,1180
Mount Nelson - Dynnyrne,245,4,21,8,318,593
New Town,414,3,44,22,354,837
Sandy Bay,656,0,60,21,766,1515
South Hobart - Fern Tree,401,0,37,31,378,850
West Hobart,474,0,47,14,376,915
Dodges Ferry - Lewisham,398,11,56,44,373,884
Sorell - Richmond,395,10,74,47,489,1015
Invermay,210,0,29,26,127,394
Kings Meadows - Punchbowl,253,0,50,30,237,568
Launceston,324,6,26,26,256,637
Legana,102,5,34,16,281,446
Mowbray,230,7,25,17,206,479
Newnham - Mayfield,545,6,66,49,478,1148
Newstead,205,0,38,28,344,619
Norwood (Tas.),135,5,37,20,230,417
Prospect Vale - Blackstone,268,5,38,31,410,748
Ravenswood,282,4,29,32,96,447
Riverside,278,4,50,29,390,756
South Launceston,311,3,44,27,271,662
Summerhill - Prospect,261,6,44,33,272,617
Trevallyn,228,0,29,21,292,574
Waverley - St Leonards,216,3,33,18,191,463
West Launceston,229,0,43,21,271,568
Youngtown - Relbia,202,4,28,20,294,557
Beauty Point - Beaconsfield,144,0,13,9,125,301
Deloraine,219,7,23,28,307,586
Grindelwald - Lanena,168,0,30,21,316,545
Hadspen - Carrick,127,5,23,16,235,406
Westbury,138,0,27,19,216,399
Dilston - Lilydale,150,7,17,4,247,420
George Town,322,3,28,31,318,706
Longford,185,0,27,17,173,398
Northern Midlands,172,3,26,12,198,406
Perth - Evandale,186,3,42,18,310,563
St Helens - Scamander,226,0,30,23,217,499
Flinders and Cape Barren Islands,46,0,4,0,27,83
Scottsdale - Bridport,265,7,27,27,332,656
Central Highlands,82,4,12,9,98,200
Derwent Valley,129,0,15,13,167,322
Southern Midlands,267,0,28,30,313,634
Wilderness - East,0,0,0,0,5,5
Bruny Island - Kettering,115,0,23,7,112,255
Cygnet,174,5,32,18,174,411
Geeveston - Dover,163,0,11,17,149,345
Huonville - Franklin,350,5,56,40,524,977
Forestier - Tasman,101,0,5,9,66,185
Triabunna - Bicheno,167,0,11,22,170,374
Acton - Upper Burnie,195,0,29,15,154,402
Burnie - Ulverstone Region,178,3,29,18,288,516
Burnie - Wivenhoe,231,0,42,24,162,455
Parklands - Camdale,290,11,57,42,334,726
Penguin - Sulphur Creek,182,6,60,26,287,557
Romaine - Havenview,173,7,20,25,203,422
Somerset,182,0,39,17,188,421
Ulverstone,281,8,47,41,336,714
West Ulverstone,184,8,24,37,157,405
Wynyard,256,8,36,33,291,623
Devonport,748,18,128,88,607,1584
East Devonport,262,3,42,41,168,509
Latrobe,228,5,42,22,247,538
Miandetta - Don,133,9,40,19,275,464
Port Sorell,189,0,31,31,269,522
Quoiba - Spreyton,118,5,14,23,178,338
Sheffield - Railton,227,5,31,27,342,629
Turners Beach - Forth,104,0,11,14,201,333
King Island,86,0,4,6,82,181
North West,154,0,23,21,254,442
Smithton,156,0,30,31,202,420
Waratah,134,3,24,21,186,360
West Coast (Tas.),255,3,22,20,193,497
Wilderness - West,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),4,0,0,0,5,3
No Usual Address (Tas.),77,0,11,10,25,120
Darwin Airport,3,0,0,0,0,3
Darwin City,832,0,59,25,551,1472
East Point,5,0,0,0,0,5
Fannie Bay - The Gardens,303,0,30,7,237,577
Larrakeyah,340,0,19,11,337,713
Ludmilla - The Narrows,197,0,23,14,191,420
Parap,257,0,12,20,269,562
Stuart Park,469,3,38,24,370,904
Woolner - Bayview - Winnellie,224,0,29,4,247,513
Alawa,159,0,18,8,167,352
Anula,136,0,12,14,179,350
Berrimah,60,3,10,10,86,161
Brinkin - Nakara,257,3,28,4,291,584
Buffalo Creek,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0
Coconut Grove,238,0,31,16,307,595
East Arm,4,0,0,0,0,4
Jingili,114,0,8,8,119,261
Karama,341,0,46,26,376,790
Leanyer,260,3,31,20,396,708
Lyons (NT),232,0,23,12,699,973
Malak - Marrara,294,3,25,25,323,671
Millner,208,0,23,12,211,456
Moil,95,0,20,10,174,297
Nightcliff,359,0,24,14,360,755
Rapid Creek,305,0,41,14,294,648
Tiwi,166,0,21,13,205,410
Wagaman,118,0,16,15,192,345
Wanguri,106,0,16,10,144,271
Wulagi,167,0,17,9,196,389
Howard Springs,237,0,23,16,211,493
Humpty Doo,445,8,66,36,711,1268
Koolpinyah,3,0,0,0,0,3
Virginia,216,0,24,14,165,420
Weddell,287,5,27,21,253,590
Bakewell,252,0,25,30,279,586
Driver,187,4,33,19,237,480
Durack - Marlow Lagoon,256,0,31,17,478,783
Gray,251,3,33,23,234,542
Moulden,246,5,26,27,161,456
Palmerston - North,281,3,42,16,445,784
Palmerston - South,240,0,29,17,384,667
Rosebery - Bellamack,409,5,65,38,798,1314
Woodroffe,262,3,22,20,242,545
Charles,334,9,21,42,291,693
East Side,496,15,27,35,355,924
Flynn (NT),339,3,26,30,342,737
Larapinta,322,0,28,40,396,788
Mount Johns,365,0,24,25,328,749
Petermann - Simpson,240,3,17,18,177,456
Ross,123,4,10,12,136,288
Sandover - Plenty,201,10,11,25,283,528
Tanami,154,13,12,24,269,467
Yuendumu - Anmatjere,85,11,5,30,232,364
Barkly,175,4,5,18,176,380
Tennant Creek,235,7,16,17,182,446
Alligator,280,3,27,20,251,575
Daly,132,8,7,5,90,244
Thamarrurr,299,8,11,11,123,450
Tiwi Islands,283,9,6,4,101,398
West Arnhem,194,9,21,17,558,801
Anindilyakwa,141,9,8,12,269,444
East Arnhem,387,37,42,38,719,1213
Nhulunbuy,199,4,27,26,279,524
Elsey,66,5,14,21,212,324
Gulf,226,18,26,15,307,589
Katherine,667,12,67,39,758,1542
Victoria River,130,0,8,23,184,349
Migratory - Offshore - Shipping (NT),6,0,0,0,0,4
No Usual Address (NT),288,4,11,12,105,420
Aranda,94,0,13,7,170,279
Belconnen,781,7,67,41,603,1497
Bruce,638,3,33,24,563,1261
Charnwood,196,0,38,17,239,496
Cook,183,0,21,16,193,419
Dunlop,348,11,80,32,763,1235
Evatt,277,4,38,17,446,781
Florey,227,4,42,27,369,669
Flynn (ACT),155,5,18,17,262,459
Fraser,69,0,17,6,157,254
Giralang,211,0,20,13,262,512
Gooromon,0,0,0,0,0,0
Hawker,133,0,19,8,198,354
Higgins,169,0,19,9,253,455
Holt,276,0,42,46,371,735
Kaleen,346,0,41,27,539,956
Latham,217,0,34,14,318,585
Lawson,0,0,0,0,17,24
Macgregor (ACT),437,3,77,41,799,1358
Macquarie,160,0,16,16,229,424
McKellar,99,0,12,10,197,321
Melba,164,0,20,21,240,440
Page,198,0,26,10,226,458
Scullin,184,0,23,25,228,461
Spence,147,0,17,13,200,381
Weetangera,79,0,15,8,185,284
Molonglo Corridor,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0
Hume,11,0,0,0,6,20
Kowen,0,0,0,0,4,6
Canberra East,47,0,3,3,18,74
Canberra Airport,11,0,3,0,13,20
Majura,4,0,0,0,15,16
Amaroo,177,3,54,24,659,919
Bonner,308,0,65,48,1066,1493
Casey,415,0,81,36,884,1413
Crace,276,0,44,15,713,1050
Forde,131,3,42,24,643,843
Franklin,493,0,59,31,927,1512
Gungahlin,380,3,63,30,737,1211
Hall,8,0,0,0,16,26
Harrison,429,7,68,37,1101,1641
Mitchell,0,0,0,0,0,0
Ngunnawal,670,7,118,59,1145,2000
Nicholls,194,3,35,18,474,728
Palmerston,297,0,55,24,491,868
Gungahlin - East,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0
Jacka,52,0,7,3,110,175
Kenny,0,0,0,0,0,4
Moncrieff,6,0,0,0,21,25
Taylor,0,0,0,0,0,0
Throsby,0,0,0,0,0,0
Acton,176,0,4,4,27,205
Ainslie,342,3,24,15,331,714
Braddon,920,0,38,15,347,1328
Civic,446,3,28,13,178,668
Dickson,248,3,17,16,153,434
Downer,273,0,16,24,299,616
Hackett,155,0,16,6,218,398
Lyneham,506,4,43,19,365,942
O'Connor (ACT),412,0,44,13,343,815
Turner,570,0,25,10,280,882
Watson,518,3,39,28,538,1125
Black Mountain,0,0,0,0,0,0
Campbell,169,0,12,5,203,395
Duntroon,59,0,3,4,83,153
Parkes (ACT) - North,0,0,0,0,0,0
Reid,146,0,6,8,63,225
Russell,0,0,0,0,0,0
Deakin,89,3,12,9,189,303
Forrest,136,0,8,4,97,245
Griffith (ACT),407,4,36,14,301,762
Lake Burley Griffin,0,0,0,0,0,0
Narrabundah,363,7,55,26,440,888
Parkes (ACT) - South,0,0,0,0,0,0
Red Hill (ACT),115,3,16,6,185,334
Yarralumla,100,0,11,7,161,269
Barton,194,0,11,3,106,316
Fyshwick,0,0,3,0,0,3
Kingston (ACT),785,0,34,20,314,1150
Banks,278,6,48,31,475,841
Bonython,186,5,31,27,294,539
Calwell,271,0,57,28,423,775
Chisholm,232,4,41,30,382,682
Conder,218,5,37,20,381,654
Fadden,80,0,17,6,201,304
Gilmore,150,0,28,17,212,407
Gordon (ACT),371,3,64,44,553,1037
Gowrie (ACT),139,0,18,16,214,386
Greenway,132,0,16,9,188,340
Isabella Plains,216,0,43,39,378,666
Kambah,724,10,87,61,1041,1929
Macarthur,53,0,3,4,110,166
Monash,221,5,36,34,367,667
Mount Taylor,0,0,0,0,0,0
Oxley (ACT),77,0,12,9,106,206
Richardson,179,0,24,21,241,468
Theodore,193,0,31,10,313,551
Tuggeranong,0,0,0,0,0,0
Wanniassa,361,5,46,36,539,991
Tuggeranong - West,0,0,0,0,0,0
Chapman,62,0,20,6,170,254
Duffy,144,0,25,17,256,439
Fisher,151,0,16,13,252,436
Holder,114,0,21,4,222,362
Rivett,170,0,31,20,255,477
Stirling,84,0,13,14,147,249
Waramanga,138,3,16,6,218,377
Weston,146,8,23,11,280,459
Scrivener,0,0,0,0,0,0
Chifley,154,0,20,7,222,402
Curtin,207,0,27,11,397,643
Farrer,124,3,17,10,217,361
Garran,141,0,15,7,285,451
Hughes,104,3,13,5,197,325
Isaacs,72,0,8,0,139,219
Lyons (ACT),197,0,30,14,252,493
Mawson,153,0,21,10,297,485
O'Malley,24,0,3,0,51,80
Pearce,95,0,20,9,177,295
Phillip,355,6,29,11,386,778
Torrens,76,0,13,11,172,266
Arboretum,0,0,0,0,0,0
Coombs,137,0,18,11,276,443
Denman Prospect,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0
Wright,365,0,17,15,344,738
ACT - South West,29,0,7,0,68,99
Namadgi,5,0,0,0,5,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0
No Usual Address (ACT),58,0,3,4,6,77
Christmas Island,64,3,7,0,133,208
Cocos (Keeling) Islands,15,0,0,0,60,72
Jervis Bay,31,0,0,4,17,56
Norfolk Island,87,0,7,12,90,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0
No Usual Address (OT),3,0,0,0,4,8
Total,1264453,13398,170545,120933,1729324,3298649
