SA2,Nil distance,Over 0 km to less than 2.5 km,2.5 km to less than 10 km,10 km to less than 30 km,30 km to less than 50 km,50 km to less than 250 km,250 km and over,Not applicable,Total
Wurtulla - Birtinya,67,64,254,251,46,41,12,305,1038
Coolum Beach,169,130,186,784,52,65,21,601,2006
Marcoola - Mudjimba,90,54,185,428,40,47,13,404,1252
Maroochydore - Kuluin,121,360,606,474,90,75,17,758,2500
Mooloolaba - Alexandra Headland,73,163,438,280,44,61,23,484,1564
Noosa Heads,54,75,98,17,27,14,11,124,417
Noosaville,59,90,239,58,79,24,12,249,807
Sunshine Beach,72,66,245,66,76,20,12,224,775
Tewantin,83,62,314,118,75,23,6,313,982
Peregian Beach - Marcus Beach,36,26,59,114,40,15,7,118,412
Peregian Springs,113,59,102,370,52,27,7,370,1104
Beerwah,66,68,113,197,156,48,12,366,1024
Caloundra Hinterland,63,52,82,108,103,36,8,237,686
Glass House Mountains,47,11,69,113,158,59,12,210,683
Landsborough,93,32,59,468,67,67,14,452,1249
Maroochy Hinterland,39,18,52,130,57,35,8,199,532
Palmwoods,90,46,140,437,41,34,14,359,1169
Bli Bli,58,34,230,396,54,26,12,321,1128
Diddillibah - Rosemount,42,7,68,123,8,10,3,131,394
Eumundi - Yandina,121,44,95,356,93,27,4,433,1176
Nambour,119,269,412,642,93,54,12,906,2509
Noosa Hinterland,210,74,197,534,271,107,28,753,2171
Cambooya - Wyreema,55,6,93,455,15,19,8,274,928
Darling Heights,52,161,827,71,46,31,11,802,1988
Drayton - Harristown,39,151,553,36,18,25,14,467,1294
Gatton,28,177,179,144,67,33,4,434,1070
Gowrie (Qld),38,14,44,506,3,20,3,237,872
Highfields,122,48,160,745,20,25,13,377,1505
Lockyer Valley - West,62,11,161,442,96,48,8,476,1307
Middle Ridge,49,38,405,43,16,19,0,209,785
Newtown (Qld),36,243,483,46,10,27,7,472,1319
North Toowoomba - Harlaxton,20,105,281,30,13,16,0,280,748
Rangeville,36,89,506,37,16,24,3,280,988
Toowoomba - Central,49,397,646,51,31,35,8,568,1784
Toowoomba - East,68,286,406,34,17,34,5,332,1181
Toowoomba - West,91,47,706,352,21,33,7,502,1763
Wilsonton,36,104,696,75,18,20,8,632,1589
Ayr,38,323,213,57,13,51,6,297,998
Burdekin,40,71,113,233,46,40,9,222,779
Charters Towers,18,320,186,0,0,18,20,363,935
Dalrymple,48,4,73,50,20,60,23,149,430
Ingham,18,161,46,7,3,0,0,141,397
Ingham Region,24,3,82,214,27,22,7,161,547
Palm Island,104,0,0,0,0,0,3,211,315
Aitkenvale,17,84,287,13,3,3,8,245,664
Annandale,50,68,501,125,3,3,21,292,1060
Belgian Gardens - Pallarenda,11,29,149,72,0,10,5,102,380
Bohle Plains,36,0,154,653,5,9,16,301,1185
Condon - Rasmussen,42,30,367,385,0,4,22,566,1418
Cranbrook,14,68,291,72,0,0,7,277,733
Deeragun,129,85,331,2178,16,17,55,1166,3969
Douglas,28,74,466,159,0,5,23,308,1070
Garbutt - West End,19,87,414,54,0,3,16,344,942
Gulliver - Currajong - Vincent,25,146,497,29,0,3,14,380,1093
Heatley,14,42,230,23,0,0,8,214,544
Hermit Park - Rosslea,18,68,431,30,0,4,11,249,805
Hyde Park - Pimlico,19,91,297,18,6,4,3,202,642
Kelso,32,33,128,690,0,9,16,592,1504
Kirwan - East,35,69,379,100,0,3,8,387,988
Kirwan - West,59,129,940,486,0,0,27,633,2283
Magnetic Island,6,39,36,49,0,0,5,82,217
Mount Louisa,53,35,753,255,0,0,29,408,1533
Mundingburra,13,54,188,14,5,0,9,113,397
Northern Beaches,37,4,18,212,164,20,18,256,732
Oonoonba,32,41,621,113,0,10,11,247,1076
South Townsville - Railway Estate,28,101,264,88,0,3,16,255,772
Townsville - South,21,3,11,203,72,26,10,141,487
Townsville City - North Ward,40,257,347,288,5,11,15,422,1388
Wulguru - Roseneath,13,19,252,121,3,0,18,340,763
Ashfield - Kepnock,12,28,318,28,5,8,10,204,612
Bargara - Burnett Heads,80,59,161,850,4,12,30,539,1729
Branyan - Kensington,21,5,170,155,8,4,10,180,555
Bundaberg,12,166,146,42,11,11,18,401,814
Bundaberg East - Kalkie,20,62,350,32,0,9,7,235,718
Bundaberg North - Gooburrum,30,53,249,59,7,4,4,284,683
Bundaberg Region - North,41,8,27,285,69,11,14,414,868
Bundaberg Region - South,51,60,69,177,70,35,6,358,834
Millbank - Avoca,18,83,363,30,8,9,8,272,792
Svensson Heights - Norville,17,121,219,21,3,8,6,256,643
Walkervale - Avenell Heights,29,106,546,45,7,9,11,529,1273
Gayndah - Mundubbera,52,144,68,74,68,48,7,240,705
Gin Gin,16,18,40,59,35,42,4,235,451
Kingaroy,41,300,371,35,37,19,7,486,1301
Kingaroy Region - North,68,86,51,171,72,37,9,450,934
Kingaroy Region - South,31,6,57,149,24,11,0,138,419
Monto - Eidsvold,30,54,17,51,9,54,8,155,375
Nanango,21,61,60,159,61,36,3,431,835
North Burnett,0,0,0,0,0,0,0,0,0
Cooloola,22,63,38,43,25,31,5,218,444
Gympie - North,47,279,502,47,14,58,4,715,1666
Gympie - South,33,39,340,17,10,25,3,286,751
Gympie Region,149,10,276,418,108,103,21,787,1870
Kilkivan,54,13,6,70,29,30,0,155,356
Booral - River Heads,23,0,49,184,28,0,7,186,489
Craignish - Dundowran Beach,27,7,118,142,26,0,10,146,482
Pialba - Eli Waters,45,192,491,41,70,7,10,560,1408
Point Vernon,23,12,203,39,28,4,8,247,562
Torquay - Scarness - Kawungan,63,150,536,29,97,7,18,587,1485
Urangan - Wondunna,60,70,557,54,51,11,18,514,1335
Burrum - Fraser,32,25,51,211,109,17,11,424,882
Granville,12,20,90,25,16,0,5,147,318
Maryborough (Qld),47,329,399,87,118,4,9,833,1821
Maryborough Region - South,27,7,31,171,67,50,10,321,680
Tinana,24,25,273,13,38,3,0,220,604
Migratory - Offshore - Shipping (Qld),0,0,0,0,0,0,0,12,12
No Usual Address (Qld),0,0,0,0,0,0,0,1518,1518
Adelaide,32,878,374,161,18,10,40,1054,2560
North Adelaide,18,161,334,90,5,4,7,293,923
Adelaide Hills,46,16,31,172,172,19,5,176,640
Aldgate - Stirling,110,40,143,1051,64,23,18,433,1889
Hahndorf - Echunga,28,21,63,137,72,10,5,99,429
Lobethal - Woodside,51,56,85,244,230,25,6,264,953
Mount Barker,105,184,355,184,788,41,8,709,2378
Mount Barker Region,50,3,17,188,198,53,0,225,739
Nairne,29,17,146,91,279,7,6,198,771
Uraidla - Summertown,52,16,81,261,13,5,3,144,574
Burnside - Wattle Park,98,93,973,300,23,16,13,605,2109
Glenside - Beaumont,52,58,459,169,10,3,5,279,1033
Toorak Gardens,72,162,773,222,16,11,9,525,1794
Athelstone,45,17,188,549,10,0,0,247,1060
Paradise - Newton,74,144,881,624,23,10,7,770,2534
Rostrevor - Magill,94,103,1157,640,29,11,10,869,2911
Norwood (SA),55,249,564,187,16,5,20,478,1580
Payneham - Felixstow,50,108,877,210,14,5,4,475,1745
St Peters - Marden,64,152,813,222,17,7,14,458,1747
Nailsworth - Broadview,31,63,505,106,9,0,3,207,928
Prospect,54,114,989,267,22,8,4,553,2017
Walkerville,26,48,394,91,13,3,11,235,814
Goodwood - Millswood,89,197,1325,233,19,11,18,656,2542
Unley - Parkside,109,275,1255,315,20,16,16,657,2655
Gawler - North,61,51,154,311,250,21,12,353,1203
Gawler - South,60,174,274,549,405,22,8,789,2273
Lewiston - Two Wells,26,8,39,210,170,8,0,218,683
Craigmore - Blakeview,57,82,499,694,346,10,8,955,2656
Davoren Park,35,57,345,538,263,12,17,1467,2731
Elizabeth,10,61,118,182,7,0,5,881,1262
Elizabeth East,24,61,251,473,31,4,3,740,1598
Munno Para West - Angle Vale,57,34,268,532,356,8,8,731,1981
One Tree Hill,12,0,18,76,46,3,0,52,206
Smithfield - Elizabeth North,11,52,170,282,100,7,3,951,1566
Virginia - Waterloo Corner,23,21,40,149,43,4,0,166,451
Enfield - Blair Athol,83,157,1264,560,24,12,13,1442,3561
Northgate - Oakden - Gilles Plains,104,136,1113,1268,31,13,18,1321,4010
Windsor Gardens,82,138,1464,672,29,15,15,1146,3557
Dry Creek - North,0,0,0,0,0,0,0,0,0
Ingle Farm,50,50,385,769,20,8,8,652,1919
Para Hills,56,49,418,729,16,4,6,702,1977
Parafield,0,3,0,0,0,0,0,14,16
Parafield Gardens,59,66,366,897,14,4,5,995,2398
Paralowie,39,62,363,955,21,11,3,1010,2458
Salisbury,38,82,290,668,9,9,4,1206,2309
Salisbury East,55,50,475,780,21,5,11,796,2194
Salisbury North,33,78,404,903,33,7,5,1178,2650
Mawson Lakes - Globe Derby Park,65,98,426,1083,15,16,13,771,2483
Pooraka - Cavan,24,31,196,392,5,3,3,433,1091
Golden Grove,38,41,224,619,20,10,11,278,1238
Greenwith,39,17,230,614,26,4,7,279,1210
Highbury - Dernancourt,50,32,254,574,21,0,6,301,1233
Hope Valley - Modbury,52,127,373,911,21,6,11,678,2188
Modbury Heights,69,58,476,1118,18,5,16,657,2410
Redwood Park,46,50,330,1091,23,7,14,543,2105
St Agnes - Ridgehaven,51,89,265,742,30,3,4,378,1559
Brighton (SA),62,109,298,672,18,3,10,363,1534
Glenelg (SA),76,222,600,896,31,10,34,636,2506
Edwardstown,43,87,1017,321,13,3,10,668,2161
Hallett Cove,63,31,207,785,31,5,3,409,1537
Marino - Seaview Downs,47,38,288,524,13,11,7,278,1202
Mitchell Park,65,99,551,689,18,10,14,763,2209
Morphettville,55,124,782,541,17,10,19,558,2106
Sheidow Park - Trott Park,51,29,245,854,22,0,4,350,1556
Warradale,49,123,427,799,17,8,12,684,2122
Belair,20,8,98,191,13,5,3,88,425
Bellevue Heights,38,51,160,314,11,3,3,334,911
Blackwood,62,43,242,744,20,4,5,280,1400
Colonel Light Gardens,70,143,1155,267,20,5,8,503,2179
Mitcham (SA),84,98,915,234,28,15,11,405,1792
Panorama,40,50,340,261,11,3,4,333,1049
Aberfoyle Park,49,36,180,729,33,9,11,357,1404
Aldinga,92,129,97,450,443,85,21,852,2158
Christie Downs,26,55,165,277,116,11,4,561,1216
Christies Beach,33,109,149,310,110,10,3,505,1236
Clarendon,17,0,12,116,29,4,4,50,232
Coromandel Valley,27,4,75,297,19,5,0,115,542
Flagstaff Hill,47,21,248,584,23,4,3,326,1263
Hackham - Onkaparinga Hills,20,25,166,244,36,0,4,240,741
Hackham West - Huntfield Heights,19,32,190,227,76,4,0,494,1046
Happy Valley,62,41,291,907,39,8,9,450,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,0,3
McLaren Vale,42,35,64,137,156,11,6,146,591
Morphett Vale - East,31,69,277,708,58,11,0,621,1778
Morphett Vale - West,34,53,194,445,56,3,0,532,1308
Reynella,28,68,207,631,45,9,7,395,1385
Seaford (SA),118,98,515,708,656,36,9,991,3138
Willunga,18,35,40,72,71,10,0,95,341
Woodcroft,46,41,215,753,50,7,0,310,1417
Beverley,17,97,510,202,7,3,0,334,1176
Flinders Park,53,104,887,308,10,3,9,578,1954
Henley Beach,67,67,509,622,21,8,13,451,1750
Hindmarsh - Brompton,73,134,1457,272,25,13,14,750,2733
Royal Park - Hendon - Albert Park,18,43,217,305,6,4,5,257,854
Seaton - Grange,63,100,559,688,31,0,8,609,2056
West Lakes,64,58,276,624,23,7,11,442,1506
Woodville - Cheltenham,57,129,754,663,22,10,12,794,2441
Dry Creek - South,0,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,47,128,342,905,17,5,17,461,1930
North Haven,33,75,296,765,22,5,9,551,1755
Port Adelaide,16,92,337,491,19,0,8,482,1449
The Parks,48,123,897,489,16,6,14,1178,2771
Torrens Island,0,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0,0
Fulham,8,4,129,58,0,0,0,87,294
Lockleys,45,120,856,239,18,5,9,549,1829
Plympton,85,226,1790,497,40,0,17,1101,3767
Richmond (SA),66,188,1429,246,22,4,19,809,2775
West Beach,28,23,219,190,3,0,8,159,640
Barossa - Angaston,39,36,127,140,73,66,7,197,679
Light,70,68,81,266,142,110,7,338,1087
Lyndoch,50,17,37,205,148,68,3,200,724
Mallala,22,11,3,42,81,57,0,136,340
Nuriootpa,38,125,240,64,51,32,3,201,745
Tanunda,24,90,130,69,23,36,0,112,475
Clare,14,182,112,20,11,18,8,110,481
Gilbert Valley,47,14,44,91,54,40,0,179,468
Goyder,40,34,17,45,34,57,3,139,374
Wakefield - Barunga West,74,103,25,139,119,112,9,361,936
Jamestown,39,54,10,50,100,59,3,120,445
Peterborough - Mount Remarkable,30,79,16,45,57,41,9,180,448
Port Pirie,30,323,533,5,10,31,3,609,1547
Port Pirie Region,15,22,25,125,30,20,4,93,332
Kadina,17,195,73,57,7,14,4,211,578
Moonta,15,39,51,97,18,14,3,139,383
Wallaroo,20,42,83,32,3,19,4,153,345
Yorke Peninsula - North,68,94,17,85,50,53,0,183,547
Yorke Peninsula - South,25,32,15,61,23,29,3,102,285
Ceduna,13,144,71,7,0,0,6,113,352
Eyre Peninsula,67,73,27,122,79,93,6,195,669
Kimba - Cleve - Franklin Harbour,61,127,25,41,34,27,4,128,445
Le Hunte - Elliston,43,26,22,32,11,27,0,75,237
Port Lincoln,79,605,585,52,6,13,11,574,1916
West Coast (SA),45,56,22,26,32,50,10,147,385
Western,0,0,0,0,0,0,0,5,10
Whyalla,30,493,1003,0,4,44,20,1084,2684
Whyalla - North,0,0,0,0,0,0,0,0,0
APY Lands,67,0,0,5,0,16,48,251,379
Coober Pedy,8,77,36,0,0,0,3,82,204
Quorn - Lake Gilles,17,31,6,6,40,21,9,66,186
Outback,32,0,0,0,11,15,109,112,277
Port Augusta,15,301,586,36,10,20,21,613,1603
Roxby Downs,27,293,72,45,0,0,17,195,648
Goolwa - Port Elliot,51,96,154,140,19,56,4,318,833
Kangaroo Island,45,68,42,72,58,70,5,130,475
Strathalbyn,34,115,54,102,81,121,5,275,792
Strathalbyn Region,51,5,40,167,148,96,9,243,771
Victor Harbor,45,138,354,75,19,78,11,406,1129
Yankalilla,34,32,44,79,64,58,0,175,483
Grant,53,10,104,176,42,9,5,171,565
Kingston - Robe,39,90,36,40,26,26,4,99,358
Millicent,11,135,78,19,28,35,4,202,507
Naracoorte,28,250,124,47,24,27,13,233,748
Naracoorte Region,33,0,3,71,25,21,0,62,226
Penola,27,41,24,68,44,28,8,109,349
Tatiara,64,133,64,102,113,78,14,188,737
Wattle Range,29,5,10,86,45,29,0,128,323
Mount Gambier - East,44,381,736,44,7,29,23,530,1798
Mount Gambier - West,34,391,581,37,21,15,14,554,1648
Barmera,34,39,130,173,32,12,3,203,632
Berri,7,168,38,92,0,4,0,186,498
Karoonda - Lameroo,33,44,11,34,27,43,4,95,299
Loxton,24,117,123,109,37,4,5,150,568
Loxton Region,6,4,12,45,20,11,0,61,162
Mannum,39,62,20,51,75,72,0,197,518
Murray Bridge,41,284,626,110,61,99,9,796,2023
Murray Bridge Region,36,4,9,132,36,48,0,109,372
Renmark,14,134,61,94,9,4,7,219,534
Renmark Region,23,10,160,152,23,4,6,183,553
The Coorong,47,43,29,59,30,98,5,234,549
Waikerie,34,52,122,83,41,47,0,220,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0
No Usual Address (SA),0,0,0,0,0,0,0,353,353
Augusta,73,40,56,140,73,29,15,207,635
Busselton,174,242,988,314,113,158,37,1088,3110
Busselton Region,170,154,192,343,46,65,33,450,1455
Margaret River,123,307,284,128,88,44,43,466,1483
Australind - Leschenault,96,88,369,841,71,76,28,881,2449
Capel,43,27,21,219,74,16,3,219,633
College Grove - Carey Park,14,79,334,22,10,23,9,370,854
Collie,12,255,162,59,10,50,14,450,1015
Dardanup,26,4,18,133,11,10,5,114,324
Davenport,0,0,0,0,0,0,0,0,0
Eaton - Pelican Point,55,121,427,374,16,46,15,559,1604
Harvey,52,86,85,255,74,35,8,410,1005
East Bunbury - Glen Iris,13,109,372,43,12,36,3,325,918
Waroona,18,60,25,47,52,36,6,181,436
Dalyellup,44,110,405,268,26,25,11,510,1410
Gelorup - Stratham,17,8,61,94,8,8,5,90,286
South Bunbury - Bunbury,63,297,486,76,16,42,14,517,1502
Withers - Usher,12,20,275,46,5,14,8,338,713
Bridgetown - Boyup Brook,52,77,88,85,60,34,4,216,612
Donnybrook - Balingup,29,49,43,78,120,32,7,263,617
Manjimup,19,211,108,26,24,7,3,220,616
Pemberton,35,57,28,86,24,42,8,157,441
Dawesville - Bouvard,54,22,66,223,40,69,21,354,855
Falcon - Wannanup,52,25,150,195,31,92,19,399,961
Greenfields,32,87,216,69,33,84,18,548,1095
Halls Head - Erskine,86,112,607,148,65,183,23,781,2005
Mandurah,24,129,176,70,21,70,23,492,1001
Mandurah - East,23,10,44,156,29,56,10,236,554
Mandurah - North,114,82,629,384,93,253,37,984,2583
Mandurah - South,41,70,232,52,21,87,10,477,978
Pinjarra,60,42,130,236,52,96,22,503,1137
City Beach,34,13,139,130,3,0,3,172,498
Claremont (WA),43,86,384,121,14,6,5,277,943
Cottesloe,62,55,200,304,16,7,16,243,913
Floreat,63,42,384,123,13,0,5,237,867
Mosman Park - Peppermint Grove,61,114,264,446,22,6,10,433,1357
Nedlands - Dalkeith - Crawley,100,228,575,240,24,5,18,798,1991
Swanbourne - Mount Claremont,46,35,316,176,11,5,3,266,866
Kings Park (WA),0,0,0,0,0,0,0,3,5
Mount Hawthorn - Leederville,75,142,984,309,13,7,25,466,2016
Mount Lawley - Inglewood,104,182,1278,441,27,11,18,721,2772
North Perth,63,133,717,243,10,5,22,357,1538
Perth City,119,1909,1872,864,52,33,122,2768,7740
Subiaco - Shenton Park,83,389,1003,289,17,3,28,794,2603
Wembley - West Leederville - Glendalough,92,316,1390,470,25,6,39,1029,3373
Bassendean - Eden Hill - Ashfield,96,88,404,932,42,11,24,701,2299
Bayswater - Embleton - Bedford,138,151,1391,937,34,15,51,1064,3783
Maylands,57,120,1081,609,27,9,50,839,2789
Morley,103,121,743,1111,43,16,28,1133,3298
Noranda,34,32,187,345,15,0,7,281,901
Chidlow,18,10,23,47,63,25,6,129,330
Glen Forrest - Darlington,37,15,95,251,78,7,6,238,724
Helena Valley - Koongamia,38,14,121,282,19,0,13,213,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0
Mundaring,88,40,120,302,288,34,19,510,1403
Swan View - Greenmount - Midvale,66,62,239,498,56,4,22,514,1463
Avon Valley National Park,0,0,0,0,0,0,0,0,0
Ballajura,73,59,425,881,56,8,13,874,2391
Beechboro,84,53,393,1108,64,11,24,1361,3092
Bullsbrook,48,14,45,86,182,35,14,288,699
Ellenbrook,267,281,405,2509,728,38,64,2264,6554
Gidgegannup,27,0,16,77,59,12,5,110,302
Hazelmere - Guildford,41,13,128,250,4,0,13,197,647
Lockridge - Kiara,41,26,331,711,39,5,19,605,1772
Malaga,0,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,28,33,85,226,21,5,0,275,665
Midland - Guildford,40,168,146,481,33,11,21,632,1545
Stratton - Jane Brook,29,18,227,327,51,9,8,341,1011
The Vines,99,24,136,379,333,12,15,449,1449
Walyunga National Park,0,0,0,0,0,0,0,0,0
Craigie - Beldon,58,47,298,630,79,3,20,521,1652
Currambine - Kinross,91,51,361,426,282,11,16,559,1805
Duncraig,108,62,234,834,29,7,9,474,1760
Greenwood - Warwick,91,40,282,850,27,0,13,504,1819
Heathridge - Connolly,70,36,290,507,99,4,12,453,1473
Hillarys,102,37,141,468,47,3,11,339,1157
Iluka - Burns Beach,75,31,200,200,213,8,9,266,1000
Joondalup - Edgewater,64,171,337,584,137,18,20,557,1894
Kingsley,75,46,244,672,37,6,21,415,1509
Mullaloo - Kallaroo,95,45,209,464,76,3,14,410,1324
Ocean Reef,57,22,133,276,49,3,9,236,781
Padbury,54,40,195,491,61,3,9,369,1224
Sorrento - Marmion,86,31,112,402,25,3,19,242,927
Woodvale,45,27,171,368,35,0,8,265,928
Balcatta - Hamersley,73,86,680,792,13,9,4,718,2378
Balga - Mirrabooka,63,65,608,901,46,7,25,1524,3243
Dianella,115,131,1146,715,21,7,22,1007,3176
Herdsman,0,0,0,0,0,0,0,0,0
Innaloo - Doubleview,113,140,709,1378,35,14,49,862,3288
Karrinyup - Gwelup - Carine,163,74,416,1144,29,8,20,701,2549
Nollamara - Westminster,90,96,1053,1118,27,9,36,1324,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0,0
Scarborough,133,134,558,1551,43,9,76,808,3310
Stirling - Osborne Park,84,72,783,619,18,5,19,657,2248
Trigg - North Beach - Watermans Bay,57,28,145,442,15,3,6,249,948
Tuart Hill - Joondanna,62,109,1150,490,19,6,30,719,2584
Wembley Downs - Churchlands - Woodlands,91,50,610,439,19,6,13,474,1707
Yokine - Coolbinia - Menora,61,93,1066,440,12,9,35,749,2462
Alexander Heights - Koondoola,47,29,279,494,25,3,7,688,1567
Butler - Merriwa - Ridgewood,142,181,287,790,722,81,30,1575,3799
Carramar,126,78,509,798,486,21,15,982,3019
Clarkson,66,127,259,467,501,21,20,851,2318
Girrawheen,23,43,217,366,15,3,4,565,1251
Madeley - Darch - Landsdale,172,139,605,1952,94,7,32,1255,4251
Marangaroo,49,40,261,556,33,4,0,518,1457
Mindarie - Quinns Rocks - Jindalee,147,106,253,480,468,42,26,810,2336
Neerabup National Park,0,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,121,68,399,689,148,10,17,648,2098
Wanneroo,210,128,708,1452,213,21,39,1168,3945
Alkimos - Eglinton,40,16,133,398,450,65,20,552,1677
Carabooda - Pinjar,11,4,6,16,3,0,0,44,86
Two Rocks,37,9,32,33,52,52,3,184,402
Yanchep,67,51,50,235,182,180,27,570,1369
Armadale - Wungong - Brookdale,65,128,276,656,270,9,12,1326,2745
Ashendon - Lesley,0,0,0,0,0,0,0,3,0
Camillo - Champion Lakes,19,17,87,237,41,0,9,316,738
Forrestdale - Harrisdale - Piara Waters,137,41,386,2040,251,29,32,1269,4193
Kelmscott,42,77,178,383,74,7,16,620,1401
Mount Nasura - Mount Richon - Bedfordale,48,46,114,248,104,11,5,302,881
Roleystone,61,22,87,285,108,12,10,267,841
Seville Grove,42,65,258,535,119,8,10,745,1778
Belmont - Ascot - Redcliffe,66,144,571,647,20,8,45,846,2337
East Victoria Park - Carlisle,87,164,1209,701,48,12,31,994,3252
Kewdale Commercial,0,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,109,188,1262,1035,56,14,71,1772,4502
Victoria Park - Lathlain - Burswood,75,158,1101,498,34,10,42,928,2846
Bentley - Wilson - St James,67,116,778,788,46,15,17,1270,3097
Canning Vale - West,53,32,213,535,22,3,9,392,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0,0
Cannington - Queens Park,71,155,652,1109,48,15,20,1463,3532
Parkwood - Ferndale - Lynwood,56,40,381,794,34,10,9,677,1990
Riverton - Shelley - Rossmoyne,52,59,343,526,19,9,10,519,1527
Welshpool,0,0,0,0,0,0,0,0,0
Willetton,76,80,436,804,22,19,9,802,2240
Beckenham - Kenwick - Langford,66,62,558,1007,35,7,24,1275,3038
Canning Vale - East,131,110,551,1479,63,22,18,1189,3572
Gosnells,66,75,352,973,53,9,17,1407,2964
Huntingdale - Southern River,110,77,452,1323,83,17,21,1129,3216
Maddington - Orange Grove - Martin,46,66,204,634,20,7,16,891,1889
Thornlie,93,77,500,1218,41,4,21,1285,3246
Forrestfield - Wattle Grove,99,64,452,1259,53,9,42,978,2956
High Wycombe,58,56,351,640,30,9,28,665,1838
Kalamunda - Maida Vale - Gooseberry Hill,82,70,209,611,66,10,18,489,1544
Lesmurdie - Bickley - Carmel,67,65,130,456,38,4,16,349,1118
Byford,90,55,224,853,636,36,40,987,2906
Mundijong,58,14,41,220,144,5,8,262,735
Serpentine - Jarrahdale,43,12,25,86,57,39,5,188,451
Como,60,112,1009,490,24,17,30,667,2409
Manning - Waterford,54,45,373,357,16,4,12,456,1316
South Perth - Kensington,80,154,951,431,26,11,31,812,2485
Banjup,139,83,269,1570,164,10,17,888,3148
Bibra Industrial,0,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0,0
Coogee,54,35,237,450,38,5,8,325,1154
Coolbellup,60,32,280,368,23,8,18,421,1208
Hamilton Hill,62,50,389,439,33,5,16,564,1569
Henderson,0,0,0,0,0,0,0,0,0
North Coogee,16,3,61,159,15,0,10,127,390
South Lake - Cockburn Central,40,50,313,675,48,10,17,554,1710
Spearwood,48,71,343,391,34,8,7,488,1387
Success - Hammond Park,111,89,304,1409,110,17,25,974,3025
Yangebup,45,21,202,458,29,9,16,407,1189
Beeliar - Wattleup,53,22,217,640,52,6,10,448,1443
Jandakot,17,8,40,111,6,4,4,91,271
East Fremantle,59,74,173,318,16,0,4,237,874
Fremantle,102,258,382,785,51,9,30,770,2386
Fremantle - South,85,164,462,649,32,5,18,637,2055
O'Connor (WA),0,0,0,0,0,0,0,0,0
Bertram - Wellard (West),81,31,217,763,772,17,25,1036,2946
Calista,22,36,103,193,158,6,12,533,1072
Hope Valley - Postans,0,0,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,0,4
Parmelia - Orelia,40,84,117,371,202,6,12,755,1586
Casuarina - Wandi,49,7,72,367,154,3,11,280,937
Applecross - Ardross,81,70,320,410,20,3,9,435,1346
Bateman,13,16,86,174,7,0,0,132,434
Bicton - Palmyra,87,91,433,761,44,6,16,550,1993
Booragoon,70,83,394,620,15,5,19,579,1791
Bull Creek,40,42,157,331,7,0,6,271,859
Leeming,73,47,243,517,20,11,9,333,1239
Melville,111,109,439,772,32,3,13,511,1988
Murdoch - Kardinya,41,55,338,471,21,4,14,464,1404
Willagee,35,43,171,240,11,0,0,239,751
Winthrop,31,16,132,232,10,0,5,180,605
Baldivis,246,176,394,1302,1245,215,95,2226,5904
Cooloongup,31,52,162,116,148,22,5,496,1035
Port Kennedy,83,132,273,298,174,165,22,827,1968
Rockingham,49,146,240,213,269,36,29,728,1711
Rockingham Lakes,0,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,60,41,268,145,184,58,11,520,1294
Singleton - Golden Bay - Secret Harbour,153,124,240,773,232,328,49,1163,3054
Waikiki,56,62,382,190,183,82,18,677,1651
Warnbro,45,62,257,147,140,129,18,653,1450
Albany,37,332,568,50,26,31,22,497,1561
Albany Region,37,0,19,94,56,17,5,115,333
Bayonet Head - Lower King,10,11,262,81,0,12,7,183,558
Denmark,41,61,103,47,11,76,8,219,571
Gnowangerup,71,40,12,20,21,75,0,126,369
Katanning,31,196,28,37,17,15,4,243,578
Kojonup,39,71,13,68,69,45,9,188,491
Little Grove - Elleker,20,9,99,88,5,6,5,69,304
McKail - Willyung,57,67,577,93,14,14,13,480,1319
Plantagenet,34,38,21,68,54,48,6,213,496
Stirling Range National Park,0,0,0,0,0,0,0,0,0
Chittering,58,8,23,49,102,116,11,247,613
Cunderdin,25,101,17,45,40,26,5,175,434
Dowerin,42,88,17,66,41,35,0,165,456
Gingin - Dandaragan,83,84,55,88,78,162,8,347,907
Merredin,30,142,69,50,31,33,13,207,580
Moora,42,127,21,43,60,64,4,210,577
Mukinbudin,35,31,6,31,46,49,12,149,364
Northam,47,238,141,122,81,74,14,518,1240
Toodyay,16,17,16,56,44,47,6,170,371
York - Beverley,37,65,59,44,49,44,4,177,483
Brookton,46,56,19,32,24,35,0,160,377
Kulin,61,64,12,51,55,105,3,177,531
Murray,19,37,61,23,7,23,0,136,311
Narrogin,21,217,65,17,3,6,0,200,522
