SA2,Negative income,Nil income,"$1-$149 ($1-$7,799)","$150-$299 ($7,800-$15,599)","$300-$399 ($15,600-$20,799)","$400-$499 ($20,800-$25,999)","$500-$649 ($26,000-$33,799)","$650-$799 ($33,800-$41,599)","$800-$999 ($41,600-$51,999)","$1,000-$1,249 ($52,000-$64,999)","$1,250-$1,499 ($65,000-$77,999)","$1,500-$1,749 ($78,000-$90,999)","$1,750-$1,999 ($91,000-$103,999)","$2,000-$2,999 ($104,000-$155,999)","$3,000 or more ($156,000 or more)",Not stated,Total
Whyalla,13,203,118,259,218,224,291,246,265,218,165,129,66,44,20,195,2684
Whyalla - North,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APY Lands,0,5,11,140,36,27,22,15,6,9,16,3,3,11,0,66,379
Coober Pedy,0,6,5,21,8,6,23,26,17,21,18,7,0,8,0,38,204
Quorn - Lake Gilles,0,11,5,10,23,15,21,29,16,6,14,13,0,10,0,15,186
Outback,0,16,13,31,18,9,22,25,24,28,12,8,7,10,7,53,277
Port Augusta,6,73,43,133,104,130,181,181,178,148,107,78,48,36,11,159,1603
Roxby Downs,5,81,29,37,31,33,59,33,60,49,48,46,30,35,16,47,648
Goolwa - Port Elliot,0,39,30,78,89,89,112,104,79,58,36,18,17,5,0,71,833
Kangaroo Island,4,17,12,39,46,47,64,52,53,36,22,14,3,11,0,43,475
Strathalbyn,4,53,41,65,48,73,105,76,104,61,54,29,17,8,7,53,792
Strathalbyn Region,3,38,39,67,66,59,95,86,66,65,50,31,14,12,7,74,771
Victor Harbor,0,49,44,109,112,123,142,167,107,78,52,28,28,18,7,61,1129
Yankalilla,3,29,25,57,41,47,74,41,48,35,25,14,4,6,3,25,483
Grant,3,33,24,48,40,58,85,45,69,48,25,14,6,20,8,30,565
Kingston - Robe,4,17,15,30,27,45,44,45,34,33,12,13,12,8,4,23,358
Millicent,0,20,19,61,46,55,71,56,55,37,25,13,11,4,0,36,507
Naracoorte,5,60,20,64,42,69,98,110,91,50,42,26,14,11,3,38,748
Naracoorte Region,0,15,11,23,19,22,25,27,19,17,6,13,4,6,0,17,226
Penola,0,17,18,45,23,18,61,41,37,35,16,5,4,0,4,22,349
Tatiara,13,35,28,52,52,60,93,133,89,50,32,24,8,15,5,54,737
Wattle Range,0,17,16,45,30,28,37,42,29,23,8,15,3,9,0,20,323
Mount Gambier - East,0,69,49,143,142,168,214,249,220,160,103,79,44,35,12,115,1798
Mount Gambier - West,9,64,50,149,154,176,211,208,188,135,86,61,31,27,5,90,1648
Barmera,4,31,23,47,57,53,91,90,66,47,27,25,16,9,3,39,632
Berri,0,8,14,40,45,41,69,67,52,44,34,18,15,11,4,43,498
Karoonda - Lameroo,0,13,10,32,24,40,51,29,25,15,6,19,0,5,7,22,299
Loxton,5,16,22,37,44,46,81,69,70,56,34,30,7,10,5,30,568
Loxton Region,0,11,3,16,12,14,20,21,17,18,3,0,4,5,0,11,162
Mannum,4,22,25,56,58,60,63,62,41,39,21,22,6,9,4,42,518
Murray Bridge,18,126,48,168,182,185,284,324,241,140,59,46,28,20,3,143,2023
Murray Bridge Region,0,10,9,33,23,30,42,54,40,30,24,22,5,8,5,18,372
Renmark,0,29,21,56,45,48,61,68,63,47,28,16,6,8,6,49,534
Renmark Region,3,21,23,53,40,48,61,75,61,45,21,25,16,12,8,50,553
The Coorong,5,26,20,55,64,50,79,63,47,38,13,12,3,6,4,52,549
Waikerie,6,35,33,71,48,48,84,72,71,44,19,19,12,7,3,36,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No Usual Address (SA),3,38,9,64,36,27,39,27,16,21,11,4,0,0,4,45,353
Augusta,0,63,33,48,48,50,83,68,69,38,32,17,10,12,3,55,635
Busselton,18,269,161,238,247,260,337,361,311,291,168,113,73,61,29,186,3110
Busselton Region,12,145,63,96,87,83,161,156,144,141,70,70,41,36,27,124,1455
Margaret River,3,128,69,126,119,129,171,153,120,155,68,58,27,28,10,112,1483
Australind - Leschenault,20,320,129,175,166,155,273,263,210,210,124,92,63,64,27,161,2449
Capel,3,53,25,49,46,51,74,78,58,52,39,24,15,16,4,47,633
College Grove - Carey Park,0,61,32,97,81,73,114,101,82,66,31,22,21,14,9,72,854
Collie,8,107,65,97,101,92,116,93,67,51,36,28,18,31,7,85,1015
Dardanup,0,42,14,28,20,31,33,30,26,26,14,11,11,15,0,23,324
Davenport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eaton - Pelican Point,17,191,76,122,119,135,171,169,159,155,71,50,35,29,9,99,1604
Harvey,13,119,57,99,71,76,93,117,89,72,35,33,22,19,9,90,1005
East Bunbury - Glen Iris,8,85,33,80,71,72,91,101,99,101,48,33,28,12,3,55,918
Waroona,0,51,32,41,26,28,49,47,29,19,17,16,10,16,5,49,436
Dalyellup,7,181,51,97,75,112,128,143,131,113,87,71,51,54,15,93,1410
Gelorup - Stratham,0,34,9,13,19,30,32,26,28,25,14,13,15,4,10,17,286
South Bunbury - Bunbury,9,146,57,80,85,93,138,150,147,154,104,100,40,61,25,118,1502
Withers - Usher,6,43,36,53,76,79,84,82,67,54,28,4,13,5,7,70,713
Bridgetown - Boyup Brook,0,55,34,78,61,38,72,53,58,44,32,18,19,20,4,34,612
Donnybrook - Balingup,9,88,42,46,41,45,62,62,37,39,32,25,10,14,12,53,617
Manjimup,3,35,20,64,48,64,68,76,71,45,25,23,10,9,5,49,616
Pemberton,9,35,16,46,38,36,41,49,44,29,22,14,11,6,3,45,441
Dawesville - Bouvard,8,116,46,71,55,50,90,94,82,68,38,39,14,21,10,53,855
Falcon - Wannanup,3,128,42,69,57,69,96,84,72,94,57,44,28,33,12,67,961
Greenfields,0,124,56,103,96,78,138,123,96,95,34,28,21,18,0,78,1095
Halls Head - Erskine,16,309,83,154,140,138,210,174,172,156,114,86,68,61,20,120,2005
Mandurah,11,115,35,82,88,92,111,91,78,72,48,37,25,17,13,85,1001
Mandurah - East,0,60,21,48,39,55,52,47,52,44,23,24,9,20,11,39,554
Mandurah - North,14,337,149,196,167,148,273,235,247,242,151,106,77,70,30,146,2583
Mandurah - South,3,117,43,78,66,77,136,98,80,80,50,22,19,22,6,78,978
Pinjarra,6,160,49,100,73,87,148,95,97,64,51,42,32,38,10,101,1137
City Beach,0,71,10,20,14,18,20,29,29,50,28,32,25,56,68,33,498
Claremont (WA),4,95,24,31,39,50,43,41,65,75,88,74,64,96,69,97,943
Cottesloe,5,72,31,31,32,25,34,45,62,80,71,91,56,121,95,66,913
Floreat,6,98,37,33,31,48,46,27,56,79,57,65,47,111,84,37,867
Mosman Park - Peppermint Grove,9,121,32,57,42,58,97,82,95,135,107,90,76,114,103,132,1357
Nedlands - Dalkeith - Crawley,9,310,68,97,87,89,161,94,107,128,142,141,80,144,215,110,1991
Swanbourne - Mount Claremont,3,99,32,40,44,34,40,55,60,79,66,61,42,84,82,53,866
Kings Park (WA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Mount Hawthorn - Leederville,5,142,64,71,64,71,105,119,151,210,190,185,142,246,132,119,2016
Mount Lawley - Inglewood,8,189,74,119,92,108,138,177,242,276,260,234,173,271,154,258,2772
North Perth,8,114,37,49,58,70,87,89,132,175,155,123,89,160,91,109,1538
Perth City,34,812,142,268,320,334,359,447,562,732,599,551,409,664,295,1213,7740
Subiaco - Shenton Park,5,288,77,98,78,101,117,128,178,234,235,227,174,268,172,230,2603
Wembley - West Leederville - Glendalough,9,380,89,140,155,202,216,223,253,320,272,231,176,248,138,301,3373
Bassendean - Eden Hill - Ashfield,9,202,79,133,124,112,173,194,234,225,196,186,113,146,33,129,2299
Bayswater - Embleton - Bedford,15,361,127,181,174,185,261,278,334,395,327,308,202,316,87,224,3783
Maylands,17,312,70,118,102,110,174,180,274,299,255,222,132,200,74,247,2789
Morley,30,394,124,248,175,200,297,292,358,331,215,199,119,106,23,199,3298
Noranda,3,104,33,62,43,62,65,75,83,90,67,60,47,39,5,44,901
Chidlow,0,46,11,28,16,23,23,33,26,32,20,13,7,7,0,41,330
Glen Forrest - Darlington,0,99,34,48,47,37,57,51,65,62,54,59,33,28,18,33,724
Helena Valley - Koongamia,0,83,30,41,45,34,58,62,62,72,62,39,25,35,12,33,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mundaring,5,176,86,92,73,99,110,121,122,124,101,83,40,61,16,99,1403
Swan View - Greenmount - Midvale,8,140,72,109,98,98,143,153,154,136,91,64,37,53,19,94,1463
Avon Valley National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ballajura,11,260,109,181,194,158,259,248,241,229,147,105,69,45,10,122,2391
Beechboro,8,386,113,209,159,189,250,266,311,280,158,129,74,69,12,476,3092
Bullsbrook,0,79,29,43,39,43,71,70,48,61,50,28,10,32,10,89,699
Ellenbrook,22,830,264,430,360,390,619,611,681,696,479,360,184,160,40,421,6554
Gidgegannup,4,45,22,14,18,7,16,25,26,31,22,16,3,5,7,30,302
Hazelmere - Guildford,0,63,33,36,28,32,63,41,55,73,61,53,26,42,14,38,647
Lockridge - Kiara,15,184,40,105,98,128,168,164,199,200,149,94,50,50,9,130,1772
Malaga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,3,82,21,48,32,45,60,43,62,85,34,32,18,17,10,60,665
Midland - Guildford,13,141,43,94,95,95,148,119,147,157,114,78,45,61,12,175,1545
Stratton - Jane Brook,7,92,44,66,67,65,105,95,116,127,62,48,31,28,4,66,1011
The Vines,9,169,61,89,75,65,95,126,161,168,130,93,64,46,16,82,1449
Walyunga National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Craigie - Beldon,7,157,50,94,100,111,131,176,168,175,157,106,68,61,10,101,1652
Currambine - Kinross,12,221,85,110,109,95,145,159,166,189,170,102,78,79,16,80,1805
Duncraig,5,214,93,97,71,91,124,127,167,187,138,129,88,122,45,68,1760
Greenwood - Warwick,4,196,65,111,89,79,145,139,184,211,177,146,79,93,13,84,1819
Heathridge - Connolly,5,139,53,91,81,92,142,147,146,158,126,101,51,47,13,81,1473
Hillarys,4,152,51,51,42,62,66,85,94,120,106,82,67,91,43,52,1157
Iluka - Burns Beach,6,157,29,47,34,49,70,64,100,88,89,78,40,77,41,29,1000
Joondalup - Edgewater,12,213,81,118,93,92,158,183,190,223,121,133,69,82,16,106,1894
Kingsley,0,160,65,88,74,84,115,133,125,143,128,111,70,120,20,69,1509
Mullaloo - Kallaroo,0,172,45,72,61,65,96,125,112,120,99,88,55,80,41,96,1324
Ocean Reef,0,119,38,33,31,46,60,52,66,73,56,54,38,52,17,37,781
Padbury,3,138,41,70,59,60,109,106,109,138,94,91,67,61,15,63,1224
Sorrento - Marmion,4,100,28,42,36,55,55,55,75,88,78,75,54,76,48,47,927
Woodvale,5,118,44,45,56,58,85,94,78,85,72,55,47,53,14,21,928
Balcatta - Hamersley,8,230,99,111,120,117,188,216,254,269,170,173,117,129,18,154,2378
Balga - Mirrabooka,33,410,109,330,244,209,353,328,295,281,161,115,41,43,3,291,3243
Dianella,21,381,127,161,170,187,231,280,271,343,235,198,136,186,57,180,3176
Herdsman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Innaloo - Doubleview,8,230,74,114,100,134,208,195,273,407,376,303,229,267,89,274,3288
Karrinyup - Gwelup - Carine,7,283,93,134,102,96,183,199,209,237,222,185,167,221,94,122,2549
Nollamara - Westminster,27,411,87,240,215,212,266,322,403,388,311,227,154,150,17,327,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scarborough,8,198,71,103,100,128,193,225,307,446,336,299,206,292,102,299,3310
Stirling - Osborne Park,9,239,64,110,118,104,171,182,200,243,185,152,127,152,67,142,2248
Trigg - North Beach - Watermans Bay,6,68,23,31,38,52,50,73,76,111,97,87,56,89,46,53,948
Tuart Hill - Joondanna,5,201,56,138,111,129,159,178,233,298,271,230,132,196,53,196,2584
Wembley Downs - Churchlands - Woodlands,6,194,68,74,64,75,117,107,114,144,150,158,105,161,100,74,1707
Yokine - Coolbinia - Menora,16,220,80,127,106,121,149,192,197,279,223,179,143,181,60,196,2462
Alexander Heights - Koondoola,13,193,57,160,117,102,166,154,145,143,96,50,28,22,3,112,1567
Butler - Merriwa - Ridgewood,15,422,167,244,248,256,387,374,418,398,211,151,83,64,14,357,3799
Carramar,13,343,107,194,169,161,256,285,349,337,248,168,91,88,22,175,3019
Clarkson,23,259,94,152,125,152,237,208,239,241,167,113,67,51,15,169,2318
Girrawheen,16,158,49,107,111,93,138,130,142,105,49,23,16,17,3,87,1251
Madeley - Darch - Landsdale,20,506,149,264,207,243,341,359,457,462,367,286,161,214,28,180,4251
Marangaroo,9,148,60,135,111,103,146,121,137,135,103,65,53,33,9,81,1457
Mindarie - Quinns Rocks - Jindalee,16,314,83,143,145,135,192,209,221,208,165,144,97,96,35,138,2336
Neerabup National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,14,264,89,123,134,129,171,175,212,219,157,126,82,98,17,95,2098
Wanneroo,13,395,150,284,223,228,372,387,406,424,293,226,156,146,34,193,3945
Alkimos - Eglinton,9,184,50,83,77,73,127,185,174,189,155,111,60,48,7,142,1677
Carabooda - Pinjar,0,8,7,4,3,3,7,3,3,7,0,11,0,0,0,14,86
Two Rocks,0,53,17,36,34,25,46,38,32,31,13,15,8,8,3,42,402
Yanchep,9,173,66,89,81,92,152,119,134,125,72,55,33,38,12,122,1369
Armadale - Wungong - Brookdale,14,305,94,205,210,233,316,288,283,242,127,94,43,31,11,250,2745
Ashendon - Lesley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camillo - Champion Lakes,6,95,39,60,56,54,86,67,79,72,41,23,7,6,3,49,738
Forrestdale - Harrisdale - Piara Waters,16,660,175,182,169,199,275,285,426,498,401,354,185,172,38,154,4193
Kelmscott,9,177,52,117,113,90,153,110,111,121,83,73,29,28,13,121,1401
Mount Nasura - Mount Richon - Bedfordale,0,96,47,56,56,52,79,66,77,82,61,70,23,35,14,55,881
Roleystone,5,107,41,48,42,53,68,68,66,71,74,45,38,36,21,63,841
Seville Grove,17,278,102,129,104,138,180,190,179,155,105,62,29,19,5,100,1778
Belmont - Ascot - Redcliffe,23,244,75,121,94,116,170,191,258,245,179,148,103,104,34,238,2337
East Victoria Park - Carlisle,16,313,110,156,128,174,182,221,292,330,293,244,187,238,72,293,3252
Kewdale Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,47,564,145,242,205,221,349,349,403,458,320,285,172,198,35,507,4502
Victoria Park - Lathlain - Burswood,16,376,84,134,106,136,181,185,251,302,226,172,140,198,79,267,2846
Bentley - Wilson - St James,31,470,101,182,174,213,211,247,249,287,222,163,101,116,24,312,3097
Canning Vale - West,6,185,62,62,69,62,95,112,144,118,110,76,50,55,25,45,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cannington - Queens Park,29,611,138,247,191,208,270,258,332,376,220,173,90,90,18,282,3532
Parkwood - Ferndale - Lynwood,10,279,98,126,87,112,157,168,188,194,170,128,87,66,12,91,1990
Riverton - Shelley - Rossmoyne,7,242,61,93,68,92,117,134,107,147,120,109,59,81,47,50,1527
Welshpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Willetton,18,405,104,164,107,127,149,188,185,179,165,129,107,102,32,73,2240
Beckenham - Kenwick - Langford,30,484,132,234,198,202,261,286,298,283,174,125,64,68,15,188,3038
Canning Vale - East,27,634,131,175,178,185,285,308,345,371,244,239,149,138,22,140,3572
Gosnells,22,369,141,273,218,196,329,315,274,245,127,103,34,41,14,254,2964
Huntingdale - Southern River,27,500,135,201,174,160,295,276,312,321,236,179,101,122,25,147,3216
Maddington - Orange Grove - Martin,25,325,97,144,123,127,172,184,179,158,86,69,43,28,10,124,1889
Thornlie,30,495,163,248,179,228,288,283,321,338,198,145,69,70,21,170,3246
Forrestfield - Wattle Grove,16,375,106,179,153,168,226,268,317,341,233,170,94,115,20,171,2956
High Wycombe,7,189,62,119,102,119,148,168,211,214,132,101,54,52,14,135,1838
Kalamunda - Maida Vale - Gooseberry Hill,9,180,84,91,83,85,129,129,142,139,119,97,64,75,41,78,1544
Lesmurdie - Bickley - Carmel,3,137,56,63,62,68,79,83,116,101,79,70,39,65,33,58,1118
Byford,11,383,132,160,147,174,270,286,309,357,192,134,71,74,16,183,2906
Mundijong,3,111,33,45,37,43,62,43,85,71,45,29,34,36,17,48,735
Serpentine - Jarrahdale,0,62,23,32,32,27,33,38,42,37,20,20,14,11,9,46,451
Como,13,238,55,85,82,99,104,156,189,282,249,222,182,206,74,182,2409
Manning - Waterford,3,162,53,98,85,70,97,64,91,146,89,96,57,93,38,73,1316
South Perth - Kensington,16,289,76,104,92,75,161,137,190,245,202,190,133,214,132,231,2485
Banjup,11,409,139,158,167,171,216,271,320,355,252,217,151,142,52,126,3148
Bibra Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coogee,11,122,36,70,60,87,89,81,104,114,114,65,54,65,23,59,1154
Coolbellup,4,118,40,83,63,63,105,112,121,102,100,76,48,65,16,94,1208
Hamilton Hill,14,130,38,112,86,109,126,149,154,157,107,92,60,78,20,143,1569
Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Coogee,0,41,6,18,4,8,17,15,26,39,33,24,28,54,18,49,390
South Lake - Cockburn Central,10,169,66,97,89,92,141,136,193,195,153,105,56,83,12,108,1710
Spearwood,20,144,49,91,76,81,121,130,149,160,109,61,44,42,9,110,1387
Success - Hammond Park,17,421,116,134,121,159,198,254,263,330,274,219,129,149,35,206,3025
Yangebup,12,134,59,87,70,69,106,103,109,127,82,78,46,28,3,88,1189
Beeliar - Wattleup,10,156,52,75,65,80,120,130,112,160,141,87,77,71,13,93,1443
Jandakot,0,39,16,19,13,11,8,21,23,16,21,22,11,17,10,20,271
East Fremantle,3,75,25,39,35,34,51,59,84,74,85,71,53,72,60,51,874
Fremantle,6,161,67,128,94,107,133,157,181,255,200,173,139,194,96,294,2386
Fremantle - South,8,161,72,107,135,128,161,169,159,178,153,166,122,132,47,170,2055
O'Connor (WA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bertram - Wellard (West),20,411,90,186,156,156,252,253,281,366,234,180,76,86,18,185,2946
Calista,10,122,52,101,69,79,116,128,99,85,54,36,19,9,3,99,1072
Hope Valley - Postans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
Parmelia - Orelia,19,164,70,154,117,126,178,145,159,134,76,37,30,10,0,155,1586
Casuarina - Wandi,6,108,23,50,38,42,69,74,84,114,97,58,44,49,12,62,937
Applecross - Ardross,8,172,61,68,42,52,76,105,96,131,97,101,55,103,97,78,1346
Bateman,0,61,22,27,19,25,27,32,30,29,39,35,26,34,14,12,434
Bicton - Palmyra,5,182,75,118,72,89,126,139,170,204,201,157,136,155,49,119,1993
Booragoon,6,237,71,86,72,77,96,114,129,171,147,148,95,134,92,114,1791
Bull Creek,4,138,35,35,41,52,70,69,75,86,53,50,52,40,26,26,859
Leeming,0,156,54,77,38,57,85,100,120,142,99,111,50,82,16,49,1239
Melville,10,202,55,82,90,95,130,156,156,179,174,173,131,168,86,102,1988
Murdoch - Kardinya,10,163,59,80,83,75,124,93,122,131,126,113,72,87,17,61,1404
Willagee,0,53,23,48,46,51,58,56,72,75,71,57,38,48,10,51,751
Winthrop,0,78,24,35,33,37,37,48,49,59,45,51,38,37,20,22,605
Baldivis,36,856,308,330,318,311,500,483,540,623,431,298,180,176,47,470,5904
Cooloongup,8,122,45,101,71,88,128,90,92,82,49,37,14,10,9,84,1035
Port Kennedy,15,254,107,137,164,137,202,180,200,167,113,87,42,36,5,131,1968
Rockingham,10,201,70,111,122,117,166,154,153,146,107,63,47,54,19,170,1711
Rockingham Lakes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,0,152,61,94,75,88,153,129,114,118,67,71,45,27,22,84,1294
Singleton - Golden Bay - Secret Harbour,23,474,160,224,188,184,263,230,255,287,188,167,91,122,34,170,3054
Waikiki,14,202,87,115,113,127,153,182,164,124,88,69,35,48,3,113,1651
Warnbro,14,185,73,135,105,85,149,139,132,115,89,47,30,31,5,122,1450
Albany,6,109,64,123,99,110,166,185,162,141,93,72,60,43,20,95,1561
Albany Region,6,23,30,38,21,25,30,33,30,29,15,10,8,10,6,25,333
Bayonet Head - Lower King,3,36,33,33,26,57,79,58,57,51,41,19,19,7,11,32,558
Denmark,0,46,30,49,55,56,50,67,51,47,19,17,15,16,5,60,571
Gnowangerup,6,25,23,32,23,21,39,36,22,28,19,13,13,13,9,44,369
Katanning,3,37,33,42,48,32,52,68,45,44,38,23,11,25,5,79,578
Kojonup,0,30,18,53,39,37,45,44,34,36,29,19,8,20,11,66,491
Little Grove - Elleker,0,16,20,25,21,28,28,40,20,34,22,14,10,13,0,10,304
McKail - Willyung,0,95,50,121,124,120,152,164,160,99,69,45,20,21,11,80,1319
Plantagenet,3,52,24,48,37,48,60,53,37,39,26,8,7,9,6,44,496
Stirling Range National Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chittering,13,68,36,51,38,47,48,39,46,65,26,26,11,24,9,59,613
Cunderdin,0,38,18,46,33,41,35,45,35,35,21,13,10,13,6,45,434
Dowerin,0,31,35,40,42,38,52,32,41,35,34,21,7,9,15,38,456
Gingin - Dandaragan,4,101,48,65,67,65,105,78,92,81,35,28,18,20,17,87,907
Merredin,0,47,38,42,41,40,50,50,69,41,40,34,21,13,9,48,580
Moora,5,43,26,39,45,39,54,52,53,41,37,29,20,18,10,62,577
Mukinbudin,7,41,19,37,22,22,28,23,31,32,21,13,10,19,6,46,364
Northam,6,93,62,91,82,97,130,97,121,111,68,53,41,38,11,124,1240
Toodyay,0,52,8,41,26,23,37,36,30,30,25,13,10,7,6,35,371
York - Beverley,4,37,18,33,48,42,50,53,35,34,24,22,9,10,3,50,483
Brookton,0,35,28,33,28,24,43,28,30,12,23,14,12,9,10,50,377
Kulin,4,38,31,43,39,35,59,45,60,41,30,19,18,18,12,50,531
Murray,0,58,19,23,19,27,23,15,22,12,17,13,11,17,5,25,311
Narrogin,0,39,18,37,44,33,55,53,33,52,34,25,21,14,9,58,522
Wagin,5,28,29,40,51,42,55,51,48,51,18,22,12,16,4,61,529
Broome,10,101,57,95,100,117,178,213,256,328,217,173,151,149,50,361,2555
Derby - West Kimberley,0,23,39,240,160,75,93,55,58,78,65,66,35,47,13,184,1235
Halls Creek,0,13,28,102,62,32,32,21,21,28,24,12,10,15,3,147,553
Kununurra,4,48,31,110,76,57,69,84,108,134,101,76,58,69,20,174,1219
Roebuck,0,6,7,68,39,29,28,26,25,13,6,14,4,9,0,49,321
East Pilbara,0,7,13,125,43,15,16,14,26,57,42,48,31,105,29,175,746
Newman,8,102,39,38,29,24,38,33,54,84,73,47,23,61,32,113,798
Port Hedland,7,101,25,36,15,18,35,44,48,77,69,71,51,90,42,113,841
South Hedland,20,216,58,73,71,65,94,94,120,132,121,106,99,143,35,292,1739
Ashburton (WA),14,203,48,79,44,54,60,69,70,124,91,97,85,233,107,207,1563
Karratha,33,408,129,130,126,123,159,203,202,279,210,194,115,253,99,352,3005
Roebourne,5,116,33,51,31,25,36,58,46,52,55,51,37,61,27,92,782
Esperance,0,104,72,121,117,107,134,155,111,118,92,70,42,40,20,158,1449
Esperance Region,0,48,27,44,41,30,37,36,22,29,22,13,21,21,21,78,485
Carnarvon,3,37,14,55,33,42,63,57,73,65,33,32,17,22,8,126,680
Exmouth,0,54,30,47,49,45,73,75,66,62,30,34,23,12,10,89,684
Boulder,5,124,45,77,66,69,68,95,82,100,61,42,26,24,5,156,1043
Kalgoorlie,18,275,71,111,110,132,159,184,184,183,164,151,94,107,36,242,2225
Kalgoorlie - North,10,208,52,67,79,67,94,101,103,144,144,119,74,97,13,137,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,6,93,32,42,48,33,36,54,37,41,24,26,17,27,5,87,614
Leinster - Leonora,0,30,11,117,69,47,27,31,21,29,28,26,21,38,6,168,664
Trafalgar (WA),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geraldton,13,105,32,90,99,102,136,115,118,105,81,57,46,48,13,140,1302
Geraldton - East,3,59,47,77,78,88,98,97,86,75,48,46,16,25,13,155,1013
Geraldton - North,0,110,48,60,57,68,92,100,132,95,67,52,39,40,8,82,1053
Geraldton - South,4,117,61,80,105,83,134,141,155,140,83,104,57,51,13,91,1429
Irwin,7,37,20,30,32,28,46,33,30,20,19,16,13,6,5,28,360
Meekatharra,0,25,9,36,24,18,22,25,24,28,30,21,7,24,3,91,379
Morawa,3,43,20,45,24,36,37,34,27,43,25,19,12,16,9,39,429
Northampton - Mullewa - Greenough,7,58,33,59,50,49,63,54,43,43,22,18,14,19,7,69,596
Migratory - Offshore - Shipping (WA),0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,14
No Usual Address (WA),6,81,36,128,51,54,46,59,50,61,20,24,23,26,6,158,838
Bridgewater - Gagebrook,0,26,22,70,111,134,171,135,83,69,24,12,0,0,8,125,987
Brighton - Pontville,5,25,24,43,67,61,113,114,104,95,53,24,10,7,4,35,785
Old Beach - Otago,0,20,7,28,23,42,61,70,88,83,60,35,18,23,5,25,584
Bellerive - Rosny,0,22,20,40,44,48,75,67,77,71,57,63,22,23,9,28,664
Cambridge,0,35,19,41,40,42,90,96,111,118,75,68,45,32,12,21,849
Geilston Bay - Risdon,0,15,3,16,20,20,52,42,52,70,56,29,31,18,0,10,428
Howrah - Tranmere,0,34,29,51,58,78,128,132,158,182,123,112,58,45,22,48,1263
Lindisfarne - Rose Bay,0,40,17,30,43,55,64,77,102,104,90,77,45,30,4,34,808
Mornington - Warrane,4,29,13,60,63,51,89,90,90,68,41,28,13,7,0,34,679
Risdon Vale,4,7,6,34,35,40,54,45,40,16,13,10,4,5,0,59,377
Rokeby,4,24,21,75,83,101,143,133,123,100,44,23,16,12,6,60,957
South Arm,0,28,17,30,30,34,53,41,52,51,51,29,20,20,5,21,482
Austins Ferry - Granton,0,19,8,35,32,42,66,78,77,67,37,25,10,14,3,27,524
Berriedale - Chigwell,0,20,20,48,63,68,94,86,86,65,46,28,7,4,5,50,694
Claremont (Tas.),4,27,22,56,76,90,129,150,132,112,57,41,15,10,4,52,991
Derwent Park - Lutana,0,28,25,39,46,52,85,71,63,48,48,24,11,7,0,36,580
Glenorchy,4,60,31,112,125,120,229,186,159,119,67,42,21,18,5,105,1404
Montrose - Rosetta,0,32,6,31,41,53,75,51,74,91,38,31,19,7,0,33,586
Moonah,7,40,24,69,50,65,95,86,87,70,44,34,19,9,4,53,755
New Norfolk,0,29,18,74,79,76,139,86,95,48,28,16,7,7,9,53,774
West Moonah,0,33,19,52,32,30,66,72,63,77,41,22,22,10,0,37,578
Kingston - Huntingfield,9,86,54,98,82,103,160,178,193,169,153,115,57,32,8,79,1566
