SA2,Managers,Professionals,Technicians and Trades Workers,Community and Personal Service Workers,Clerical and Administrative Workers,Sales Workers,Machinery Operators and Drivers,Labourers,Inadequately described,Not stated,Not applicable,Total
Lambton - New Lambton,163,748,71,201,353,133,7,50,15,10,500,2246
Maryland - Fletcher - Minmi,120,476,89,234,443,139,20,63,10,11,482,2085
Mayfield - Warabrook,148,628,96,265,326,139,15,67,5,5,657,2356
Merewether - The Junction,164,750,54,183,262,77,3,15,5,7,308,1834
Newcastle - Cooks Hill,122,729,54,164,187,64,9,21,6,10,409,1765
Newcastle Port - Kooragang,0,0,0,0,0,0,0,0,0,0,5,5
Shortland - Jesmond,44,233,31,161,131,74,11,62,8,4,658,1406
Stockton - Fullerton Cove,61,183,21,71,111,36,4,29,3,4,219,740
Wallsend - Elermore Vale,140,595,78,284,378,168,10,91,21,4,770,2537
Waratah - North Lambton,100,467,61,202,228,102,7,46,8,6,455,1686
Wickham - Carrington - Tighes Hill,106,496,57,172,198,63,11,37,18,3,301,1460
Ballina,96,328,56,226,188,128,6,67,6,6,549,1654
Ballina Region,112,372,69,189,232,115,10,72,9,13,516,1700
Bangalow,75,143,35,75,85,46,0,18,0,3,215,702
Brunswick Heads - Ocean Shores,80,184,36,122,99,82,8,49,7,6,381,1047
Byron Bay,154,311,57,195,120,104,10,76,0,6,477,1510
Evans Head,36,81,13,72,61,33,7,28,0,4,169,501
Lennox Head - Skennars Head,75,286,31,105,119,55,3,35,6,10,215,948
Mullumbimby,70,157,42,93,73,55,6,36,3,0,358,892
Casino,46,146,46,146,156,92,9,95,4,4,541,1288
Casino Region,46,71,26,62,80,25,4,40,6,0,274,628
Goonellabah,84,303,45,192,235,138,10,73,13,4,491,1594
Kyogle,27,92,24,75,62,26,9,39,3,0,285,640
Lismore,72,342,58,252,190,117,5,90,4,3,726,1862
Lismore Region,113,332,43,181,188,96,3,61,3,5,586,1614
Kingscliff - Fingal Head,99,365,50,192,242,92,12,51,13,8,408,1528
Murwillumbah,45,148,34,111,112,61,4,67,4,4,346,941
Murwillumbah Region,51,151,33,87,133,49,7,54,10,5,370,945
Pottsville,93,321,58,195,222,94,10,60,5,10,508,1574
Tweed Heads,130,322,101,269,249,134,4,74,10,7,723,2038
Banora Point,104,265,58,238,267,137,9,52,9,8,422,1553
Terranora - North Tumblegum,23,76,15,46,73,23,0,13,5,0,100,359
Tweed Heads South,30,90,24,115,85,56,4,40,3,3,276,732
Griffith (NSW),128,420,90,264,337,180,11,288,6,11,835,2565
Griffith Region,145,205,50,160,220,91,19,118,6,5,472,1492
Leeton,69,173,36,98,138,57,21,118,3,0,371,1087
Narrandera,43,99,29,79,74,29,5,38,0,0,224,625
Tumbarumba,17,39,8,39,34,15,11,35,0,0,118,319
Tumut,29,116,33,82,88,42,6,42,0,0,243,691
Tumut Region,39,73,12,54,68,38,5,49,0,3,143,485
Cootamundra,33,138,25,77,95,47,5,57,0,0,260,743
Gundagai,35,48,15,45,46,33,0,31,5,0,114,380
Junee,30,99,25,65,89,38,6,64,0,6,187,592
Temora,49,136,27,73,88,48,0,25,0,0,201,648
Wagga Wagga - East,159,504,93,250,344,137,21,98,9,0,514,2114
Wagga Wagga - North,23,178,31,75,96,29,6,29,0,0,143,602
Wagga Wagga - South,170,675,90,353,410,189,14,146,17,13,795,2874
Wagga Wagga - West,104,399,62,202,181,90,9,59,3,7,526,1651
Wagga Wagga Region,144,329,66,190,236,106,9,72,6,12,484,1672
Berry - Kangaroo Valley,63,171,41,71,104,50,3,30,0,0,202,735
Callala Bay - Currarong,15,48,13,31,35,26,0,20,0,0,109,297
Culburra Beach,24,78,15,47,57,25,3,21,0,0,156,424
Ettrema - Sassafras - Budawang,0,0,0,0,0,0,0,0,0,0,0,3
Huskisson - Vincentia,48,101,15,44,44,25,0,18,3,6,125,438
North Nowra - Bomaderry,104,333,63,231,224,136,10,59,8,4,543,1698
Nowra,140,339,85,338,268,164,8,102,14,7,944,2411
St Georges Basin - Erowal Bay,66,167,55,196,149,113,0,65,10,4,508,1322
Sussex Inlet - Berrara,18,35,14,44,38,19,4,4,0,0,99,280
Tomerong - Wandandian - Woollamia,27,58,19,34,55,26,0,10,0,0,94,333
Ulladulla,96,213,53,183,183,101,6,74,0,9,437,1349
Ulladulla Region,24,58,20,39,47,46,4,19,0,0,135,391
Bowral,110,227,43,108,122,70,5,26,7,0,301,1013
Hill Top - Colo Vale,49,118,33,102,98,68,0,53,0,0,237,758
Mittagong,76,181,43,114,125,71,12,54,7,3,239,918
Moss Vale - Berrima,72,180,63,154,145,86,8,58,7,5,334,1113
Robertson - Fitzroy Falls,36,76,21,31,55,17,3,19,0,0,95,346
Southern Highlands,53,112,35,47,84,22,6,26,10,4,147,550
Baulkham Hills (East),323,1050,90,249,600,179,3,34,32,21,937,3517
Baulkham Hills (West) - Bella Vista,259,789,71,163,459,132,7,30,18,17,594,2539
Glenhaven,76,150,11,31,108,32,4,6,3,5,131,560
West Pennant Hills,169,474,40,52,211,70,0,12,9,7,330,1391
Castle Hill - Central,121,316,32,84,186,59,4,19,6,4,317,1153
Castle Hill - East,54,140,8,18,70,30,0,10,0,0,111,449
Castle Hill - North,145,394,38,89,199,77,0,9,5,5,367,1332
Castle Hill - South,126,385,35,81,206,72,8,15,11,8,357,1306
Castle Hill - West,77,231,17,26,113,34,0,3,3,6,168,680
Cherrybrook,191,689,41,120,329,102,9,20,13,7,518,2050
Kellyville,363,996,65,229,645,177,10,47,31,19,795,3388
Dural - Kenthurst - Wisemans Ferry,251,535,92,146,419,106,4,38,16,9,569,2186
Galston - Laughtondale,45,126,32,42,86,25,3,23,3,3,139,524
Bilpin - Colo - St Albans,15,49,15,18,41,20,3,17,0,0,101,282
Kurrajong Heights - Ebenezer,212,469,128,284,562,167,19,97,21,18,595,2562
Pitt Town - McGraths Hill,166,253,68,108,368,80,10,31,5,8,272,1373
Rouse Hill - Beaumont Hills,381,958,97,209,691,199,6,52,26,19,798,3430
Blacktown (East) - Kings Park,161,548,93,307,450,199,61,156,16,17,1217,3216
Blacktown (North) - Marayong,151,423,77,320,427,153,40,136,14,16,991,2749
Doonside - Woodcroft,176,645,87,329,554,191,61,156,31,21,1201,3449
Lalor Park - Kings Langley,274,811,117,303,646,200,40,85,29,22,1014,3544
Seven Hills - Toongabbie,205,723,117,303,630,189,63,130,18,19,1173,3571
Blacktown (South),93,299,43,181,285,86,36,82,6,16,701,1837
Blacktown (West),119,351,75,228,405,151,51,96,22,11,858,2389
Glenwood,226,662,75,182,430,125,26,55,25,13,614,2432
Parklea - Kellyville Ridge,589,1679,155,422,1097,354,33,96,42,27,1484,5976
Riverstone - Marsden Park,232,674,96,217,556,165,22,77,20,19,835,2914
Acacia Gardens,53,172,25,55,133,38,8,12,8,0,143,643
Quakers Hill,266,869,98,387,755,234,40,89,33,18,1072,3856
Bidwill - Hebersham - Emerton,55,150,37,204,254,130,83,128,24,10,1420,2497
Glendenning - Dean Park,55,202,37,140,237,81,39,50,10,8,469,1340
Hassall Grove - Plumpton,143,458,79,296,543,156,81,148,21,15,1049,2996
Lethbridge Park - Tregear,103,342,67,282,384,189,111,130,24,15,1517,3165
Mount Druitt - Whalan,82,281,62,328,397,165,114,179,29,15,1787,3445
Prospect Reservoir,0,0,0,0,0,0,0,0,0,0,7,6
Rooty Hill - Minchinbury,139,516,76,311,565,210,61,120,21,15,1000,3038
Banksmeadow,0,0,0,0,0,0,0,0,0,0,0,7
Botany,199,432,48,162,345,121,9,46,10,4,402,1772
Mascot - Eastlakes,414,1032,149,372,638,342,32,184,32,14,1283,4481
Pagewood - Hillsdale - Daceyville,138,327,60,151,237,107,13,63,9,7,568,1672
Port Botany Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Sydney Airport,0,4,0,0,5,0,0,0,0,0,11,18
Marrickville,546,1708,204,417,687,296,23,136,19,26,1215,5283
Petersham - Stanmore,537,1653,129,292,557,227,15,58,32,16,915,4439
Sydenham - Tempe - St Peters,214,496,53,131,219,79,7,38,9,4,311,1560
Darlinghurst,353,878,64,188,247,134,5,42,15,10,650,2583
Erskineville - Alexandria,681,1694,112,235,548,246,7,44,29,23,705,4321
Glebe - Forest Lodge,503,1466,121,251,429,175,8,62,29,18,1107,4165
Newtown - Camperdown - Darlington,668,2112,144,375,615,233,10,58,34,19,1223,5489
Potts Point - Woolloomooloo,682,1515,117,324,421,229,13,69,36,14,1111,4526
Pyrmont - Ultimo,562,1125,157,530,513,271,10,178,31,25,1579,4972
Redfern - Chippendale,511,1603,139,393,472,235,12,117,28,19,1413,4934
Surry Hills,534,1363,113,298,346,219,9,104,31,17,908,3947
Sydney - Haymarket - The Rocks,524,1145,304,1191,499,391,18,526,63,55,2663,7380
Waterloo - Beaconsfield,893,2230,201,461,933,436,29,126,52,34,2026,7419
Bondi - Tamarama - Bronte,608,1438,83,275,408,233,11,64,32,15,958,4127
Bondi Beach - North Bondi,783,1731,117,409,430,309,9,40,33,29,1214,5109
Bondi Junction - Waverly,448,1123,71,246,314,171,3,83,30,12,826,3315
Centennial Park,0,0,0,0,0,0,0,0,0,0,0,0
Double Bay - Bellevue Hill,688,1583,71,210,472,243,0,27,32,23,1067,4413
Dover Heights,244,554,34,138,218,81,3,21,12,6,405,1715
Paddington - Moore Park,557,1338,80,180,350,175,0,23,28,9,704,3458
Rose Bay - Vaucluse - Watsons Bay,205,415,23,85,158,84,0,15,10,3,412,1418
Woollahra,207,530,25,57,134,66,4,9,8,5,291,1335
Coogee - Clovelly,783,1982,119,352,631,244,11,45,28,16,1067,5284
Malabar - La Perouse - Chifley,299,772,54,188,490,165,12,44,23,19,807,2877
Kensington (NSW),212,680,55,185,287,112,5,41,7,7,715,2312
Kingsford,151,638,45,157,258,117,0,65,19,3,810,2269
Maroubra - North,174,499,27,128,207,72,3,19,17,10,326,1477
Maroubra - South,184,518,44,160,222,83,6,33,10,5,475,1738
Maroubra - West,169,445,44,130,198,100,3,40,5,17,484,1640
Randwick - North,556,1379,105,250,406,163,6,49,29,14,680,3634
Randwick - South,322,1006,66,196,308,110,4,42,13,9,630,2703
Bass Hill - Georges Hall,130,377,60,246,396,141,23,57,20,18,1318,2788
Chullora,16,37,8,11,12,11,4,6,0,0,71,183
Condell Park,84,235,37,140,257,84,9,49,13,7,753,1665
Greenacre - Mount Lewis,140,475,65,252,437,154,15,44,24,22,1811,3444
Padstow,164,508,52,164,425,126,22,42,14,14,616,2143
Panania - Milperra - Picnic Point,321,794,100,262,730,215,26,55,32,10,931,3480
Revesby,166,471,71,199,403,126,21,54,15,18,739,2295
Yagoona - Birrong,118,405,60,265,371,135,32,80,26,19,1354,2859
Bankstown - North,101,323,57,244,255,150,29,84,11,12,1459,2733
Bankstown - South,72,280,66,265,203,127,33,97,9,12,1298,2461
Belmore - Belfield,175,449,80,259,438,157,16,100,26,19,999,2722
Canterbury (South) - Campsie,270,835,162,598,616,397,34,328,15,44,1994,5293
Kingsgrove (North) - Earlwood,336,817,82,211,523,177,16,60,17,23,842,3114
Punchbowl,129,307,63,250,347,140,28,80,14,19,1531,2910
Roselands,132,350,53,153,306,119,9,45,5,3,714,1896
Lakemba,57,193,30,224,146,112,16,99,13,12,1736,2643
Wiley Park,43,152,37,161,114,122,15,78,10,3,1023,1750
Hurstville,228,869,102,369,519,331,17,161,17,25,1544,4184
Mortdale - Penshurst,278,980,95,401,629,231,22,125,30,28,1064,3887
Narwee - Beverly Hills,118,418,51,165,315,130,25,56,19,9,676,1976
Oatley - Hurstville Grove,161,499,41,96,295,87,4,25,5,0,387,1610
Peakhurst - Lugarno,192,555,50,164,411,107,18,33,16,10,550,2113
Riverwood,67,293,40,131,230,119,20,65,15,9,641,1623
South Hurstville - Blakehurst,242,844,67,328,495,234,18,129,18,24,1117,3516
Arncliffe - Bardwell Valley,357,1059,117,375,663,306,38,213,37,27,1429,4624
Bexley,262,862,124,435,581,264,24,215,31,20,1323,4146
Kingsgrove (South) - Bardwell Park,162,452,35,108,292,102,13,44,13,5,450,1679
Kogarah,111,590,61,260,266,137,11,93,14,12,652,2204
Kogarah Bay - Carlton - Allawah,185,577,72,249,396,207,28,95,13,8,735,2562
Monterey - Brighton-le-Sands - Kyeemagh,195,451,62,177,364,167,18,66,16,18,660,2200
Rockdale - Banksia,253,689,97,433,499,272,23,299,19,30,1131,3745
Sans Souci - Ramsgate,205,469,61,184,419,152,14,37,20,8,569,2135
Concord - Mortlake - Cabarita,378,882,60,156,484,178,9,33,27,20,738,2966
Concord West - North Strathfield,455,1598,132,285,740,310,9,63,45,29,1767,5432
Drummoyne - Rodd Point,494,944,66,180,409,154,5,17,25,8,661,2962
Five Dock - Abbotsford,517,1011,79,170,493,185,3,35,31,9,764,3302
Balmain,472,980,33,126,267,118,6,20,17,4,636,2674
Leichhardt - Annandale,731,1869,140,255,631,229,3,50,31,23,1036,5011
Lilyfield - Rozelle,509,928,56,134,288,110,4,16,20,15,585,2672
Ashfield,315,1260,131,503,562,243,10,210,33,21,1373,4661
Burwood - Croydon,316,1071,114,400,464,282,7,133,46,37,1427,4294
Canterbury (North) - Ashbury,161,478,54,132,260,98,7,50,10,7,393,1654
Croydon Park - Enfield,221,722,69,190,418,143,14,45,15,25,676,2546
Dulwich Hill - Lewisham,394,1097,96,236,442,167,10,64,24,16,689,3237
Haberfield - Summer Hill,266,770,61,155,281,109,13,37,16,4,460,2179
Homebush,170,833,107,270,410,186,29,125,27,15,1318,3488
Strathfield,248,1087,119,352,469,228,10,138,37,43,1339,4079
Strathfield South,38,147,5,36,85,23,0,11,0,0,169,523
Chatswood (East) - Artarmon,508,1702,128,345,614,287,9,110,34,32,1828,5601
Chatswood (West) - Lane Cove North,493,1479,91,279,473,188,6,62,31,23,943,4061
Lane Cove - Greenwich,543,1520,80,213,479,177,4,31,27,19,900,3976
St Leonards - Naremburn,348,1009,37,113,265,107,0,23,23,10,582,2511
Willoughby - Castle Cove - Northbridge,494,1059,66,133,370,124,3,16,13,12,835,3128
Asquith - Mount Colah,205,750,77,231,370,115,12,42,14,10,559,2386
Berowra - Brooklyn - Cowan,124,437,48,127,271,80,3,26,6,4,278,1400
Normanhurst - Thornleigh - Westleigh,222,779,64,136,309,89,7,25,17,12,515,2169
Hornsby - East,153,654,88,281,293,162,13,70,9,13,784,2505
Hornsby - West,129,454,34,125,209,65,4,26,6,5,456,1516
Waitara - Wahroonga (West),127,555,49,140,216,80,5,25,11,16,562,1775
Gordon - Killara,298,843,50,99,306,107,0,13,13,18,794,2561
Lindfield - Roseville,341,988,62,137,377,121,8,20,22,11,742,2825
Pymble,243,696,34,77,232,76,4,19,13,9,457,1853
St Ives,324,745,59,116,273,117,3,17,23,12,646,2329
Turramurra,278,704,30,106,246,80,6,14,17,7,452,1938
Wahroonga (East) - Warrawee,200,663,34,94,248,70,0,9,14,8,460,1803
Cremorne - Cammeray,648,1395,80,188,488,176,6,37,23,13,727,3786
Crows Nest - Waverton,657,1726,97,199,530,166,5,28,38,16,784,4249
Mosman,643,1300,87,216,487,196,3,28,54,14,1066,4089
Neutral Bay - Kirribilli,678,1544,107,219,474,175,3,37,29,18,764,4048
North Sydney - Lavender Bay,375,858,34,99,250,91,0,22,19,13,534,2295
Balgowlah - Clontarf - Seaforth,417,825,59,152,306,127,4,20,21,10,630,2576
Manly - Fairlight,770,1518,127,298,452,237,13,39,35,16,921,4425
Avalon - Palm Beach,135,304,38,88,182,56,6,17,8,6,284,1121
Bayview - Elanora Heights,142,269,40,72,174,54,0,12,4,3,232,1005
Newport - Bilgola,157,403,56,162,212,85,3,22,9,5,312,1432
Warriewood - Mona Vale,394,845,105,263,517,203,17,46,18,17,611,3038
Beacon Hill - Narraweena,196,447,65,157,274,103,8,43,10,10,357,1659
Cromer,109,229,27,77,161,72,7,24,0,5,177,878
Dee Why - North Curl Curl,507,1102,172,600,629,328,33,155,27,23,1052,4632
Forestville - Killarney Heights,180,466,38,98,205,67,0,8,15,5,341,1428
Frenchs Forest - Belrose,401,823,76,224,451,135,10,35,20,13,533,2723
Freshwater - Brookvale,570,1182,130,341,497,224,16,69,32,16,790,3863
Manly Vale - Allambie Heights,348,706,70,207,347,129,13,45,15,11,513,2399
Narrabeen - Collaroy,461,1005,121,327,568,216,16,67,21,18,701,3515
Terrey Hills - Duffys Forest,49,105,14,24,64,9,0,14,0,0,79,351
Camden - Ellis Lane,134,402,44,180,332,85,8,33,14,4,331,1565
Elderslie - Harrington Park,272,757,105,306,633,215,25,53,41,13,722,3150
Mount Annan - Currans Hill,369,989,147,494,1035,378,45,141,38,22,1112,4783
Bradbury - Wedderburn,139,331,67,322,420,199,48,112,11,8,1131,2793
Campbelltown - Woodbine,162,471,78,260,372,180,39,101,21,9,999,2694
Claymore - Eagle Vale - Raby,169,373,69,313,494,212,47,131,23,12,1104,2946
Holsworthy Military Area,0,0,0,0,0,0,0,0,0,0,0,0
Ingleburn - Denham Court,143,473,80,284,458,177,43,121,23,10,1160,2965
Leumeah - Minto Heights,139,343,64,238,437,176,39,95,21,7,803,2356
Macquarie Fields - Glenfield,136,541,82,366,508,182,59,157,26,12,1532,3600
Minto - St Andrews,139,371,86,313,419,176,73,132,19,12,1208,2954
Rosemeadow - Glen Alpine,172,370,61,267,420,190,31,106,18,12,1125,2779
Bargo,56,119,28,78,118,68,13,46,3,4,192,716
Douglas Park - Appin,115,295,56,145,279,87,19,40,17,0,286,1330
Picton - Tahmoor - Buxton,147,382,79,247,372,160,20,100,10,12,655,2181
The Oaks - Oakdale,67,179,63,116,248,73,21,46,13,4,292,1126
Blackheath - Megalong Valley,49,120,29,64,50,38,0,26,3,0,181,562
Blaxland - Warrimoo - Lapstone,203,736,67,211,391,98,10,34,12,8,500,2259
Blue Mountains - North,0,0,0,0,0,0,0,0,0,0,0,0
Katoomba - Leura,104,297,52,189,139,81,7,61,11,4,495,1442
Lawson - Hazelbrook - Linden,86,338,43,142,189,68,6,49,8,10,382,1317
Springwood - Winmalee,190,750,89,238,417,125,9,69,28,9,549,2467
Wentworth Falls,51,134,25,60,71,30,3,21,4,0,195,586
Blue Mountains - South,0,0,0,0,0,0,0,0,0,0,0,0
Cambridge Park,143,311,86,266,502,188,42,78,15,12,680,2327
Castlereagh - Cranebrook,285,726,119,353,870,268,41,130,39,13,1108,3954
Emu Plains - Leonay,152,469,40,204,395,120,20,37,20,11,534,2011
Glenmore Park - Regentville,251,683,101,357,806,228,32,53,19,11,709,3253
Jamisontown - South Penrith,182,471,78,272,523,184,35,67,20,9,708,2543
Kingswood - Werrington,183,535,93,345,568,189,47,141,16,16,1106,3227
Mulgoa - Luddenham - Orchard Hills,115,285,41,102,336,89,13,30,5,11,352,1382
Penrith,155,331,61,178,324,128,35,82,11,3,690,1981
Warragamba - Silverdale,44,106,27,74,149,40,13,31,3,3,170,653
Richmond - Clarendon,133,307,76,195,294,124,16,75,10,10,566,1797
Windsor - Bligh Park,127,303,75,231,406,151,37,95,21,6,705,2155
Yarramundi - Londonderry,60,99,40,66,176,45,14,38,6,8,382,942
Erskine Park,62,163,25,95,180,54,11,16,0,0,207,814
St Clair,196,452,81,300,616,199,66,104,25,16,847,2902
Colyton - Oxley Park,82,174,29,176,290,95,51,73,9,4,664,1657
St Marys - North St Marys,99,245,68,232,325,150,72,95,17,9,1055,2376
Homebush Bay - Silverwater,398,1117,83,221,570,215,14,48,25,19,1601,4315
Rookwood Cemetery,0,0,0,0,0,0,0,0,0,0,0,0
Auburn - Central,68,262,57,225,177,114,14,144,12,20,1430,2534
Auburn - North,45,173,39,206,123,101,15,123,8,17,1002,1850
Auburn - South,50,163,29,87,100,68,8,54,5,11,623,1193
Berala,52,173,36,120,158,63,11,70,16,8,604,1307
Lidcombe,186,630,143,313,383,183,23,160,28,43,1287,3377
Regents Park,34,92,14,59,93,24,10,30,0,3,313,682
Carlingford,261,1031,100,208,522,162,9,69,26,22,1225,3636
Ermington - Rydalmere,253,745,94,285,506,171,22,68,22,21,1057,3236
Oatlands - Dundas Valley,192,652,65,191,418,137,8,60,8,8,945,2687
Chester Hill - Sefton,86,306,54,218,279,104,34,84,14,6,1175,2353
Fairfield - East,77,178,52,181,217,80,44,75,13,15,1182,2107
Granville - Clyde,128,450,67,364,373,188,28,140,29,20,1653,3435
Greystanes - Pemulwuy,313,888,85,256,817,218,39,49,28,11,1162,3872
Guildford - South Granville,88,324,43,230,328,119,29,57,23,20,1816,3077
Guildford West - Merrylands West,155,431,63,282,424,130,36,74,30,21,1475,3123
Merrylands - Holroyd,260,688,111,363,634,200,48,131,28,26,2100,4587
Smithfield Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Yennora Industrial,0,0,0,0,0,0,0,0,0,0,0,0
North Parramatta,285,1093,117,318,667,195,29,91,32,14,1713,4560
North Rocks,93,321,19,51,145,42,0,11,3,6,271,963
Northmead,265,1238,98,306,589,199,35,94,29,23,1616,4489
Parramatta - Rosehill,303,1421,161,506,799,389,106,312,65,41,3118,7217
Toongabbie - Constitution Hill,197,809,84,261,516,146,25,82,32,10,973,3136
Winston Hills,154,461,38,103,317,84,9,18,14,12,290,1497
Pendle Hill - Girraween,81,397,75,180,306,105,32,87,16,11,833,2120
Wentworthville - Westmead,142,647,62,231,321,125,34,82,20,13,1160,2838
Epping - North Epping,287,1252,96,206,544,188,8,43,42,22,1254,3930
Pennant Hills - Cheltenham,254,874,53,128,313,93,4,22,9,10,549,2293
Eastwood - Denistone,258,1041,111,248,487,199,3,78,18,26,1192,3661
Gladesville - Huntleys Point,321,691,52,122,345,114,7,25,19,10,476,2180
Hunters Hill - Woolwich,179,328,19,56,142,46,0,12,4,0,269,1065
Macquarie Park - Marsfield,311,1288,83,210,518,181,7,60,26,17,1367,4070
North Ryde - East Ryde,185,532,44,101,259,72,5,20,9,10,364,1595
West Ryde - Meadowbank,305,1176,121,308,607,239,11,81,36,23,1108,4016
Putney,45,140,15,15,77,25,3,9,0,5,97,431
Ryde,423,1328,132,308,712,253,12,80,43,29,1382,4698
Ashcroft - Busby - Miller,48,136,39,181,172,79,50,86,15,14,1397,2210
Austral - Greendale,95,116,37,59,195,56,6,24,5,9,415,1024
Cobbitty - Leppington,283,686,91,254,661,176,32,59,30,25,836,3141
Badgerys Creek,0,0,0,0,0,0,0,0,0,0,3,6
Cecil Hills,53,192,23,74,180,60,8,25,8,0,286,913
Green Valley,79,246,41,137,269,99,33,70,17,12,711,1721
Hinchinbrook,101,292,60,167,297,102,35,63,14,15,671,1810
Hoxton Park - Carnes Hill - Horningsea Park,95,359,44,173,371,106,25,67,23,11,649,1921
West Hoxton - Middleton Grange,179,525,71,175,546,154,30,54,19,11,812,2576
Bonnyrigg Heights - Bonnyrigg,109,265,56,176,292,132,46,93,24,0,943,2139
Bossley Park - Abbotsbury,128,399,46,162,426,126,28,66,21,10,881,2286
Cabramatta - Lansvale,100,299,83,403,299,171,67,299,33,25,1850,3632
Cabramatta West - Mount Pritchard,94,242,58,220,300,133,49,128,17,17,1070,2324
Canley Vale - Canley Heights,117,309,63,295,319,141,54,197,27,28,1420,2971
Edensor Park,77,203,26,86,202,64,10,36,16,3,516,1240
Fairfield,80,239,45,206,248,105,30,97,17,16,1500,2583
Fairfield - West,106,244,53,201,300,146,55,130,27,18,1348,2634
Greenfield Park - Prairiewood,41,155,27,84,156,54,12,38,6,11,460,1038
Horsley Park - Kemps Creek,42,92,13,29,107,19,0,14,6,0,154,482
Smithfield - Wetherill Park,110,347,46,200,339,116,31,81,19,13,1064,2372
St Johns Park - Wakeley,65,253,36,108,217,73,19,62,12,6,537,1391
Wetherill Park Industrial,0,0,0,0,0,0,0,0,0,0,0,0
Casula,129,391,44,181,366,139,35,48,16,20,881,2249
Chipping Norton - Moorebank,222,653,66,203,533,158,26,76,30,6,829,2815
Holsworthy - Wattle Grove,235,790,82,311,712,188,30,59,32,9,818,3259
Liverpool,109,505,81,341,385,199,60,142,33,18,2568,4436
Lurnea - Cartwright,38,127,23,150,167,73,36,52,3,9,914,1590
Prestons - Edmondson Park,178,551,61,225,516,150,45,67,33,15,988,2836
Warwick Farm,23,127,23,70,99,28,14,39,10,7,552,989
Gymea - Grays Point,271,611,62,205,445,142,8,31,12,10,426,2233
Miranda - Yowie Bay,259,609,67,254,446,171,14,64,17,10,583,2492
Sylvania - Taren Point,219,422,53,144,332,128,9,31,15,9,441,1801
Caringbah,153,491,60,229,334,143,7,37,11,8,448,1941
Caringbah South,160,412,35,118,235,89,0,10,11,4,253,1339
Cronulla - Kurnell - Bundeena,414,1000,105,452,627,242,15,55,17,10,796,3745
Lilli Pilli - Port Hacking - Dolans Bay,46,88,9,22,68,14,0,4,6,0,56,310
Woolaware - Burraneer,109,268,25,84,166,62,0,13,3,0,177,909
Heathcote - Waterfall,63,196,36,79,157,51,6,16,0,3,157,758
Illawong - Alfords Point,121,331,30,74,215,72,7,18,14,9,228,1125
Menai - Lucas Heights - Woronora,244,715,73,229,528,150,13,49,19,13,473,2488
Oyster Bay - Como - Jannali,307,869,68,203,526,143,6,21,16,15,507,2697
Royal National Park,0,0,0,0,0,0,0,0,0,0,5,8
Sutherland - Kirrawee,329,962,109,335,657,213,14,52,27,17,715,3440
Engadine,213,659,81,282,551,145,10,45,21,3,380,2368
Loftus - Yarrawarrah,77,302,28,85,199,64,3,13,12,4,139,925
Woronora Heights,41,98,9,43,100,18,0,9,6,0,70,390
Migratory - Offshore - Shipping (NSW),0,8,0,4,5,4,0,0,0,0,10,34
No Usual Address (NSW),51,201,44,102,71,52,15,91,6,8,1080,1716
Alfredton,97,438,60,195,265,94,0,56,7,5,396,1626
Ballarat,93,510,49,132,152,79,0,32,7,4,388,1456
Ballarat - North,162,785,121,299,434,178,14,94,20,6,900,3018
Ballarat - South,145,611,125,438,423,224,16,151,7,10,1163,3323
Buninyong,47,211,35,75,133,35,0,19,10,0,212,783
Delacombe,46,177,29,129,148,83,5,55,7,0,262,945
Smythes Creek,30,81,21,51,83,32,0,25,0,0,115,441
Wendouree - Miners Rest,80,281,64,223,236,148,6,118,12,5,689,1859
Bacchus Marsh Region,56,122,32,74,109,42,11,23,3,0,220,685
Creswick - Clunes,56,109,33,86,114,53,4,37,4,0,279,769
Daylesford,86,154,37,100,96,49,0,57,9,0,288,878
Gordon (Vic.),48,123,19,51,91,38,9,31,0,0,190,602
Avoca,26,38,12,26,27,7,3,19,0,0,123,282
Beaufort,25,56,22,36,52,19,3,26,5,0,123,376
Golden Plains - North,30,73,27,55,83,39,0,23,3,6,154,492
Maryborough (Vic.),30,73,41,96,64,57,0,50,0,3,322,737
Maryborough Region,25,45,19,49,45,25,0,32,0,3,188,433
Bendigo,109,426,76,179,210,99,13,94,14,8,699,1916
California Gully - Eaglehawk,51,196,56,198,159,100,19,95,8,3,624,1515
East Bendigo - Kennington,98,408,56,152,166,93,9,42,10,9,407,1450
Flora Hill - Spring Gully,71,374,29,124,152,53,5,42,4,0,348,1207
Kangaroo Flat - Golden Square,144,440,104,305,322,173,15,163,9,8,913,2601
Maiden Gully,51,174,29,65,138,35,0,21,4,0,184,711
Strathfieldsaye,77,349,46,101,212,69,3,25,7,5,236,1124
White Hills - Ascot,102,399,71,231,279,136,7,75,7,5,474,1790
Bendigo Region - South,71,191,41,81,160,49,7,28,0,4,225,859
Castlemaine,79,236,51,99,82,56,10,67,4,0,359,1044
Castlemaine Region,69,149,39,75,69,34,5,32,6,4,268,743
Heathcote,28,44,18,39,46,30,3,22,0,5,158,392
Kyneton,83,243,48,109,117,48,5,74,9,5,327,1069
Woodend,58,224,38,75,86,37,4,28,4,5,238,790
Bendigo Region - North,26,82,6,33,84,24,4,22,6,0,140,435
Loddon,74,83,21,48,63,26,3,32,4,4,229,573
Bannockburn,64,172,52,99,176,80,7,26,4,7,229,912
