SA2,Fully engaged,Partially engaged,At least partially engaged,Not Engaged,Engagement status undetermined/Not Stated,Total
High Wycombe,728,461,70,445,126,1838
Kalamunda - Maida Vale - Gooseberry Hill,575,499,58,342,69,1544
Lesmurdie - Bickley - Carmel,385,380,44,257,42,1118
Byford,1113,807,117,713,150,2906
Mundijong,247,236,25,195,42,735
Serpentine - Jarrahdale,137,131,19,125,42,451
Como,1327,483,81,358,156,2409
Manning - Waterford,588,335,56,268,61,1316
South Perth - Kensington,1241,527,88,422,213,2485
Banjup,1250,1022,142,621,107,3148
Bibra Industrial,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0
Coogee,477,351,58,220,45,1154
Coolbellup,514,308,54,257,81,1208
Hamilton Hill,663,402,61,301,141,1569
Henderson,0,0,0,0,0,0
North Coogee,200,77,10,61,44,390
South Lake - Cockburn Central,779,418,61,359,91,1710
Spearwood,554,374,49,318,90,1387
Success - Hammond Park,1248,815,152,636,179,3025
Yangebup,443,337,63,276,68,1189
Beeliar - Wattleup,570,430,70,299,73,1443
Jandakot,111,74,14,59,14,271
East Fremantle,414,249,35,133,47,874
Fremantle,1161,518,98,327,276,2386
Fremantle - South,932,536,104,345,133,2055
O'Connor (WA),0,0,0,0,0,0
Bertram - Wellard (West),1225,706,142,711,166,2946
Calista,342,252,31,368,93,1072
Hope Valley - Postans,0,0,0,0,0,0
Kwinana Industrial,0,0,0,0,0,4
Parmelia - Orelia,492,377,56,506,148,1586
Casuarina - Wandi,413,230,46,192,51,937
Applecross - Ardross,556,392,46,292,59,1346
Bateman,191,128,14,92,16,434
Bicton - Palmyra,908,545,98,342,99,1993
Booragoon,766,502,64,364,101,1791
Bull Creek,337,277,31,192,23,859
Leeming,518,410,45,228,33,1239
Melville,840,648,85,342,76,1988
Murdoch - Kardinya,709,339,53,249,50,1404
Willagee,311,219,27,148,43,751
Winthrop,282,168,16,129,20,605
Baldivis,2205,1556,241,1477,418,5904
Cooloongup,327,249,32,337,81,1035
Port Kennedy,644,554,72,575,126,1968
Rockingham,650,397,72,445,150,1711
Rockingham Lakes,0,0,0,0,0,0
Safety Bay - Shoalwater,454,361,46,358,69,1294
Singleton - Golden Bay - Secret Harbour,1042,937,119,817,144,3054
Waikiki,544,481,58,465,95,1651
Warnbro,488,351,66,438,111,1450
Albany,585,477,71,347,81,1561
Albany Region,85,121,20,77,24,333
Bayonet Head - Lower King,193,195,24,123,30,558
Denmark,153,190,35,139,59,571
Gnowangerup,122,127,12,72,39,369
Katanning,193,138,26,145,77,578
Kojonup,146,147,25,114,62,491
Little Grove - Elleker,131,106,13,53,9,304
McKail - Willyung,412,426,54,364,66,1319
Plantagenet,139,158,19,151,36,496
Stirling Range National Park,0,0,0,0,0,0
Chittering,188,197,28,147,57,613
Cunderdin,123,132,23,119,41,434
Dowerin,138,153,17,117,32,456
Gingin - Dandaragan,300,253,45,226,71,907
Merredin,202,163,31,145,42,580
Moora,199,165,22,134,57,577
Mukinbudin,118,89,18,99,42,364
Northam,430,307,51,333,120,1240
Toodyay,112,105,18,109,34,371
York - Beverley,145,155,13,112,45,483
Brookton,94,114,21,102,43,377
Kulin,156,193,16,122,45,531
Murray,87,82,16,100,23,311
Narrogin,170,146,27,136,48,522
Wagin,155,180,29,111,57,529
Broome,1170,533,116,403,333,2555
Derby - West Kimberley,387,121,35,520,172,1235
Halls Creek,109,41,22,226,149,553
Kununurra,524,189,53,295,157,1219
Roebuck,90,55,0,139,34,321
East Pilbara,311,54,41,181,158,746
Newman,342,149,42,159,98,798
Port Hedland,384,169,49,137,97,841
South Hedland,657,311,83,410,274,1739
Ashburton (WA),711,259,100,303,188,1563
Karratha,1189,664,148,672,330,3005
Roebourne,274,168,45,216,76,782
Esperance,461,479,62,309,138,1449
Esperance Region,147,125,28,108,77,485
Carnarvon,259,133,36,144,111,680
Exmouth,249,197,36,128,80,684
Boulder,350,229,43,282,142,1043
Kalgoorlie,907,506,93,517,205,2225
Kalgoorlie - North,641,368,73,317,113,1507
Kalgoorlie Airport,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,209,104,32,184,84,614
Leinster - Leonora,180,61,24,253,150,664
Trafalgar (WA),0,0,0,0,0,0
Geraldton,475,310,47,344,130,1302
Geraldton - East,302,256,49,270,140,1013
Geraldton - North,372,314,49,246,75,1053
Geraldton - South,566,423,76,277,86,1429
Irwin,91,137,14,95,23,360
Meekatharra,138,42,14,101,87,379
Morawa,149,117,20,108,38,429
Northampton - Mullewa - Greenough,157,191,25,156,64,596
Migratory - Offshore - Shipping (WA),4,0,0,0,3,14
No Usual Address (WA),225,84,34,240,246,838
Bridgewater - Gagebrook,195,218,37,440,110,987
Brighton - Pontville,280,297,33,144,33,785
Old Beach - Otago,274,193,30,67,20,584
Bellerive - Rosny,300,210,32,98,23,664
Cambridge,360,328,48,99,13,849
Geilston Bay - Risdon,193,151,28,44,7,428
Howrah - Tranmere,571,439,77,134,43,1263
Lindisfarne - Rose Bay,363,246,50,122,30,808
Mornington - Warrane,245,193,30,180,23,679
Risdon Vale,111,93,26,95,57,377
Rokeby,311,264,42,292,53,957
South Arm,166,198,29,74,18,482
Austins Ferry - Granton,205,176,17,101,23,524
Berriedale - Chigwell,223,222,38,175,43,694
Claremont (Tas.),335,324,61,223,47,991
Derwent Park - Lutana,223,156,25,142,35,580
Glenorchy,487,394,60,371,87,1404
Montrose - Rosetta,230,169,28,120,34,586
Moonah,297,212,39,153,55,755
New Norfolk,194,255,32,235,53,774
West Moonah,252,156,29,112,33,578
Kingston - Huntingfield,632,512,93,275,58,1566
Kingston Beach - Blackmans Bay,480,438,63,198,44,1214
Margate - Snug,385,363,47,180,34,1010
Mount Wellington,0,0,0,0,0,0
Taroona - Bonnet Hill,167,118,18,27,15,351
Hobart,730,231,40,139,115,1253
Lenah Valley - Mount Stuart,560,367,57,146,55,1180
Mount Nelson - Dynnyrne,288,178,26,74,28,593
New Town,407,212,36,132,55,837
Sandy Bay,814,364,51,203,78,1515
South Hobart - Fern Tree,387,261,47,114,39,850
West Hobart,474,259,37,97,50,915
Dodges Ferry - Lewisham,277,300,48,187,68,884
Sorell - Richmond,358,371,56,174,53,1015
Invermay,157,102,13,92,29,394
Kings Meadows - Punchbowl,204,179,35,112,46,568
Launceston,304,160,32,82,55,637
Legana,172,178,21,64,16,446
Mowbray,183,102,11,156,31,479
Newnham - Mayfield,362,307,40,349,92,1148
Newstead,236,223,26,106,29,619
Norwood (Tas.),160,155,27,60,21,417
Prospect Vale - Blackstone,273,274,38,126,36,748
Ravenswood,87,116,19,177,51,447
Riverside,307,244,46,135,26,756
South Launceston,291,177,27,127,38,662
Summerhill - Prospect,227,209,38,104,37,617
Trevallyn,259,178,19,87,25,574
Waverley - St Leonards,155,137,20,116,32,463
West Launceston,236,192,27,87,26,568
Youngtown - Relbia,210,184,27,98,35,557
Beauty Point - Beaconsfield,65,100,16,103,22,301
Deloraine,144,202,28,167,53,586
Grindelwald - Lanena,182,185,37,102,34,545
Hadspen - Carrick,134,147,34,79,17,406
Westbury,125,135,11,99,21,399
Dilston - Lilydale,146,148,19,76,34,420
George Town,160,201,31,253,59,706
Longford,130,111,16,117,22,398
Northern Midlands,102,138,13,111,45,406
Perth - Evandale,191,197,21,113,39,563
St Helens - Scamander,128,181,24,133,37,499
Flinders and Cape Barren Islands,29,23,6,16,8,83
Scottsdale - Bridport,179,202,31,198,45,656
Central Highlands,48,58,11,66,14,200
Derwent Valley,109,83,18,89,22,322
Southern Midlands,206,191,25,158,46,634
Wilderness - East,0,0,0,0,0,5
Bruny Island - Kettering,82,94,9,55,21,255
Cygnet,110,143,11,124,33,411
Geeveston - Dover,99,99,18,103,34,345
Huonville - Franklin,316,336,45,213,67,977
Forestier - Tasman,47,58,7,58,19,185
Triabunna - Bicheno,115,132,21,82,28,374
Acton - Upper Burnie,124,116,18,117,23,402
Burnie - Ulverstone Region,169,168,32,111,39,516
Burnie - Wivenhoe,149,112,23,140,34,455
Parklands - Camdale,264,211,24,192,32,726
Penguin - Sulphur Creek,177,185,40,124,34,557
Romaine - Havenview,139,140,18,113,17,422
Somerset,127,146,18,107,21,421
Ulverstone,219,253,42,170,28,714
West Ulverstone,96,141,20,120,29,405
Wynyard,177,202,24,179,46,623
Devonport,503,520,67,427,76,1584
East Devonport,129,142,12,196,29,509
Latrobe,170,179,27,131,33,538
Miandetta - Don,167,157,19,100,20,464
Port Sorell,182,168,29,108,27,522
Quoiba - Spreyton,130,126,11,58,16,338
Sheffield - Railton,196,197,31,160,33,629
Turners Beach - Forth,140,120,15,45,11,333
King Island,61,60,15,31,16,181
North West,147,139,29,96,37,442
Smithton,109,167,24,103,23,420
Waratah,97,116,13,111,19,360
West Coast (Tas.),120,141,22,178,38,497
Wilderness - West,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),3,0,0,0,0,3
No Usual Address (Tas.),37,16,0,45,13,120
Darwin Airport,0,0,0,0,0,3
Darwin City,822,161,51,205,229,1472
East Point,0,0,0,0,0,5
Fannie Bay - The Gardens,359,76,21,73,48,577
Larrakeyah,387,128,14,94,83,713
Ludmilla - The Narrows,198,56,18,96,51,420
Parap,296,87,28,96,61,562
Stuart Park,558,99,32,93,121,904
Woolner - Bayview - Winnellie,314,72,18,59,50,513
Alawa,162,64,19,54,46,352
Anula,188,60,20,53,25,350
Berrimah,64,23,4,39,28,161
Brinkin - Nakara,331,98,29,61,65,584
Buffalo Creek,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0
Coconut Grove,327,82,31,76,77,595
East Arm,4,0,0,0,0,4
Jingili,126,69,9,35,20,261
Karama,383,126,33,154,100,790
Leanyer,400,126,39,92,57,708
Lyons (NT),532,184,61,147,50,973
Malak - Marrara,328,110,31,125,76,671
Millner,260,79,18,58,38,456
Moil,151,51,21,49,29,297
Nightcliff,410,121,29,114,82,755
Rapid Creek,344,103,30,97,81,648
Tiwi,234,75,15,55,29,410
Wagaman,180,63,9,52,41,345
Wanguri,150,52,11,31,28,271
Wulagi,211,63,25,66,31,389
Howard Springs,220,81,23,56,108,493
Humpty Doo,651,263,62,150,148,1268
Koolpinyah,3,0,0,0,0,3
Virginia,212,78,21,59,52,420
Weddell,261,100,26,123,80,590
Bakewell,322,101,36,83,43,586
Driver,233,93,13,86,52,480
Durack - Marlow Lagoon,403,151,33,139,58,783
Gray,242,93,23,111,81,542
Moulden,200,66,16,116,64,456
Palmerston - North,415,152,37,124,53,784
Palmerston - South,377,108,42,95,48,667
Rosebery - Bellamack,663,239,75,253,81,1314
Woodroffe,271,96,25,95,64,545
Charles,299,106,42,144,107,693
East Side,480,150,41,125,130,924
Flynn (NT),367,109,31,133,96,737
Larapinta,426,129,41,117,76,788
Mount Johns,427,89,28,85,117,749
Petermann - Simpson,219,44,28,84,81,456
Ross,125,48,8,60,46,288
Sandover - Plenty,91,52,12,281,94,528
Tanami,83,59,12,257,63,467
Yuendumu - Anmatjere,64,28,4,215,53,364
Barkly,83,42,8,198,45,380
Tennant Creek,189,36,16,157,54,446
Alligator,224,105,44,130,81,575
Daly,58,23,10,114,35,244
Thamarrurr,82,23,7,234,97,450
Tiwi Islands,73,56,11,232,27,398
West Arnhem,130,40,26,463,146,801
Anindilyakwa,115,55,20,194,59,444
East Arnhem,190,118,45,742,125,1213
Nhulunbuy,267,92,31,59,76,524
Elsey,68,38,15,163,35,324
Gulf,105,52,40,314,77,589
Katherine,697,198,56,278,308,1542
Victoria River,72,38,19,145,72,349
Migratory - Offshore - Shipping (NT),0,0,0,0,4,4
No Usual Address (NT),72,25,25,126,175,420
Aranda,150,71,19,40,3,279
Belconnen,928,221,49,179,112,1497
Bruce,856,190,51,105,57,1261
Charnwood,234,114,27,95,27,496
Cook,227,106,23,45,15,419
Dunlop,661,300,79,157,45,1235
Evatt,398,187,52,99,46,781
Florey,348,153,29,108,26,669
Flynn (ACT),232,120,25,67,8,459
Fraser,122,65,17,35,12,254
Giralang,246,152,35,63,22,512
Gooromon,0,0,0,0,0,0
Hawker,198,75,18,56,11,354
Higgins,231,111,30,65,17,455
Holt,392,156,44,102,43,735
Kaleen,508,237,55,120,34,956
Latham,308,137,36,66,34,585
Lawson,19,3,0,0,0,24
Macgregor (ACT),736,313,98,183,34,1358
Macquarie,215,103,20,67,20,424
McKellar,151,92,16,44,20,321
Melba,239,103,23,58,16,440
Page,261,87,31,53,21,458
Scullin,212,128,22,79,23,461
Spence,187,101,26,57,12,381
Weetangera,156,83,10,29,3,284
Molonglo Corridor,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0
Hume,0,0,0,0,19,20
Kowen,0,0,0,0,0,6
Canberra East,26,13,0,19,13,74
Canberra Airport,15,0,3,0,0,20
Majura,7,4,0,0,3,16
Amaroo,484,226,48,136,22,919
Bonner,783,315,81,251,63,1493
Casey,812,281,92,168,58,1413
Crace,593,228,71,103,53,1050
Forde,444,208,64,95,30,843
Franklin,846,305,76,229,63,1512
Gungahlin,662,231,51,194,74,1211
Hall,8,6,3,4,0,26
Harrison,918,342,98,231,58,1641
Mitchell,0,0,0,0,0,0
Ngunnawal,1013,482,120,280,95,2000
Nicholls,388,170,36,94,37,728
Palmerston,451,192,40,134,43,868
Gungahlin - East,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0
Jacka,93,29,12,46,3,175
Kenny,0,0,0,0,0,4
Moncrieff,12,3,0,5,4,25
Taylor,0,0,0,0,0,0
Throsby,0,0,0,0,0,0
Acton,183,7,0,0,15,205
Ainslie,404,164,40,70,32,714
Braddon,933,125,47,78,136,1328
Civic,487,45,15,40,76,668
Dickson,279,76,10,40,30,434
Downer,344,128,36,71,33,616
Hackett,218,93,28,49,19,398
Lyneham,589,156,30,87,79,942
O'Connor (ACT),475,165,44,77,51,815
Turner,617,97,24,55,78,882
Watson,634,263,60,107,61,1125
Black Mountain,0,0,0,0,0,0
Campbell,260,58,18,41,20,395
Duntroon,82,23,10,21,15,153
Parkes (ACT) - North,0,0,0,0,0,0
Reid,150,21,6,20,26,225
Russell,0,0,0,0,0,0
Deakin,177,71,15,33,7,303
Forrest,141,40,14,20,25,245
Griffith (ACT),498,97,30,81,59,762
Lake Burley Griffin,0,0,0,0,0,0
Narrabundah,494,145,59,119,66,888
Parkes (ACT) - South,0,0,0,0,0,0
Red Hill (ACT),182,68,20,43,24,334
Yarralumla,142,62,8,44,9,269
Barton,225,24,28,21,27,316
Fyshwick,0,0,0,0,0,3
Kingston (ACT),871,83,61,46,84,1150
Banks,432,224,43,99,45,841
Bonython,285,119,39,90,9,539
Calwell,379,206,45,94,43,775
Chisholm,350,164,37,104,31,682
Conder,343,158,40,84,31,654
Fadden,166,76,27,31,5,304
Gilmore,203,99,18,70,14,407
Gordon (ACT),564,235,73,130,31,1037
Gowrie (ACT),181,101,31,65,15,386
Greenway,181,48,13,77,24,340
Isabella Plains,343,161,45,85,34,666
Kambah,942,498,125,255,105,1929
Macarthur,91,46,12,9,7,166
Monash,342,160,37,97,29,667
Mount Taylor,0,0,0,0,0,0
Oxley (ACT),99,50,11,41,5,206
Richardson,249,108,29,72,10,468
Theodore,290,131,31,79,20,551
Tuggeranong,0,0,0,0,0,0
Wanniassa,467,282,60,143,38,991
Tuggeranong - West,0,0,0,0,0,0
Chapman,127,79,19,24,5,254
Duffy,231,120,23,36,23,439
Fisher,213,110,42,51,27,436
Holder,210,86,27,33,15,362
Rivett,235,116,42,53,23,477
Stirling,108,80,11,34,16,249
Waramanga,193,90,39,47,17,377
Weston,235,117,24,58,27,459
Scrivener,0,0,0,0,0,0
Chifley,220,96,17,45,21,402
Curtin,316,176,57,63,32,643
Farrer,191,104,22,40,13,361
Garran,244,89,21,69,26,451
Hughes,168,79,14,34,25,325
Isaacs,122,59,16,22,3,219
Lyons (ACT),260,92,20,80,40,493
Mawson,264,94,29,72,29,485
O'Malley,31,19,3,16,6,80
Pearce,161,71,20,28,10,295
Phillip,503,100,37,73,68,778
Torrens,137,71,6,41,5,266
Arboretum,0,0,0,0,0,0
Coombs,240,80,41,48,30,443
Denman Prospect,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0
Wright,467,113,43,54,61,738
ACT - South West,47,22,8,10,9,99
Namadgi,3,4,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0
No Usual Address (ACT),48,4,0,20,9,77
Christmas Island,89,33,12,47,33,208
Cocos (Keeling) Islands,25,15,3,26,0,72
Jervis Bay,14,7,0,19,13,56
Norfolk Island,93,68,15,14,8,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0
No Usual Address (OT),0,0,0,0,0,8
Total,1440385,831256,142831,676596,207583,3298649
