SA2,Nil hours,Less than 5 hours,5 to 14 hours,15 to 29 hours,30 hours or more,Not stated,Total
Busselton Region,72,174,413,308,366,117,1455
Margaret River,86,216,434,296,339,119,1483
Australind - Leschenault,147,216,748,484,710,143,2449
Capel,37,54,211,123,173,36,633
College Grove - Carey Park,104,125,257,132,176,68,854
Collie,78,95,255,200,299,86,1015
Dardanup,12,27,85,78,99,23,324
Davenport,0,0,0,0,0,0,0
Eaton - Pelican Point,113,164,469,318,447,97,1604
Harvey,98,99,244,178,304,81,1005
East Bunbury - Glen Iris,102,111,280,167,195,58,918
Waroona,26,29,120,80,135,44,436
Dalyellup,128,135,418,280,363,82,1410
Gelorup - Stratham,12,18,84,76,85,9,286
South Bunbury - Bunbury,147,206,458,256,315,113,1502
Withers - Usher,73,84,199,135,152,72,713
Bridgetown - Boyup Brook,25,69,160,124,196,33,612
Donnybrook - Balingup,53,69,151,112,176,56,617
Manjimup,49,77,180,101,162,49,616
Pemberton,22,35,148,79,112,47,441
Dawesville - Bouvard,53,82,255,167,242,53,855
Falcon - Wannanup,80,109,307,163,243,57,961
Greenfields,101,114,295,189,313,78,1095
Halls Head - Erskine,175,208,595,396,524,108,2005
Mandurah,137,147,277,149,190,92,1001
Mandurah - East,51,52,162,105,145,38,554
Mandurah - North,232,279,769,512,649,138,2583
Mandurah - South,125,117,265,182,222,73,978
Pinjarra,90,98,313,199,348,99,1137
City Beach,36,61,157,100,118,26,498
Claremont (WA),77,231,272,135,147,88,943
Cottesloe,58,257,256,125,157,65,913
Floreat,29,133,221,225,234,30,867
Mosman Park - Peppermint Grove,138,324,397,182,195,128,1357
Nedlands - Dalkeith - Crawley,242,393,517,341,398,100,1991
Swanbourne - Mount Claremont,53,142,235,178,207,51,866
Kings Park (WA),0,0,0,0,0,0,5
Mount Hawthorn - Leederville,133,495,676,285,316,107,2016
Mount Lawley - Inglewood,263,771,823,318,352,245,2772
North Perth,147,377,485,215,203,103,1538
Perth City,1340,2156,2058,544,430,1206,7740
Subiaco - Shenton Park,227,661,816,321,364,218,2603
Wembley - West Leederville - Glendalough,475,708,946,473,475,288,3373
Bassendean - Eden Hill - Ashfield,239,399,736,386,415,124,2299
Bayswater - Embleton - Bedford,374,728,1285,568,606,213,3783
Maylands,384,698,888,303,288,228,2789
Morley,554,606,954,448,543,194,3298
Noranda,120,154,259,157,165,43,901
Chidlow,18,40,90,63,80,39,330
Glen Forrest - Darlington,40,85,217,173,181,35,724
Helena Valley - Koongamia,57,100,206,138,175,28,701
Malmalling - Reservoir,0,0,0,0,0,0,0
Mundaring,79,177,410,244,404,80,1403
Swan View - Greenmount - Midvale,161,226,442,249,309,73,1463
Avon Valley National Park,0,0,0,0,0,0,0
Ballajura,410,323,705,368,466,111,2391
Beechboro,544,385,723,417,541,474,3092
Bullsbrook,49,81,175,129,193,73,699
Ellenbrook,718,845,1996,1130,1467,396,6554
Gidgegannup,20,39,77,61,71,26,302
Hazelmere - Guildford,48,115,190,114,135,41,647
Lockridge - Kiara,237,286,540,285,311,124,1772
Malaga,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0
Middle Swan - Herne Hill,75,90,188,124,131,57,665
Midland - Guildford,205,274,456,194,236,176,1545
Stratton - Jane Brook,84,144,327,175,230,52,1011
The Vines,131,208,448,263,323,74,1449
Walyunga National Park,0,0,0,0,0,0,0
Craigie - Beldon,132,286,515,298,336,94,1652
Currambine - Kinross,161,275,595,350,363,65,1805
Duncraig,114,242,549,379,429,45,1760
Greenwood - Warwick,144,262,629,339,363,72,1819
Heathridge - Connolly,131,238,492,277,275,63,1473
Hillarys,84,170,351,235,288,39,1157
Iluka - Burns Beach,69,113,344,234,217,24,1000
Joondalup - Edgewater,235,367,590,281,319,89,1894
Kingsley,98,207,498,307,334,61,1509
Mullaloo - Kallaroo,96,198,388,277,276,83,1324
Ocean Reef,56,123,235,158,176,27,781
Padbury,84,189,410,213,285,43,1224
Sorrento - Marmion,57,137,275,203,211,42,927
Woodvale,82,123,294,187,227,15,928
Balcatta - Hamersley,331,425,714,352,401,155,2378
Balga - Mirrabooka,827,495,732,385,508,301,3243
Dianella,483,599,921,487,523,165,3176
Herdsman,0,0,0,0,0,0,0
Innaloo - Doubleview,332,813,1085,369,423,265,3288
Karrinyup - Gwelup - Carine,166,367,754,544,607,115,2549
Nollamara - Westminster,675,789,1088,389,492,318,3750
Osborne Park Industrial,0,0,0,0,0,0,0
Scarborough,335,933,1093,344,331,273,3310
Stirling - Osborne Park,292,475,693,314,349,128,2248
Trigg - North Beach - Watermans Bay,88,197,287,159,171,43,948
Tuart Hill - Joondanna,357,649,822,288,282,195,2584
Wembley Downs - Churchlands - Woodlands,141,306,506,313,370,65,1707
Yokine - Coolbinia - Menora,290,512,802,337,351,181,2462
Alexander Heights - Koondoola,301,223,400,234,303,100,1567
Butler - Merriwa - Ridgewood,368,516,1137,625,810,343,3799
Carramar,345,402,960,538,608,165,3019
Clarkson,318,344,723,335,440,160,2318
Girrawheen,268,168,326,169,228,88,1251
Madeley - Darch - Landsdale,522,558,1285,847,880,168,4251
Marangaroo,281,198,397,241,265,75,1457
Mindarie - Quinns Rocks - Jindalee,204,265,752,463,531,122,2336
Neerabup National Park,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,179,245,647,400,529,97,2098
Wanneroo,392,578,1269,734,803,170,3945
Alkimos - Eglinton,136,267,582,257,298,134,1677
Carabooda - Pinjar,11,12,13,16,21,14,86
Two Rocks,30,35,103,83,107,42,402
Yanchep,135,145,399,249,332,107,1369
Armadale - Wungong - Brookdale,391,344,739,422,606,245,2745
Ashendon - Lesley,0,0,0,0,5,0,0
Camillo - Champion Lakes,98,102,193,137,167,41,738
Forrestdale - Harrisdale - Piara Waters,500,620,1315,707,903,142,4193
Kelmscott,162,172,396,232,326,113,1401
Mount Nasura - Mount Richon - Bedfordale,55,96,251,199,235,46,881
Roleystone,40,110,271,159,214,49,841
Seville Grove,231,191,485,314,453,99,1778
Belmont - Ascot - Redcliffe,331,437,669,320,354,230,2337
East Victoria Park - Carlisle,439,682,1011,405,423,290,3252
Kewdale Commercial,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,786,864,1156,562,638,507,4502
Victoria Park - Lathlain - Burswood,420,655,829,310,370,258,2846
Bentley - Wilson - St James,654,614,812,328,371,319,3097
Canning Vale - West,188,196,361,216,266,41,1260
Canning Vale Commercial,0,0,0,0,0,0,0
Cannington - Queens Park,821,607,857,438,532,271,3532
Parkwood - Ferndale - Lynwood,274,337,608,307,378,87,1990
Riverton - Shelley - Rossmoyne,226,228,429,255,337,51,1527
Welshpool,0,0,0,0,0,0,0
Willetton,269,289,576,459,575,66,2240
Beckenham - Kenwick - Langford,608,482,798,413,536,197,3038
Canning Vale - East,600,471,1007,577,781,125,3572
Gosnells,485,405,749,452,613,256,2964
Huntingdale - Southern River,401,421,938,573,739,147,3216
Maddington - Orange Grove - Martin,361,235,488,277,395,130,1889
Thornlie,540,493,837,526,684,164,3246
Forrestfield - Wattle Grove,345,412,863,520,657,154,2956
High Wycombe,179,252,574,307,402,124,1838
Kalamunda - Maida Vale - Gooseberry Hill,113,197,478,295,379,83,1544
Lesmurdie - Bickley - Carmel,65,131,350,239,290,43,1118
Byford,281,373,889,468,732,163,2906
Mundijong,55,76,230,144,202,38,735
Serpentine - Jarrahdale,28,56,125,73,131,42,451
Como,260,599,826,281,273,172,2409
Manning - Waterford,176,219,382,213,255,75,1316
South Perth - Kensington,284,550,745,336,348,217,2485
Banjup,303,416,1004,607,703,117,3148
Bibra Industrial,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0
Coogee,131,167,357,213,245,45,1154
Coolbellup,124,206,379,188,229,88,1208
Hamilton Hill,182,323,476,212,214,161,1569
Henderson,0,0,0,0,0,0,0
North Coogee,33,100,106,49,54,50,390
South Lake - Cockburn Central,218,311,531,284,258,101,1710
Spearwood,204,240,404,201,236,105,1387
Success - Hammond Park,321,429,948,523,611,193,3025
Yangebup,109,169,365,209,246,84,1189
Beeliar - Wattleup,159,212,468,237,289,86,1443
Jandakot,15,51,79,58,56,12,271
East Fremantle,63,198,245,155,175,45,874
Fremantle,182,598,778,275,261,290,2386
Fremantle - South,169,424,665,321,337,152,2055
O'Connor (WA),0,0,0,0,0,0,0
Bertram - Wellard (West),373,410,895,470,617,176,2946
Calista,131,133,291,179,236,96,1072
Hope Valley - Postans,0,0,0,3,0,0,0
Kwinana Industrial,0,0,7,0,0,0,4
Parmelia - Orelia,186,198,435,278,344,149,1586
Casuarina - Wandi,94,156,303,143,179,60,937
Applecross - Ardross,144,225,410,217,282,70,1346
Bateman,53,72,116,85,93,18,434
Bicton - Palmyra,147,403,661,311,371,106,1993
Booragoon,181,313,532,327,334,100,1791
Bull Creek,100,144,225,152,200,33,859
Leeming,119,200,389,234,263,37,1239
Melville,116,318,645,389,427,86,1988
Murdoch - Kardinya,227,304,419,193,205,51,1404
Willagee,72,118,233,127,158,48,751
Winthrop,77,119,175,94,117,19,605
Baldivis,505,679,1835,1067,1360,452,5904
Cooloongup,107,122,293,173,254,92,1035
Port Kennedy,182,208,584,364,502,132,1968
Rockingham,224,250,497,267,314,151,1711
Rockingham Lakes,0,0,0,0,0,0,0
Safety Bay - Shoalwater,124,150,378,257,319,73,1294
Singleton - Golden Bay - Secret Harbour,212,314,850,675,857,154,3054
Waikiki,182,175,494,311,383,103,1651
Warnbro,125,176,408,263,356,117,1450
Albany,151,242,486,272,317,94,1561
Albany Region,7,21,80,81,110,24,333
Bayonet Head - Lower King,25,54,183,119,141,39,558
Denmark,26,48,164,135,135,62,571
Gnowangerup,23,32,94,68,116,44,369
Katanning,63,78,129,93,134,77,578
Kojonup,35,39,130,82,140,65,491
Little Grove - Elleker,12,32,89,75,83,12,304
McKail - Willyung,122,127,360,263,361,79,1319
Plantagenet,33,55,127,105,137,42,496
Stirling Range National Park,0,0,0,0,0,0,0
Chittering,29,41,178,117,186,57,613
Cunderdin,38,30,116,79,132,44,434
Dowerin,29,38,110,89,158,44,456
Gingin - Dandaragan,98,93,228,151,242,81,907
Merredin,49,53,152,131,145,46,580
Moora,42,50,155,111,157,56,577
Mukinbudin,37,36,91,66,103,41,364
Northam,112,123,343,222,312,126,1240
Toodyay,19,42,93,72,110,35,371
York - Beverley,29,43,130,84,143,54,483
Brookton,33,19,87,79,110,45,377
Kulin,30,45,138,107,176,44,531
Murray,24,31,73,64,94,22,311
Narrogin,53,59,143,104,119,43,522
Wagin,20,42,133,113,164,59,529
Broome,309,399,813,340,344,349,2555
Derby - West Kimberley,160,223,308,150,218,175,1235
Halls Creek,78,162,103,43,30,139,553
Kununurra,146,268,338,160,140,168,1219
Roebuck,45,103,89,35,14,32,321
East Pilbara,184,110,187,60,36,157,746
Newman,71,89,246,126,156,105,798
Port Hedland,70,114,269,123,162,113,841
South Hedland,207,234,451,241,331,283,1739
Ashburton (WA),304,204,347,188,313,210,1563
Karratha,280,417,823,485,661,351,3005
Roebourne,78,76,221,114,205,85,782
Esperance,110,155,445,265,316,153,1449
Esperance Region,25,27,98,91,161,77,485
Carnarvon,94,66,192,94,105,127,680
Exmouth,55,108,174,123,151,81,684
Boulder,110,119,278,153,233,148,1043
Kalgoorlie,245,291,640,361,464,220,2225
Kalgoorlie - North,115,206,443,261,357,124,1507
Kalgoorlie Airport,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,71,70,153,83,147,85,614
Leinster - Leonora,93,104,159,88,83,139,664
Trafalgar (WA),0,0,0,0,0,0,0
Geraldton,146,182,382,195,252,146,1302
Geraldton - East,102,88,262,190,221,147,1013
Geraldton - North,75,112,319,207,266,76,1053
Geraldton - South,118,176,447,252,348,85,1429
Irwin,16,33,94,60,119,31,360
Meekatharra,66,48,89,24,46,98,379
Morawa,39,33,104,86,122,39,429
Northampton - Mullewa - Greenough,35,41,135,139,175,69,596
Migratory - Offshore - Shipping (WA),0,0,6,0,0,3,14
No Usual Address (WA),182,181,122,49,52,253,838
Bridgewater - Gagebrook,189,79,230,167,216,106,987
Brighton - Pontville,85,80,276,160,152,37,785
Old Beach - Otago,43,81,217,128,89,17,584
Bellerive - Rosny,60,116,221,138,103,26,664
Cambridge,42,99,330,212,142,20,849
Geilston Bay - Risdon,23,72,180,87,61,6,428
Howrah - Tranmere,76,222,481,249,190,39,1263
Lindisfarne - Rose Bay,61,130,295,156,137,29,808
Mornington - Warrane,78,98,227,121,122,23,679
Risdon Vale,41,34,110,65,79,59,377
Rokeby,134,124,298,165,182,58,957
South Arm,31,53,173,114,87,19,482
Austins Ferry - Granton,59,68,164,109,106,25,524
Berriedale - Chigwell,89,87,223,121,125,42,694
Claremont (Tas.),106,143,315,192,180,56,991
Derwent Park - Lutana,51,98,178,111,97,39,580
Glenorchy,206,200,465,208,229,98,1404
Montrose - Rosetta,61,92,197,94,103,35,586
Moonah,103,114,219,133,115,59,755
New Norfolk,92,70,200,149,206,55,774
West Moonah,86,97,156,99,101,35,578
Kingston - Huntingfield,123,209,547,305,310,73,1566
Kingston Beach - Blackmans Bay,75,185,459,241,206,44,1214
Margate - Snug,54,109,331,231,255,32,1010
Mount Wellington,0,0,0,0,0,0,0
Taroona - Bonnet Hill,16,48,120,81,63,17,351
Hobart,136,373,412,127,82,126,1253
Lenah Valley - Mount Stuart,56,232,418,250,171,57,1180
Mount Nelson - Dynnyrne,72,135,187,102,82,27,593
New Town,79,183,280,138,100,61,837
Sandy Bay,283,318,444,187,187,89,1515
South Hobart - Fern Tree,60,153,343,132,107,47,850
West Hobart,56,213,353,131,99,53,915
Dodges Ferry - Lewisham,72,85,276,192,191,66,884
Sorell - Richmond,70,114,368,195,210,56,1015
Invermay,44,73,117,51,70,38,394
Kings Meadows - Punchbowl,61,62,178,100,120,48,568
Launceston,48,153,198,89,93,53,637
Legana,32,51,156,92,95,18,446
Mowbray,77,59,122,86,94,40,479
Newnham - Mayfield,179,133,315,190,235,89,1148
Newstead,43,85,210,127,122,28,619
Norwood (Tas.),26,42,146,93,89,20,417
Prospect Vale - Blackstone,70,110,264,140,128,46,748
Ravenswood,60,58,98,76,100,53,447
Riverside,47,108,247,150,172,35,756
South Launceston,47,104,236,123,110,44,662
Summerhill - Prospect,55,76,217,123,105,35,617
Trevallyn,30,91,200,115,103,28,574
Waverley - St Leonards,57,59,134,86,101,29,463
West Launceston,37,90,206,116,97,27,568
Youngtown - Relbia,45,72,173,122,113,31,557
Beauty Point - Beaconsfield,40,34,86,52,77,24,301
Deloraine,50,63,168,109,141,57,586
Grindelwald - Lanena,35,53,171,122,125,36,545
Hadspen - Carrick,20,46,129,95,97,17,406
Westbury,32,32,104,97,114,30,399
Dilston - Lilydale,30,38,116,106,100,35,420
George Town,88,59,169,133,186,62,706
Longford,38,40,117,82,92,23,398
Northern Midlands,48,21,98,78,108,48,406
Perth - Evandale,48,75,165,126,111,38,563
St Helens - Scamander,41,43,130,117,142,37,499
Flinders and Cape Barren Islands,6,5,25,17,17,8,83
Scottsdale - Bridport,44,53,159,156,187,56,656
Central Highlands,23,24,51,38,58,5,200
Derwent Valley,28,33,95,72,70,24,322
Southern Midlands,68,64,192,132,130,52,634
Wilderness - East,0,0,0,0,0,0,5
Bruny Island - Kettering,9,27,74,70,48,26,255
Cygnet,26,40,114,86,111,33,411
Geeveston - Dover,30,30,104,76,79,28,345
Huonville - Franklin,80,97,294,219,228,62,977
Forestier - Tasman,17,13,51,32,51,19,185
Triabunna - Bicheno,45,45,103,64,82,30,374
Acton - Upper Burnie,37,37,115,83,101,25,402
Burnie - Ulverstone Region,32,52,147,115,136,34,516
Burnie - Wivenhoe,41,60,141,64,115,32,455
Parklands - Camdale,72,79,222,152,171,30,726
Penguin - Sulphur Creek,45,73,152,121,130,35,557
Romaine - Havenview,33,44,140,94,96,16,422
Somerset,31,31,124,111,98,25,421
Ulverstone,70,70,233,151,157,33,714
West Ulverstone,58,39,111,78,91,31,405
Wynyard,48,64,169,136,167,44,623
Devonport,181,207,469,304,352,77,1584
East Devonport,72,69,128,98,117,27,509
Latrobe,47,56,170,108,118,35,538
Miandetta - Don,36,58,152,93,102,25,464
Port Sorell,35,49,185,114,112,26,522
Quoiba - Spreyton,21,43,128,55,72,16,338
Sheffield - Railton,42,67,188,125,161,43,629
Turners Beach - Forth,19,28,122,65,85,16,333
King Island,10,32,54,45,25,18,181
North West,32,17,125,102,127,39,442
Smithton,40,31,125,87,107,22,420
Waratah,32,25,95,80,110,16,360
West Coast (Tas.),43,49,122,97,150,41,497
Wilderness - West,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,0,0,0,0,0,3
No Usual Address (Tas.),23,25,30,13,16,17,120
Darwin Airport,0,0,0,0,0,0,3
Darwin City,276,332,404,119,98,239,1472
East Point,0,0,5,0,0,0,5
Fannie Bay - The Gardens,43,163,180,77,57,53,577
Larrakeyah,97,174,192,84,77,90,713
Ludmilla - The Narrows,58,93,103,60,54,59,420
Parap,77,114,170,58,81,61,562
Stuart Park,122,226,281,95,55,130,904
Woolner - Bayview - Winnellie,38,136,164,64,56,53,513
Alawa,72,53,96,43,44,47,352
Anula,28,55,116,60,49,35,350
Berrimah,26,25,40,20,15,30,161
Brinkin - Nakara,111,108,147,64,92,65,584
Buffalo Creek,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0
Coconut Grove,105,119,165,64,58,86,595
East Arm,0,0,0,0,0,0,4
Jingili,25,41,78,46,45,16,261
Karama,138,120,220,90,112,106,790
Leanyer,105,109,233,105,92,58,708
Lyons (NT),82,133,317,166,201,70,973
Malak - Marrara,112,107,187,111,71,88,671
Millner,77,70,148,43,60,46,456
Moil,52,41,90,33,41,31,297
Nightcliff,90,183,227,82,75,92,755
Rapid Creek,89,154,180,77,65,84,648
Tiwi,62,72,121,57,64,38,410
Wagaman,94,47,66,38,44,45,345
Wanguri,26,41,96,48,39,30,271
Wulagi,48,55,122,56,57,40,389
Howard Springs,37,65,126,94,65,107,493
Humpty Doo,74,133,448,239,227,156,1268
Koolpinyah,0,3,0,0,0,0,3
Virginia,33,62,128,75,74,47,420
Weddell,39,71,185,103,108,89,590
Bakewell,83,95,202,93,72,39,586
Driver,62,64,151,82,73,58,480
Durack - Marlow Lagoon,60,113,245,128,169,65,783
Gray,64,93,156,80,62,88,542
Moulden,53,58,141,64,80,59,456
Palmerston - North,53,120,287,128,138,60,784
Palmerston - South,59,103,229,123,100,56,667
Rosebery - Bellamack,150,166,422,212,279,91,1314
Woodroffe,56,73,178,85,90,66,545
Charles,95,131,196,80,84,108,693
East Side,114,174,302,102,104,129,924
Flynn (NT),112,121,197,109,96,106,737
Larapinta,78,122,241,147,109,93,788
Mount Johns,96,130,217,85,90,131,749
Petermann - Simpson,78,103,110,57,18,87,456
Ross,42,43,89,48,34,45,288
Sandover - Plenty,35,83,165,114,41,96,528
Tanami,38,49,172,118,37,52,467
Yuendumu - Anmatjere,21,73,81,77,49,47,364
Barkly,73,110,97,33,30,32,380
Tennant Creek,87,99,127,49,28,58,446
Alligator,64,87,159,88,80,92,575
Daly,32,40,50,48,33,35,244
Thamarrurr,37,90,105,82,33,103,450
Tiwi Islands,132,64,89,59,29,29,398
West Arnhem,67,142,284,90,76,145,801
Anindilyakwa,36,83,112,55,79,70,444
East Arnhem,176,363,313,129,134,107,1213
Nhulunbuy,33,76,174,81,80,83,524
Elsey,47,114,91,19,25,28,324
Gulf,90,204,102,81,55,50,589
Katherine,144,289,397,188,191,327,1542
Victoria River,55,79,75,41,30,66,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,0,4
No Usual Address (NT),70,62,49,35,29,178,420
Aranda,14,42,100,66,49,3,279
Belconnen,240,382,478,156,123,120,1497
Bruce,188,360,411,155,86,63,1261
Charnwood,45,71,170,100,86,28,496
Cook,26,75,168,70,59,17,419
Dunlop,112,189,457,234,191,51,1235
Evatt,57,116,276,165,112,48,781
Florey,64,107,250,124,92,30,669
Flynn (ACT),26,68,168,102,80,12,459
Fraser,4,37,94,63,42,11,254
Giralang,30,92,185,93,86,22,512
Gooromon,0,0,0,0,0,0,0
Hawker,33,61,134,58,57,12,354
Higgins,50,67,161,84,70,21,455
Holt,50,127,291,114,101,46,735
Kaleen,110,178,315,176,139,37,956
Latham,45,92,213,113,89,32,585
Lawson,0,0,8,7,7,0,24
Macgregor (ACT),121,230,476,260,227,36,1358
Macquarie,39,89,147,66,61,26,424
McKellar,32,48,107,56,57,18,321
Melba,38,61,167,87,73,20,440
Page,59,81,154,90,49,32,458
Scullin,51,80,159,75,76,31,461
Spence,29,74,118,75,71,10,381
Weetangera,14,36,121,65,40,3,284
Molonglo Corridor,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0
Hume,0,0,0,0,0,19,20
Kowen,0,0,0,0,3,0,6
Canberra East,15,20,18,10,3,13,74
Canberra Airport,0,6,7,7,0,0,20
Majura,0,0,4,0,0,3,16
Amaroo,66,118,354,191,164,24,919
Bonner,160,212,477,295,273,72,1493
Casey,146,243,519,231,199,67,1413
Crace,102,192,379,181,148,49,1050
Forde,66,109,299,178,160,33,843
Franklin,212,302,490,244,204,68,1512
Gungahlin,192,205,392,184,162,76,1211
Hall,4,5,7,7,5,0,26
Harrison,201,283,559,269,264,66,1641
Mitchell,0,0,0,0,0,0,0
Ngunnawal,168,326,737,373,295,103,2000
Nicholls,62,115,263,138,103,45,728
Palmerston,95,151,285,140,141,61,868
Gungahlin - East,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0
Jacka,19,29,55,29,41,3,175
Kenny,0,0,0,0,0,0,4
Moncrieff,3,0,10,0,0,4,25
Taylor,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0
Acton,69,48,56,16,8,12,205
Ainslie,39,162,255,137,92,31,714
Braddon,131,449,479,81,46,138,1328
Civic,95,226,213,39,19,79,668
Dickson,49,104,164,55,33,27,434
Downer,73,124,218,100,68,32,616
Hackett,29,73,150,71,60,20,398
Lyneham,80,247,355,96,74,86,942
O'Connor (ACT),53,209,311,116,77,50,815
Turner,94,284,303,70,45,83,882
Watson,84,231,412,199,128,64,1125
Black Mountain,0,0,0,0,0,0,0
Campbell,23,92,159,60,46,20,395
Duntroon,18,28,45,17,31,17,153
Parkes (ACT) - North,0,0,0,0,0,0,0
Reid,19,63,86,17,19,26,225
Russell,0,0,0,0,0,0,0
Deakin,16,56,122,56,41,12,303
Forrest,14,63,93,33,22,29,245
Griffith (ACT),50,209,285,80,75,61,762
Lake Burley Griffin,0,0,0,0,0,0,0
Narrabundah,65,176,333,133,107,76,888
Parkes (ACT) - South,0,0,0,0,0,0,0
Red Hill (ACT),26,59,111,69,42,25,334
Yarralumla,10,53,101,42,40,9,269
Barton,21,122,103,24,20,30,316
Fyshwick,0,0,0,0,0,0,3
Kingston (ACT),76,413,438,89,48,90,1150
Banks,66,127,315,156,126,49,841
Bonython,72,100,182,93,74,17,539
Calwell,65,118,290,151,109,43,775
Chisholm,57,90,254,133,115,31,682
Conder,46,104,242,123,103,32,654
Fadden,25,46,112,59,53,7,304
Gilmore,36,70,145,71,73,13,407
Gordon (ACT),72,179,376,204,172,34,1037
Gowrie (ACT),36,69,146,70,58,12,386
Greenway,46,65,112,48,44,27,340
Isabella Plains,52,108,243,113,122,35,666
Kambah,144,299,719,377,274,113,1929
Macarthur,9,27,66,32,26,7,166
Monash,65,106,247,124,102,26,667
Mount Taylor,0,0,0,0,0,0,0
Oxley (ACT),22,45,63,38,34,9,206
Richardson,53,75,163,79,75,18,468
Theodore,35,75,220,109,76,22,551
Tuggeranong,0,0,0,0,0,0,0
Wanniassa,84,138,357,188,169,47,991
Tuggeranong - West,0,0,0,0,0,0,0
Chapman,8,28,106,70,36,5,254
Duffy,23,58,181,81,72,21,439
Fisher,25,71,152,89,69,26,436
Holder,21,67,149,58,53,16,362
Rivett,29,62,196,93,78,20,477
Stirling,20,40,85,47,42,18,249
Waramanga,36,60,130,73,55,16,377
Weston,33,76,182,82,59,30,459
Scrivener,0,0,0,0,0,0,0
Chifley,37,72,154,73,44,21,402
Curtin,56,98,229,131,91,31,643
Farrer,36,58,125,69,69,10,361
Garran,41,79,141,84,70,33,451
Hughes,21,47,116,63,41,27,325
Isaacs,23,39,69,52,30,6,219
Lyons (ACT),64,101,152,64,60,42,493
Mawson,72,93,157,74,71,34,485
O'Malley,14,15,15,10,18,5,80
Pearce,22,53,116,54,36,11,295
Phillip,123,201,238,86,58,73,778
Torrens,24,37,92,73,36,3,266
Arboretum,0,0,0,0,0,0,0
Coombs,34,76,153,62,77,35,443
Denman Prospect,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0
Wright,43,194,280,91,64,66,738
ACT - South West,7,20,39,23,12,6,99
Namadgi,0,4,6,0,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0
No Usual Address (ACT),15,27,18,7,0,9,77
Christmas Island,32,31,64,20,33,33,208
Cocos (Keeling) Islands,18,11,16,12,10,9,72
Jervis Bay,5,11,13,3,8,13,56
Norfolk Island,22,31,64,38,27,10,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0
No Usual Address (OT),4,0,0,0,0,0,8
Total,414815,562445,975318,530070,587464,228540,3298649
