SA2,Very well,Well,Not well,Not at all,Not stated - both language (LANP) and proficiency (ENGP) not stated,"Not stated - language (LANP) stated, proficiency (ENGP) not stated",Not applicable,Total
Gympie - North,52,30,9,0,89,0,1480,1666
Gympie - South,23,8,3,0,39,0,672,751
Gympie Region,39,18,4,0,130,0,1684,1870
Kilkivan,10,9,0,0,32,0,309,356
Booral - River Heads,17,5,0,0,26,0,435,489
Craignish - Dundowran Beach,15,8,0,0,13,0,443,482
Pialba - Eli Waters,107,51,13,0,80,0,1161,1408
Point Vernon,18,13,3,0,38,0,495,562
Torquay - Scarness - Kawungan,51,23,7,0,104,0,1296,1485
Urangan - Wondunna,67,27,3,0,90,0,1151,1335
Burrum - Fraser,12,13,0,0,68,0,779,882
Granville,4,4,0,0,19,0,284,318
Maryborough (Qld),51,28,8,0,112,0,1623,1821
Maryborough Region - South,16,3,0,0,58,0,605,680
Tinana,15,8,0,0,32,0,545,604
Migratory - Offshore - Shipping (Qld),0,3,0,0,0,0,6,12
No Usual Address (Qld),157,109,65,7,330,3,844,1518
Adelaide,586,533,124,11,225,11,1078,2560
North Adelaide,176,96,17,0,75,3,552,923
Adelaide Hills,17,0,0,0,33,0,585,640
Aldgate - Stirling,127,25,0,0,65,3,1676,1889
Hahndorf - Echunga,16,7,0,0,22,0,390,429
Lobethal - Woodside,33,16,5,3,31,0,871,953
Mount Barker,126,47,4,0,120,0,2077,2378
Mount Barker Region,26,3,0,0,35,0,673,739
Nairne,32,3,0,0,38,0,697,771
Uraidla - Summertown,48,20,0,0,21,0,481,574
Burnside - Wattle Park,458,242,68,12,59,10,1261,2109
Glenside - Beaumont,252,108,32,5,39,0,596,1033
Toorak Gardens,398,232,50,3,55,5,1067,1794
Athelstone,193,55,11,0,16,0,777,1060
Paradise - Newton,717,342,81,5,81,9,1306,2534
Rostrevor - Magill,731,409,103,6,83,6,1565,2911
Norwood (SA),276,165,32,3,108,3,995,1580
Payneham - Felixstow,398,233,41,3,52,8,1002,1745
St Peters - Marden,368,180,39,0,55,0,1103,1747
Nailsworth - Broadview,205,81,20,3,37,0,590,928
Prospect,405,194,49,3,81,4,1278,2017
Walkerville,179,78,20,0,43,4,493,814
Goodwood - Millswood,416,242,46,4,111,4,1732,2542
Unley - Parkside,452,223,42,7,107,0,1825,2655
Gawler - North,32,11,0,0,46,0,1116,1203
Gawler - South,98,29,14,0,99,0,2027,2273
Lewiston - Two Wells,18,4,8,0,44,0,608,683
Craigmore - Blakeview,163,72,18,12,102,0,2301,2656
Davoren Park,145,142,74,17,177,5,2172,2731
Elizabeth,78,95,122,43,89,7,823,1262
Elizabeth East,97,77,69,23,92,3,1239,1598
Munno Para West - Angle Vale,138,79,34,0,106,0,1630,1981
One Tree Hill,10,4,0,0,9,0,184,206
Smithfield - Elizabeth North,88,73,38,6,97,3,1250,1566
Virginia - Waterloo Corner,58,27,44,14,31,4,279,451
Enfield - Blair Athol,799,629,291,52,183,19,1582,3561
Northgate - Oakden - Gilles Plains,925,562,128,14,261,11,2106,4010
Windsor Gardens,869,621,118,11,146,10,1789,3557
Dry Creek - North,0,0,0,0,0,0,0,0
Ingle Farm,344,186,52,13,64,11,1248,1919
Para Hills,305,161,72,17,67,6,1354,1977
Parafield,11,8,0,0,0,0,0,16
Parafield Gardens,531,405,210,40,78,12,1128,2398
Paralowie,328,216,157,51,105,10,1601,2458
Salisbury,339,326,248,72,106,6,1214,2309
Salisbury East,205,105,87,14,92,0,1701,2194
Salisbury North,305,219,179,32,127,11,1777,2650
Mawson Lakes - Globe Derby Park,675,363,99,14,96,11,1225,2483
Pooraka - Cavan,222,149,87,15,49,6,565,1091
Golden Grove,117,41,3,0,31,0,1043,1238
Greenwith,68,18,3,0,35,0,1087,1210
Highbury - Dernancourt,190,76,4,0,32,4,927,1233
Hope Valley - Modbury,388,250,50,0,79,0,1418,2188
Modbury Heights,228,129,29,0,67,6,1953,2410
Redwood Park,117,42,7,0,78,0,1862,2105
St Agnes - Ridgehaven,141,64,11,0,42,0,1294,1559
Brighton (SA),143,61,9,5,50,0,1268,1534
Glenelg (SA),297,124,24,0,152,0,1910,2506
Edwardstown,366,278,58,8,97,3,1346,2161
Hallett Cove,192,70,11,0,33,0,1230,1537
Marino - Seaview Downs,137,42,9,0,40,0,975,1202
Mitchell Park,486,280,59,9,86,10,1283,2209
Morphettville,306,161,33,4,88,3,1505,2106
Sheidow Park - Trott Park,160,40,6,0,32,3,1308,1556
Warradale,295,238,69,19,96,6,1404,2122
Belair,33,11,3,0,13,0,369,425
Bellevue Heights,162,155,28,0,27,0,542,911
Blackwood,109,28,6,0,34,0,1222,1400
Colonel Light Gardens,298,156,31,4,61,0,1634,2179
Mitcham (SA),227,105,32,6,51,5,1369,1792
Panorama,228,110,32,3,55,0,626,1049
Aberfoyle Park,127,37,9,0,22,0,1208,1404
Aldinga,67,18,4,0,140,5,1925,2158
Christie Downs,76,25,4,0,85,0,1026,1216
Christies Beach,66,22,3,0,98,0,1044,1236
Clarendon,6,0,0,0,9,0,219,232
Coromandel Valley,35,7,3,0,20,0,477,542
Flagstaff Hill,170,54,4,0,44,0,990,1263
Hackham - Onkaparinga Hills,38,17,3,0,18,4,668,741
Hackham West - Huntfield Heights,46,22,6,0,48,0,925,1046
Happy Valley,113,35,6,3,58,0,1592,1806
Happy Valley Reservoir,0,0,0,0,0,0,0,0
Lonsdale,0,0,0,0,0,0,0,3
McLaren Vale,14,0,0,0,23,0,544,591
Morphett Vale - East,110,52,9,0,73,0,1533,1778
Morphett Vale - West,74,36,14,0,68,0,1112,1308
Reynella,96,30,7,0,40,0,1216,1385
Seaford (SA),155,56,3,0,135,4,2786,3138
Willunga,8,3,0,0,19,0,310,341
Woodcroft,89,49,7,0,24,0,1255,1417
Beverley,269,100,20,5,49,5,732,1176
Flinders Park,454,180,37,3,69,9,1210,1954
Henley Beach,298,67,12,3,79,7,1290,1750
Hindmarsh - Brompton,540,256,76,13,134,0,1706,2733
Royal Park - Hendon - Albert Park,151,52,8,0,42,0,602,854
Seaton - Grange,378,118,29,3,81,7,1435,2056
West Lakes,181,63,22,0,63,5,1177,1506
Woodville - Cheltenham,589,367,157,19,91,12,1203,2441
Dry Creek - South,0,0,0,0,0,0,0,0
Largs Bay - Semaphore,152,36,4,0,69,3,1663,1930
North Haven,125,41,13,0,64,0,1507,1755
Port Adelaide,216,116,54,8,63,0,993,1449
The Parks,750,589,337,64,130,12,885,2771
Torrens Island,0,0,0,0,0,0,0,0
Adelaide Airport,0,0,0,0,0,0,0,0
Fulham,54,14,3,0,12,0,212,294
Lockleys,462,221,45,4,60,3,1027,1829
Plympton,834,583,91,8,153,14,2083,3767
Richmond (SA),530,314,87,11,136,4,1696,2775
West Beach,97,33,4,0,20,0,481,640
Barossa - Angaston,17,5,0,0,25,0,626,679
Light,25,8,5,0,39,0,1009,1087
Lyndoch,13,3,0,0,40,0,664,724
Mallala,6,5,0,0,20,0,306,340
Nuriootpa,22,4,0,0,32,0,691,745
Tanunda,15,3,0,0,23,0,434,475
Clare,8,10,0,0,21,0,436,481
Gilbert Valley,4,3,0,0,38,0,423,468
Goyder,8,4,0,0,21,0,340,374
Wakefield - Barunga West,28,31,8,0,41,0,830,936
Jamestown,3,0,0,0,21,0,416,445
Peterborough - Mount Remarkable,12,3,0,0,29,0,407,448
Port Pirie,59,24,7,0,84,0,1361,1547
Port Pirie Region,12,0,0,0,5,0,307,332
Kadina,16,7,0,0,36,0,522,578
Moonta,9,6,0,0,24,0,340,383
Wallaroo,6,5,0,0,14,0,322,345
Yorke Peninsula - North,5,9,0,0,17,3,518,547
Yorke Peninsula - South,9,5,0,0,15,0,255,285
Ceduna,29,7,0,0,40,0,272,352
Eyre Peninsula,9,3,0,0,40,0,610,669
Kimba - Cleve - Franklin Harbour,13,0,0,0,39,0,393,445
Le Hunte - Elliston,0,0,0,0,16,0,219,237
Port Lincoln,53,35,4,0,116,0,1703,1916
West Coast (SA),29,12,3,0,45,0,294,385
Western,0,0,0,0,6,0,3,10
Whyalla,159,68,12,0,139,0,2294,2684
Whyalla - North,0,0,0,0,0,0,0,0
APY Lands,107,147,14,4,46,4,55,379
Coober Pedy,54,8,0,0,27,4,107,204
Quorn - Lake Gilles,18,4,0,0,8,0,159,186
Outback,20,9,0,0,48,0,206,277
Port Augusta,83,36,14,0,119,0,1342,1603
Roxby Downs,42,20,0,0,40,0,539,648
Goolwa - Port Elliot,23,13,0,0,45,4,752,833
Kangaroo Island,18,13,0,0,38,0,407,475
Strathalbyn,15,11,0,0,47,0,720,792
Strathalbyn Region,18,7,0,0,55,0,684,771
Victor Harbor,43,21,0,0,45,0,1019,1129
Yankalilla,20,3,0,0,25,0,436,483
Grant,14,3,0,0,27,0,520,565
Kingston - Robe,10,3,0,0,17,0,328,358
Millicent,20,4,0,0,27,0,453,507
Naracoorte,39,49,45,3,29,0,581,748
Naracoorte Region,3,0,0,0,11,0,211,226
Penola,5,6,0,0,13,0,319,349
Tatiara,30,25,19,4,45,0,616,737
Wattle Range,3,6,0,0,14,0,295,323
Mount Gambier - East,71,28,15,3,85,3,1594,1798
Mount Gambier - West,51,49,21,0,72,4,1448,1648
Barmera,42,10,3,0,25,3,538,632
Berri,34,15,4,0,28,0,416,498
Karoonda - Lameroo,8,13,11,0,20,0,246,299
Loxton,25,6,6,0,14,0,513,568
Loxton Region,3,4,0,0,11,0,145,162
Mannum,16,9,3,0,35,0,460,518
Murray Bridge,142,130,149,14,105,0,1486,2023
Murray Bridge Region,11,0,0,0,20,0,339,372
Renmark,44,30,27,0,39,0,387,534
Renmark Region,52,23,20,4,39,0,420,553
The Coorong,28,13,0,0,45,0,460,549
Waikerie,22,18,7,0,30,0,507,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0,0
No Usual Address (SA),30,27,15,0,69,7,207,353
Augusta,30,10,6,0,47,0,542,635
Busselton,159,88,25,6,161,5,2667,3110
Busselton Region,87,33,8,5,109,0,1213,1455
Margaret River,123,69,19,3,101,0,1174,1483
Australind - Leschenault,141,59,13,0,136,0,2096,2449
Capel,21,5,5,3,30,0,571,633
College Grove - Carey Park,78,55,11,0,57,0,661,854
Collie,24,21,4,0,81,0,885,1015
Dardanup,7,8,0,0,16,0,287,324
Davenport,0,0,0,0,0,0,0,0
Eaton - Pelican Point,98,52,12,0,80,0,1361,1604
Harvey,54,59,19,0,78,0,795,1005
East Bunbury - Glen Iris,58,63,19,0,41,0,731,918
Waroona,16,11,0,0,37,0,370,436
Dalyellup,155,66,9,0,78,4,1105,1410
Gelorup - Stratham,13,4,0,0,6,0,263,286
South Bunbury - Bunbury,152,94,24,0,95,3,1142,1502
Withers - Usher,53,30,4,3,64,0,571,713
Bridgetown - Boyup Brook,18,11,0,0,31,0,549,612
Donnybrook - Balingup,16,20,5,3,50,0,518,617
Manjimup,19,12,4,0,47,0,536,616
Pemberton,18,14,0,0,40,3,365,441
Dawesville - Bouvard,57,15,0,0,45,0,728,855
Falcon - Wannanup,61,23,8,0,57,0,822,961
Greenfields,67,38,7,0,54,0,927,1095
Halls Head - Erskine,162,60,17,0,99,0,1671,2005
Mandurah,118,98,18,4,73,3,684,1001
Mandurah - East,16,7,0,0,27,0,500,554
Mandurah - North,231,87,13,0,117,8,2130,2583
Mandurah - South,77,47,11,0,60,0,776,978
Pinjarra,37,16,0,0,80,0,1005,1137
City Beach,85,18,4,0,28,3,371,498
Claremont (WA),146,43,10,4,81,0,655,943
Cottesloe,81,24,0,0,56,0,749,913
Floreat,122,25,3,0,27,3,686,867
Mosman Park - Peppermint Grove,209,80,16,0,117,6,931,1357
Nedlands - Dalkeith - Crawley,418,250,41,0,85,8,1187,1991
Swanbourne - Mount Claremont,117,21,6,0,43,0,678,866
Kings Park (WA),0,0,0,0,0,0,0,5
Mount Hawthorn - Leederville,261,84,20,3,102,3,1553,2016
Mount Lawley - Inglewood,378,181,33,0,239,0,1940,2772
North Perth,204,74,20,3,96,0,1141,1538
Perth City,1632,1135,329,18,1128,21,3480,7740
Subiaco - Shenton Park,446,175,41,0,196,4,1739,2603
Wembley - West Leederville - Glendalough,756,393,66,9,264,7,1879,3373
Bassendean - Eden Hill - Ashfield,274,142,42,0,113,3,1727,2299
Bayswater - Embleton - Bedford,566,312,99,7,186,5,2606,3783
Maylands,515,335,74,3,207,9,1650,2789
Morley,735,490,192,27,149,13,1699,3298
Noranda,195,105,32,8,33,4,527,901
Chidlow,11,6,0,0,33,0,277,330
Glen Forrest - Darlington,60,8,3,0,26,3,628,724
Helena Valley - Koongamia,59,20,3,0,29,0,600,701
Malmalling - Reservoir,0,0,0,0,0,0,0,0
Mundaring,68,12,3,0,68,0,1243,1403
Swan View - Greenmount - Midvale,109,78,15,3,64,4,1184,1463
Avon Valley National Park,0,0,0,0,0,0,0,0
Ballajura,372,305,180,13,79,10,1431,2391
Beechboro,597,450,171,24,432,7,1412,3092
Bullsbrook,33,16,9,0,72,0,572,699
Ellenbrook,982,535,112,3,334,9,4579,6554
Gidgegannup,23,6,0,0,18,0,246,302
Hazelmere - Guildford,67,28,4,0,33,0,517,647
Lockridge - Kiara,295,194,66,0,103,10,1112,1772
Malaga,0,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0,0
Middle Swan - Herne Hill,71,36,12,0,48,0,494,665
Midland - Guildford,210,131,24,3,150,8,1016,1545
Stratton - Jane Brook,82,37,8,0,46,0,834,1011
The Vines,190,74,6,5,64,0,1109,1449
Walyunga National Park,0,0,0,0,0,0,0,0
Craigie - Beldon,138,39,12,0,75,0,1390,1652
Currambine - Kinross,218,81,15,0,51,3,1428,1805
Duncraig,195,52,14,0,37,0,1472,1760
Greenwood - Warwick,174,82,22,3,60,4,1473,1819
Heathridge - Connolly,128,51,10,0,57,0,1225,1473
Hillarys,132,19,0,0,36,0,970,1157
Iluka - Burns Beach,134,20,0,0,21,0,824,1000
Joondalup - Edgewater,308,150,48,6,73,5,1298,1894
Kingsley,158,49,8,0,57,0,1240,1509
Mullaloo - Kallaroo,121,33,6,0,65,0,1100,1324
Ocean Reef,69,19,8,0,26,0,657,781
Padbury,99,36,7,0,39,0,1040,1224
Sorrento - Marmion,85,12,4,0,31,0,792,927
Woodvale,114,24,10,0,15,0,760,928
Balcatta - Hamersley,425,259,54,7,134,0,1503,2378
Balga - Mirrabooka,712,645,399,63,230,20,1164,3243
Dianella,725,390,179,19,137,10,1718,3176
Herdsman,0,0,0,0,0,0,0,0
Innaloo - Doubleview,418,181,41,3,246,5,2398,3288
Karrinyup - Gwelup - Carine,344,87,9,0,100,0,2007,2549
Nollamara - Westminster,903,641,208,33,262,22,1676,3750
Osborne Park Industrial,0,0,0,0,0,0,0,0
Scarborough,402,148,27,8,257,3,2472,3310
Stirling - Osborne Park,565,263,71,3,108,9,1239,2248
Trigg - North Beach - Watermans Bay,88,20,3,0,38,0,787,948
Tuart Hill - Joondanna,532,281,54,3,164,3,1550,2584
Wembley Downs - Churchlands - Woodlands,316,123,34,3,54,6,1166,1707
Yokine - Coolbinia - Menora,428,259,55,3,159,9,1551,2462
Alexander Heights - Koondoola,264,228,172,35,80,0,781,1567
Butler - Merriwa - Ridgewood,399,186,67,3,290,10,2846,3799
Carramar,416,186,52,0,127,6,2233,3019
Clarkson,369,180,44,6,132,7,1576,2318
Girrawheen,192,193,152,16,59,6,634,1251
Madeley - Darch - Landsdale,1065,442,115,19,120,7,2479,4251
Marangaroo,297,187,133,17,54,3,762,1457
Mindarie - Quinns Rocks - Jindalee,262,71,7,0,94,3,1893,2336
Neerabup National Park,0,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,307,94,30,0,77,0,1582,2098
Wanneroo,481,242,98,8,133,7,2974,3945
Alkimos - Eglinton,196,54,10,0,131,0,1278,1677
Carabooda - Pinjar,9,9,3,0,10,0,60,86
Two Rocks,24,7,8,0,39,0,331,402
Yanchep,96,38,8,0,99,3,1117,1369
Armadale - Wungong - Brookdale,353,229,49,11,199,7,1911,2745
Ashendon - Lesley,0,0,0,0,0,0,5,0
Camillo - Champion Lakes,85,58,26,0,28,3,534,738
Forrestdale - Harrisdale - Piara Waters,1149,554,77,9,106,8,2287,4193
Kelmscott,165,104,28,5,99,5,993,1401
Mount Nasura - Mount Richon - Bedfordale,58,18,3,0,41,0,754,881
Roleystone,60,13,0,0,48,0,714,841
Seville Grove,244,176,48,7,85,6,1211,1778
Belmont - Ascot - Redcliffe,426,288,75,6,192,5,1342,2337
East Victoria Park - Carlisle,581,383,97,3,263,11,1909,3252
Kewdale Commercial,0,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,8,0,0,8
Rivervale - Kewdale - Cloverdale,942,731,203,18,447,14,2152,4502
Victoria Park - Lathlain - Burswood,609,436,90,4,235,7,1459,2846
Bentley - Wilson - St James,763,627,151,18,289,10,1240,3097
Canning Vale - West,279,198,64,4,28,0,682,1260
Canning Vale Commercial,0,0,0,0,0,0,0,0
Cannington - Queens Park,1095,926,255,19,217,4,1004,3532
Parkwood - Ferndale - Lynwood,362,271,98,12,68,0,1170,1990
Riverton - Shelley - Rossmoyne,420,296,69,5,33,0,700,1527
Welshpool,0,0,0,0,0,0,0,0
Willetton,573,439,154,9,47,0,1011,2240
Beckenham - Kenwick - Langford,710,620,222,30,144,13,1305,3038
Canning Vale - East,1075,659,209,33,91,10,1497,3572
Gosnells,406,411,134,26,210,7,1773,2964
Huntingdale - Southern River,688,379,128,22,117,5,1891,3216
Maddington - Orange Grove - Martin,348,340,123,20,95,10,962,1889
Thornlie,568,482,199,29,129,12,1832,3246
Forrestfield - Wattle Grove,467,311,63,7,121,3,1976,2956
High Wycombe,152,87,8,0,117,0,1454,1838
Kalamunda - Maida Vale - Gooseberry Hill,121,36,6,0,66,0,1322,1544
Lesmurdie - Bickley - Carmel,85,25,0,0,40,0,964,1118
Byford,324,153,22,0,143,0,2257,2906
Mundijong,41,19,8,0,30,0,641,735
Serpentine - Jarrahdale,23,6,0,0,35,0,388,451
Como,443,220,41,3,150,10,1542,2409
Manning - Waterford,285,166,33,7,61,3,763,1316
South Perth - Kensington,468,211,56,7,195,5,1547,2485
Banjup,507,274,82,6,101,4,2168,3148
Bibra Industrial,0,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0,0
Coogee,199,42,7,0,39,4,860,1154
Coolbellup,159,74,16,3,80,0,877,1208
Hamilton Hill,247,104,32,0,123,8,1057,1569
Henderson,0,0,0,0,0,0,0,0
North Coogee,58,19,0,0,43,0,272,390
South Lake - Cockburn Central,267,164,36,7,89,5,1145,1710
Spearwood,220,166,16,0,85,0,901,1387
Success - Hammond Park,607,267,110,5,170,7,1854,3025
Yangebup,178,82,11,0,66,3,845,1189
Beeliar - Wattleup,202,106,25,0,65,3,1038,1443
Jandakot,29,8,5,0,12,0,216,271
East Fremantle,85,18,0,0,44,0,732,874
Fremantle,258,90,21,0,273,0,1740,2386
Fremantle - South,279,74,22,0,131,0,1551,2055
O'Connor (WA),0,0,0,0,0,0,0,0
Bertram - Wellard (West),638,374,56,8,153,13,1711,2946
Calista,105,71,22,0,82,0,800,1072
Hope Valley - Postans,0,0,0,0,0,0,4,0
Kwinana Industrial,0,0,0,0,0,0,0,4
Parmelia - Orelia,148,117,24,0,133,3,1159,1586
Casuarina - Wandi,152,66,15,0,49,0,658,937
Applecross - Ardross,292,133,26,0,63,0,824,1346
Bateman,102,64,8,0,13,0,243,434
Bicton - Palmyra,185,79,21,0,97,5,1611,1993
Booragoon,359,187,46,3,91,0,1105,1791
Bull Creek,199,126,33,3,19,3,465,859
Leeming,205,110,22,0,33,5,876,1239
Melville,242,80,23,0,73,3,1570,1988
Murdoch - Kardinya,358,186,39,0,47,0,776,1404
Willagee,77,44,9,0,44,0,575,751
Winthrop,170,79,11,0,17,0,332,605
Baldivis,555,199,35,3,405,5,4698,5904
Cooloongup,77,43,12,3,74,0,831,1035
Port Kennedy,137,46,9,0,112,0,1665,1968
Rockingham,158,104,38,4,146,0,1266,1711
Rockingham Lakes,0,0,0,0,0,0,0,0
Safety Bay - Shoalwater,81,40,6,0,69,0,1093,1294
Singleton - Golden Bay - Secret Harbour,180,44,0,0,137,0,2696,3054
Waikiki,138,83,14,0,87,4,1319,1651
Warnbro,83,37,11,3,104,0,1211,1450
Albany,126,79,15,3,72,0,1259,1561
Albany Region,12,7,0,0,21,0,292,333
Bayonet Head - Lower King,28,8,0,0,21,0,501,558
Denmark,41,8,3,5,53,0,468,571
Gnowangerup,15,9,0,0,41,0,301,369
Katanning,47,31,41,6,68,3,384,578
Kojonup,19,10,0,0,51,0,416,491
Little Grove - Elleker,17,8,0,0,3,0,275,304
McKail - Willyung,60,45,17,4,62,0,1127,1319
Plantagenet,15,16,5,3,33,0,420,496
Stirling Range National Park,0,0,0,0,0,0,0,0
Chittering,17,5,0,0,52,0,540,613
Cunderdin,22,30,0,0,41,0,349,434
Dowerin,15,6,0,0,29,0,410,456
Gingin - Dandaragan,37,56,40,6,72,0,685,907
Merredin,18,10,0,0,39,0,512,580
Moora,24,28,0,0,52,0,465,577
Mukinbudin,5,3,0,0,36,0,308,364
Northam,51,37,9,0,109,0,1042,1240
Toodyay,17,5,6,0,31,0,319,371
York - Beverley,11,14,0,0,51,0,399,483
Brookton,15,0,0,0,32,0,321,377
Kulin,18,13,0,0,40,0,463,531
Murray,20,11,4,0,21,0,260,311
Narrogin,42,19,0,0,43,0,416,522
Wagin,8,3,3,0,54,0,454,529
Broome,179,127,20,0,316,4,1907,2555
Derby - West Kimberley,252,228,12,0,143,5,589,1235
Halls Creek,108,75,8,0,118,10,234,553
Kununurra,106,48,5,0,146,18,891,1219
Roebuck,43,44,0,0,34,3,203,321
East Pilbara,162,74,12,0,135,0,367,746
Newman,64,53,6,0,95,4,576,798
Port Hedland,78,37,9,0,100,0,628,841
South Hedland,200,99,18,4,270,4,1143,1739
Ashburton (WA),142,45,9,0,187,0,1183,1563
Karratha,287,179,23,0,313,3,2202,3005
Roebourne,92,34,3,0,66,0,587,782
Esperance,64,25,3,0,134,0,1215,1449
Esperance Region,28,11,0,0,71,0,372,485
Carnarvon,70,35,25,9,100,0,445,680
Exmouth,45,24,3,0,75,0,537,684
Boulder,87,33,5,0,130,0,789,1043
Kalgoorlie,259,159,21,4,205,3,1572,2225
Kalgoorlie - North,135,60,10,0,109,4,1195,1507
Kalgoorlie Airport,0,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,41,14,3,0,74,5,469,614
Leinster - Leonora,146,117,23,0,101,17,261,664
Trafalgar (WA),0,0,0,0,0,0,0,0
Geraldton,99,77,9,4,118,4,993,1302
Geraldton - East,38,24,4,0,130,3,809,1013
Geraldton - North,49,20,0,0,70,0,914,1053
Geraldton - South,139,57,14,0,77,3,1135,1429
Irwin,13,9,0,0,23,0,316,360
Meekatharra,30,32,0,0,82,0,231,379
Morawa,20,6,4,0,42,0,367,429
Northampton - Mullewa - Greenough,21,7,0,0,61,0,507,596
Migratory - Offshore - Shipping (WA),6,0,0,0,3,0,3,14
No Usual Address (WA),71,56,17,0,240,7,445,838
Bridgewater - Gagebrook,14,3,0,0,91,0,878,987
Brighton - Pontville,4,7,0,0,29,0,745,785
Old Beach - Otago,20,9,0,0,17,0,542,584
Bellerive - Rosny,38,23,3,0,23,0,576,664
Cambridge,14,10,5,0,17,0,803,849
Geilston Bay - Risdon,17,8,0,0,7,0,403,428
Howrah - Tranmere,83,14,9,0,37,0,1120,1263
Lindisfarne - Rose Bay,46,14,4,0,26,0,716,808
Mornington - Warrane,24,17,11,0,25,0,594,679
Risdon Vale,10,0,0,0,54,0,309,377
Rokeby,21,12,5,0,41,0,880,957
South Arm,16,0,0,0,15,0,448,482
Austins Ferry - Granton,18,8,0,0,20,0,480,524
Berriedale - Chigwell,23,15,14,4,36,0,602,694
Claremont (Tas.),32,10,3,0,41,0,901,991
Derwent Park - Lutana,36,28,7,0,28,0,472,580
Glenorchy,96,67,45,22,77,0,1097,1404
Montrose - Rosetta,35,17,3,0,34,0,491,586
Moonah,57,48,35,11,51,0,555,755
New Norfolk,8,10,3,0,44,0,705,774
West Moonah,67,49,19,12,35,0,403,578
Kingston - Huntingfield,114,66,17,0,55,0,1315,1566
Kingston Beach - Blackmans Bay,71,32,0,0,43,0,1066,1214
Margate - Snug,42,6,0,0,29,0,934,1010
Mount Wellington,0,0,0,0,0,0,0,0
Taroona - Bonnet Hill,34,9,0,0,14,0,300,351
Hobart,157,108,24,0,115,3,848,1253
Lenah Valley - Mount Stuart,94,37,6,0,54,0,983,1180
Mount Nelson - Dynnyrne,80,72,12,0,28,0,404,593
New Town,81,45,18,3,53,0,642,837
Sandy Bay,240,313,45,6,81,4,830,1515
South Hobart - Fern Tree,81,29,8,0,44,0,687,850
West Hobart,76,40,3,3,49,0,747,915
Dodges Ferry - Lewisham,26,5,0,0,64,0,794,884
Sorell - Richmond,22,16,5,0,52,0,925,1015
Invermay,16,7,18,0,35,0,322,394
Kings Meadows - Punchbowl,18,12,3,0,40,0,490,568
Launceston,63,22,14,7,54,3,475,637
Legana,27,3,0,3,11,0,403,446
Mowbray,38,52,42,5,30,0,311,479
Newnham - Mayfield,82,86,51,13,74,0,837,1148
Newstead,36,15,4,7,29,0,529,619
Norwood (Tas.),18,3,0,0,18,0,376,417
Prospect Vale - Blackstone,22,8,0,0,36,0,683,748
Ravenswood,4,5,0,0,43,0,392,447
Riverside,42,25,3,0,22,0,652,756
South Launceston,33,13,8,8,38,0,558,662
Summerhill - Prospect,31,4,4,0,29,0,551,617
Trevallyn,27,6,0,0,26,0,517,574
Waverley - St Leonards,8,8,6,0,30,0,418,463
West Launceston,30,8,3,3,25,0,500,568
Youngtown - Relbia,10,5,4,0,27,0,503,557
Beauty Point - Beaconsfield,4,4,0,0,19,0,273,301
Deloraine,12,10,5,0,42,0,519,586
Grindelwald - Lanena,18,4,0,0,34,0,489,545
Hadspen - Carrick,4,5,0,0,17,0,381,406
Westbury,3,0,0,0,19,0,373,399
Dilston - Lilydale,14,0,0,0,29,0,383,420
George Town,11,8,0,0,58,0,625,706
Longford,5,0,0,0,18,0,367,398
Northern Midlands,7,0,0,0,47,0,355,406
Perth - Evandale,7,0,0,0,36,0,515,563
St Helens - Scamander,11,9,0,0,28,0,455,499
Flinders and Cape Barren Islands,0,0,0,0,8,0,72,83
Scottsdale - Bridport,15,10,0,0,45,0,583,656
Central Highlands,0,0,0,0,7,0,191,200
Derwent Valley,7,0,0,0,19,0,298,322
Southern Midlands,6,3,0,0,42,0,581,634
Wilderness - East,0,0,0,0,0,0,0,5
Bruny Island - Kettering,16,0,0,0,18,0,227,255
Cygnet,15,0,3,0,29,0,357,411
Geeveston - Dover,12,9,9,4,25,0,284,345
Huonville - Franklin,36,9,3,0,58,0,870,977
Forestier - Tasman,4,6,0,0,15,0,157,185
Triabunna - Bicheno,20,9,0,0,29,0,314,374
Acton - Upper Burnie,11,3,0,0,20,0,368,402
Burnie - Ulverstone Region,5,3,0,0,35,0,474,516
Burnie - Wivenhoe,19,7,0,0,28,0,399,455
Parklands - Camdale,36,17,4,0,22,0,647,726
Penguin - Sulphur Creek,12,0,0,0,30,0,512,557
Romaine - Havenview,11,6,0,0,13,0,393,422
Somerset,11,3,0,0,22,0,390,421
Ulverstone,11,6,0,0,23,0,675,714
West Ulverstone,3,5,0,0,27,0,375,405
Wynyard,5,7,3,0,41,0,575,623
Devonport,32,33,20,0,65,0,1440,1584
East Devonport,15,10,0,0,22,0,460,509
Latrobe,19,3,0,0,30,0,491,538
Miandetta - Don,15,9,8,0,17,0,414,464
Port Sorell,5,5,3,0,26,0,485,522
Quoiba - Spreyton,6,7,0,0,11,0,308,338
Sheffield - Railton,24,12,0,0,36,0,556,629
