SA2,National Government,State/Territory Government,Local Government,Private sector,Not stated,Not applicable,Total
Yankalilla,10,28,9,274,3,167,483
Grant,3,33,13,352,6,158,565
Kingston - Robe,3,17,5,231,3,97,358
Millicent,4,39,7,260,3,195,507
Naracoorte,5,67,4,452,6,218,748
Naracoorte Region,0,16,5,144,0,62,226
Penola,3,23,5,210,0,108,349
Tatiara,3,62,8,481,5,179,737
Wattle Range,0,22,3,175,4,123,323
Mount Gambier - East,11,154,19,1098,17,502,1798
Mount Gambier - West,13,129,19,958,5,521,1648
Barmera,10,60,8,358,6,197,632
Berri,5,52,3,253,3,184,498
Karoonda - Lameroo,3,35,11,160,0,93,299
Loxton,5,67,9,338,0,141,568
Loxton Region,0,18,6,83,0,57,162
Mannum,0,33,11,288,6,186,518
Murray Bridge,16,138,17,1068,9,772,2023
Murray Bridge Region,5,37,4,229,0,91,372
Renmark,4,42,6,266,5,214,534
Renmark Region,6,53,14,305,5,177,553
The Coorong,6,41,12,262,0,226,549
Waikerie,5,41,7,327,3,215,596
Migratory - Offshore - Shipping (SA),0,0,0,0,0,0,0
No Usual Address (SA),4,8,0,103,0,236,353
Augusta,0,50,15,371,4,192,635
Busselton,18,248,49,1759,9,1019,3110
Busselton Region,8,114,10,885,8,419,1455
Margaret River,7,100,20,914,6,430,1483
Australind - Leschenault,40,233,33,1279,15,844,2449
Capel,13,65,14,326,4,210,633
College Grove - Carey Park,13,58,3,420,7,352,854
Collie,10,97,11,455,0,442,1015
Dardanup,9,26,8,170,0,113,324
Davenport,0,0,0,0,0,0,0
Eaton - Pelican Point,35,149,14,856,9,541,1604
Harvey,7,79,14,505,9,403,1005
East Bunbury - Glen Iris,31,73,11,493,6,308,918
Waroona,7,25,17,210,6,178,436
Dalyellup,30,192,14,679,6,488,1410
Gelorup - Stratham,3,44,6,150,6,86,286
South Bunbury - Bunbury,33,140,23,811,9,490,1502
Withers - Usher,14,54,4,317,5,326,713
Bridgetown - Boyup Brook,10,59,15,332,0,202,612
Donnybrook - Balingup,10,50,16,299,5,252,617
Manjimup,0,51,20,328,0,212,616
Pemberton,5,42,6,239,3,149,441
Dawesville - Bouvard,12,61,12,433,5,335,855
Falcon - Wannanup,8,85,17,481,10,374,961
Greenfields,17,54,10,487,0,524,1095
Halls Head - Erskine,15,172,31,1046,7,738,2005
Mandurah,10,56,13,444,12,467,1001
Mandurah - East,10,38,6,281,0,224,554
Mandurah - North,37,199,34,1353,19,933,2583
Mandurah - South,3,42,14,456,5,458,978
Pinjarra,12,65,14,555,5,487,1137
City Beach,12,59,7,257,5,169,498
Claremont (WA),23,107,6,522,10,270,943
Cottesloe,22,101,4,538,8,233,913
Floreat,19,97,3,507,4,225,867
Mosman Park - Peppermint Grove,38,140,10,752,13,411,1357
Nedlands - Dalkeith - Crawley,43,248,11,907,4,778,1991
Swanbourne - Mount Claremont,38,98,5,460,0,258,866
Kings Park (WA),0,0,0,0,0,3,5
Mount Hawthorn - Leederville,71,277,14,1218,10,429,2016
Mount Lawley - Inglewood,99,362,32,1582,17,681,2772
North Perth,46,193,14,947,5,328,1538
Perth City,197,559,42,4217,43,2684,7740
Subiaco - Shenton Park,64,368,10,1385,12,771,2603
Wembley - West Leederville - Glendalough,81,390,20,1891,20,975,3373
Bassendean - Eden Hill - Ashfield,53,274,31,1273,12,654,2299
Bayswater - Embleton - Bedford,111,497,44,2101,14,1015,3783
Maylands,67,352,27,1521,14,812,2789
Morley,67,275,24,1838,21,1082,3298
Noranda,21,97,4,499,9,264,901
Chidlow,3,27,8,172,4,115,330
Glen Forrest - Darlington,12,105,10,368,0,226,724
Helena Valley - Koongamia,17,74,8,398,0,203,701
Malmalling - Reservoir,0,0,0,0,0,0,0
Mundaring,13,151,27,717,11,473,1403
Swan View - Greenmount - Midvale,20,114,14,805,15,502,1463
Avon Valley National Park,0,0,0,0,0,0,0
Ballajura,48,202,16,1270,26,837,2391
Beechboro,39,227,22,1458,19,1321,3092
Bullsbrook,12,44,5,360,11,270,699
Ellenbrook,99,533,42,3680,32,2170,6554
Gidgegannup,7,20,4,174,0,95,302
Hazelmere - Guildford,17,75,9,357,10,188,647
Lockridge - Kiara,42,160,20,964,8,577,1772
Malaga,0,0,0,0,0,0,0
Melaleuca - Lexia,0,0,0,0,0,0,0
Middle Swan - Herne Hill,9,64,4,320,6,264,665
Midland - Guildford,25,124,10,769,9,607,1545
Stratton - Jane Brook,14,97,14,565,7,320,1011
The Vines,14,120,15,866,12,428,1449
Walyunga National Park,0,0,0,0,0,0,0
Craigie - Beldon,42,183,15,923,5,486,1652
Currambine - Kinross,40,185,28,1022,4,532,1805
Duncraig,35,219,16,1036,10,445,1760
Greenwood - Warwick,55,277,17,999,3,468,1819
Heathridge - Connolly,31,171,15,834,11,417,1473
Hillarys,26,130,14,674,5,317,1157
Iluka - Burns Beach,19,112,14,608,0,246,1000
Joondalup - Edgewater,50,193,28,1075,15,528,1894
Kingsley,36,211,15,849,3,388,1509
Mullaloo - Kallaroo,32,121,19,749,12,390,1324
Ocean Reef,21,88,4,450,3,220,781
Padbury,25,161,17,670,9,348,1224
Sorrento - Marmion,16,120,13,553,3,221,927
Woodvale,30,133,8,508,4,242,928
Balcatta - Hamersley,55,267,20,1337,16,678,2378
Balga - Mirrabooka,23,194,8,1496,36,1478,3243
Dianella,75,308,19,1783,18,978,3176
Herdsman,0,0,0,0,0,0,0
Innaloo - Doubleview,86,418,29,1933,13,811,3288
Karrinyup - Gwelup - Carine,56,324,24,1480,12,648,2549
Nollamara - Westminster,62,304,19,2071,33,1266,3750
Osborne Park Industrial,0,0,0,0,0,0,0
Scarborough,89,342,19,2097,19,739,3310
Stirling - Osborne Park,44,212,17,1351,13,617,2248
Trigg - North Beach - Watermans Bay,32,101,12,581,3,227,948
Tuart Hill - Joondanna,77,282,26,1497,14,692,2584
Wembley Downs - Churchlands - Woodlands,42,205,7,1002,0,449,1707
Yokine - Coolbinia - Menora,59,280,15,1387,11,706,2462
Alexander Heights - Koondoola,27,99,3,769,16,657,1567
Butler - Merriwa - Ridgewood,66,309,26,1893,14,1493,3799
Carramar,67,261,24,1723,15,936,3019
Clarkson,39,156,15,1261,20,821,2318
Girrawheen,13,72,4,594,16,551,1251
Madeley - Darch - Landsdale,100,444,42,2460,21,1191,4251
Marangaroo,19,145,11,763,17,494,1457
Mindarie - Quinns Rocks - Jindalee,25,221,19,1299,8,761,2336
Neerabup National Park,0,0,0,0,0,0,0
Tapping - Ashby - Sinagra,40,205,23,1205,9,613,2098
Wanneroo,74,386,60,2319,27,1081,3945
Alkimos - Eglinton,25,151,20,955,10,521,1677
Carabooda - Pinjar,0,4,0,37,0,38,86
Two Rocks,0,19,6,209,3,165,402
Yanchep,16,96,7,706,6,543,1369
Armadale - Wungong - Brookdale,32,214,17,1180,8,1293,2745
Ashendon - Lesley,0,0,0,0,0,3,0
Camillo - Champion Lakes,14,63,7,340,4,312,738
Forrestdale - Harrisdale - Piara Waters,98,487,48,2321,22,1218,4193
Kelmscott,21,133,15,623,7,600,1401
Mount Nasura - Mount Richon - Bedfordale,12,102,13,453,3,293,881
Roleystone,19,90,14,470,3,241,841
Seville Grove,29,144,16,872,8,711,1778
Belmont - Ascot - Redcliffe,45,182,12,1269,20,808,2337
East Victoria Park - Carlisle,125,376,29,1758,16,950,3252
Kewdale Commercial,0,0,0,0,0,0,0
Perth Airport,0,0,0,0,0,8,8
Rivervale - Kewdale - Cloverdale,80,344,25,2306,33,1711,4502
Victoria Park - Lathlain - Burswood,98,250,32,1560,22,891,2846
Bentley - Wilson - St James,92,240,32,1481,19,1229,3097
Canning Vale - West,36,136,12,701,4,374,1260
Canning Vale Commercial,0,0,0,0,0,0,0
Cannington - Queens Park,68,232,14,1762,27,1419,3532
Parkwood - Ferndale - Lynwood,64,225,25,1023,11,648,1990
Riverton - Shelley - Rossmoyne,53,162,17,780,14,497,1527
Welshpool,0,0,0,0,0,0,0
Willetton,69,281,25,1079,17,771,2240
Beckenham - Kenwick - Langford,62,207,20,1466,36,1249,3038
Canning Vale - East,86,364,31,1901,29,1154,3572
Gosnells,35,189,28,1327,16,1359,2964
Huntingdale - Southern River,58,324,33,1694,25,1083,3216
Maddington - Orange Grove - Martin,27,103,14,862,13,864,1889
Thornlie,47,303,22,1618,20,1240,3246
Forrestfield - Wattle Grove,66,273,32,1628,22,937,2956
High Wycombe,37,156,6,1003,3,633,1838
Kalamunda - Maida Vale - Gooseberry Hill,34,186,29,825,7,463,1544
Lesmurdie - Bickley - Carmel,15,149,24,592,5,330,1118
Byford,43,272,34,1589,22,941,2906
Mundijong,11,69,16,392,4,249,735
Serpentine - Jarrahdale,5,49,15,212,0,170,451
Como,87,303,25,1348,13,633,2409
Manning - Waterford,55,136,8,665,6,447,1316
South Perth - Kensington,77,256,18,1350,7,774,2485
Banjup,78,462,28,1731,15,840,3148
Bibra Industrial,0,0,0,0,0,0,0
Bibra Lake,0,0,0,0,0,0,0
Coogee,24,122,11,676,7,303,1154
Coolbellup,34,144,20,606,9,395,1208
Hamilton Hill,41,156,18,816,3,534,1569
Henderson,0,0,0,0,0,0,0
North Coogee,13,37,5,220,3,116,390
South Lake - Cockburn Central,39,210,15,910,14,527,1710
Spearwood,40,109,9,753,7,473,1387
Success - Hammond Park,58,359,17,1649,13,928,3025
Yangebup,30,124,8,627,15,388,1189
Beeliar - Wattleup,34,175,12,785,13,429,1443
Jandakot,3,28,3,149,0,86,271
East Fremantle,25,101,3,515,13,223,874
Fremantle,80,264,17,1275,13,734,2386
Fremantle - South,74,246,34,1095,11,599,2055
O'Connor (WA),0,0,0,0,0,0,0
Bertram - Wellard (West),63,305,27,1535,19,1001,2946
Calista,22,69,3,464,5,515,1072
Hope Valley - Postans,0,0,0,0,0,0,0
Kwinana Industrial,0,0,0,7,0,0,4
Parmelia - Orelia,24,91,12,715,5,726,1586
Casuarina - Wandi,16,115,11,518,5,267,937
Applecross - Ardross,45,132,7,740,3,410,1346
Bateman,19,49,5,234,0,125,434
Bicton - Palmyra,61,287,25,1091,5,525,1993
Booragoon,60,204,15,953,5,555,1791
Bull Creek,26,117,13,440,9,261,859
Leeming,45,150,7,708,9,318,1239
Melville,70,259,25,1136,10,486,1988
Murdoch - Kardinya,67,151,16,722,7,443,1404
Willagee,18,95,4,404,0,226,751
Winthrop,29,71,0,325,4,172,605
Baldivis,143,572,54,2965,30,2136,5904
Cooloongup,15,58,10,464,3,481,1035
Port Kennedy,42,159,27,960,5,774,1968
Rockingham,80,123,16,793,11,690,1711
Rockingham Lakes,0,0,0,0,0,0,0
Safety Bay - Shoalwater,34,129,15,603,3,492,1294
Singleton - Golden Bay - Secret Harbour,71,364,25,1491,10,1098,3054
Waikiki,32,135,14,809,9,645,1651
Warnbro,40,111,14,661,9,625,1450
Albany,19,185,18,847,13,471,1561
Albany Region,0,34,6,180,0,107,333
Bayonet Head - Lower King,6,64,5,310,3,167,558
Denmark,4,61,12,284,4,210,571
Gnowangerup,4,41,15,192,0,120,369
Katanning,4,79,9,244,0,241,578
Kojonup,0,53,14,240,3,179,491
Little Grove - Elleker,0,40,4,197,0,67,304
McKail - Willyung,8,123,16,697,10,465,1319
Plantagenet,0,45,11,239,0,202,496
Stirling Range National Park,0,0,0,0,0,0,0
Chittering,4,40,10,325,3,218,613
Cunderdin,0,72,9,184,0,175,434
Dowerin,5,60,24,211,0,158,456
Gingin - Dandaragan,8,73,8,478,8,322,907
Merredin,0,73,21,284,4,197,580
Moora,3,73,18,275,0,201,577
Mukinbudin,6,38,20,158,3,145,364
Northam,15,159,22,542,6,495,1240
Toodyay,5,33,14,162,0,159,371
York - Beverley,7,64,11,224,0,171,483
Brookton,0,46,20,143,3,154,377
Kulin,3,76,30,254,0,169,531
Murray,3,20,7,142,0,137,311
Narrogin,0,90,11,226,0,196,522
Wagin,4,77,15,241,0,181,529
Broome,55,388,34,1262,16,797,2555
Derby - West Kimberley,13,144,19,341,3,701,1235
Halls Creek,10,35,3,115,4,386,553
Kununurra,26,192,17,501,12,474,1219
Roebuck,0,27,5,106,0,180,321
East Pilbara,0,15,3,375,5,343,746
Newman,4,91,16,405,0,278,798
Port Hedland,12,87,21,454,0,264,841
South Hedland,7,198,26,767,10,730,1739
Ashburton (WA),4,135,55,837,7,525,1563
Karratha,38,358,50,1452,14,1086,3005
Roebourne,4,70,17,379,9,312,782
Esperance,16,167,22,762,3,476,1449
Esperance Region,0,42,8,243,0,192,485
Carnarvon,13,72,15,309,3,270,680
Exmouth,12,75,19,353,4,221,684
Boulder,4,67,3,515,3,449,1043
Kalgoorlie,23,248,23,1134,13,784,2225
Kalgoorlie - North,24,212,30,746,12,482,1507
Kalgoorlie Airport,0,0,0,0,0,0,0
Kambalda - Coolgardie - Norseman,3,39,22,259,3,290,614
Leinster - Leonora,6,42,19,179,6,412,664
Trafalgar (WA),0,0,0,0,0,0,0
Geraldton,12,135,18,621,12,502,1302
Geraldton - East,13,90,7,476,3,430,1013
Geraldton - North,10,157,5,527,3,351,1053
Geraldton - South,18,235,11,731,11,415,1429
Irwin,0,38,7,173,0,133,360
Meekatharra,4,31,11,136,3,191,379
Morawa,0,56,20,191,5,157,429
Northampton - Mullewa - Greenough,4,60,12,280,0,236,596
Migratory - Offshore - Shipping (WA),0,0,0,9,0,0,14
No Usual Address (WA),7,22,0,278,9,525,838
Bridgewater - Gagebrook,7,24,6,381,5,571,987
Brighton - Pontville,20,85,12,486,3,182,785
Old Beach - Otago,32,81,14,370,5,93,584
Bellerive - Rosny,23,134,8,350,4,147,664
Cambridge,49,183,3,479,4,126,849
Geilston Bay - Risdon,33,103,3,240,0,58,428
Howrah - Tranmere,68,264,20,698,3,210,1263
Lindisfarne - Rose Bay,38,162,8,423,5,175,808
Mornington - Warrane,29,72,9,327,3,243,679
Risdon Vale,7,23,0,178,6,167,377
Rokeby,37,65,14,466,6,374,957
South Arm,23,95,4,247,6,106,482
Austins Ferry - Granton,18,59,6,309,3,133,524
Berriedale - Chigwell,24,66,3,361,5,240,694
Claremont (Tas.),31,102,13,538,8,298,991
Derwent Park - Lutana,15,64,6,291,0,199,580
Glenorchy,41,136,8,667,13,540,1404
Montrose - Rosetta,26,61,8,310,4,167,586
Moonah,25,85,10,360,0,273,755
New Norfolk,3,63,7,389,8,302,774
West Moonah,28,60,3,304,3,186,578
Kingston - Huntingfield,73,253,17,809,12,404,1566
Kingston Beach - Blackmans Bay,69,205,12,642,6,284,1214
Margate - Snug,47,138,15,556,3,247,1010
Mount Wellington,0,0,0,0,0,0,0
Taroona - Bonnet Hill,27,81,4,170,0,70,351
Hobart,58,193,8,634,0,359,1253
Lenah Valley - Mount Stuart,69,242,11,629,5,232,1180
Mount Nelson - Dynnyrne,30,115,0,267,3,181,593
New Town,40,150,11,399,3,246,837
Sandy Bay,65,203,3,687,9,544,1515
South Hobart - Fern Tree,51,184,14,404,0,197,850
West Hobart,38,177,8,474,0,216,915
Dodges Ferry - Lewisham,25,94,12,473,10,273,884
Sorell - Richmond,37,123,13,578,7,262,1015
Invermay,7,44,4,182,0,155,394
Kings Meadows - Punchbowl,4,66,5,304,0,187,568
Launceston,13,105,6,332,0,175,637
Legana,6,69,11,255,3,91,446
Mowbray,3,34,0,210,0,231,479
Newnham - Mayfield,18,88,10,484,4,550,1148
Newstead,10,108,3,327,0,171,619
Norwood (Tas.),4,67,0,252,5,90,417
Prospect Vale - Blackstone,20,106,7,423,0,193,748
Ravenswood,3,12,0,179,4,251,447
Riverside,12,123,15,393,3,209,756
South Launceston,10,113,7,343,3,190,662
Summerhill - Prospect,12,75,8,355,5,160,617
Trevallyn,15,112,0,302,0,136,574
Waverley - St Leonards,8,42,4,245,9,166,463
West Launceston,5,113,0,299,0,147,568
Youngtown - Relbia,7,83,6,317,0,138,557
Beauty Point - Beaconsfield,0,15,4,137,0,135,301
Deloraine,5,47,7,293,6,233,586
Grindelwald - Lanena,5,68,9,295,5,155,545
Hadspen - Carrick,5,56,4,235,5,103,406
Westbury,4,38,3,209,5,142,399
Dilston - Lilydale,6,54,0,231,4,125,420
George Town,5,45,10,295,0,355,706
Longford,3,34,3,200,4,154,398
Northern Midlands,0,37,5,195,0,169,406
Perth - Evandale,3,58,10,324,0,159,563
St Helens - Scamander,4,58,12,233,0,192,499
Flinders and Cape Barren Islands,0,15,5,28,0,29,83
Scottsdale - Bridport,9,51,4,301,8,276,656
Central Highlands,4,23,0,93,5,83,200
Derwent Valley,13,27,5,161,0,117,322
Southern Midlands,14,60,9,334,3,217,634
Wilderness - East,0,0,0,0,0,0,5
Bruny Island - Kettering,5,30,8,131,4,79,255
Cygnet,13,28,7,182,0,178,411
Geeveston - Dover,3,26,5,168,3,143,345
Huonville - Franklin,25,114,22,506,8,307,977
Forestier - Tasman,0,19,6,83,0,78,185
Triabunna - Bicheno,3,28,13,214,0,111,374
Acton - Upper Burnie,12,31,0,192,4,156,402
Burnie - Ulverstone Region,6,55,8,287,0,163,516
Burnie - Wivenhoe,4,33,3,221,5,194,455
Parklands - Camdale,8,90,8,346,8,259,726
Penguin - Sulphur Creek,17,72,14,283,4,171,557
Romaine - Havenview,7,20,5,245,0,142,422
Somerset,10,32,4,227,3,146,421
Ulverstone,7,59,12,410,5,220,714
West Ulverstone,6,31,6,199,4,162,405
Wynyard,10,56,6,314,7,239,623
Devonport,11,138,11,831,10,580,1584
East Devonport,6,26,0,230,3,246,509
Latrobe,6,44,0,318,6,172,538
Miandetta - Don,5,56,12,258,0,133,464
Port Sorell,11,53,0,306,0,151,522
Quoiba - Spreyton,0,47,0,205,4,82,338
Sheffield - Railton,6,57,3,330,3,220,629
Turners Beach - Forth,0,59,5,198,0,69,333
King Island,0,21,5,100,5,44,181
North West,5,24,0,282,0,133,442
Smithton,3,22,4,259,6,129,420
Waratah,7,27,6,174,0,145,360
West Coast (Tas.),0,38,6,223,4,230,497
Wilderness - West,0,0,0,0,0,0,0
Migratory - Offshore - Shipping (Tas.),0,3,0,4,0,0,3
No Usual Address (Tas.),0,8,0,38,0,69,120
Darwin Airport,0,0,0,0,0,0,3
Darwin City,65,153,10,750,7,495,1472
East Point,0,0,0,0,0,0,5
Fannie Bay - The Gardens,39,106,4,285,3,135,577
Larrakeyah,65,95,0,336,0,214,713
Ludmilla - The Narrows,36,58,5,160,5,157,420
Parap,24,87,0,257,3,185,562
Stuart Park,50,137,5,469,4,235,904
Woolner - Bayview - Winnellie,31,86,0,275,3,118,513
Alawa,17,50,8,152,3,120,352
Anula,25,75,5,156,0,92,350
Berrimah,4,14,0,68,0,75,161
Brinkin - Nakara,40,130,3,238,3,169,584
Buffalo Creek,0,0,0,0,0,0,0
Charles Darwin,0,0,0,0,0,0,0
Coconut Grove,33,99,0,273,8,179,595
East Arm,0,0,0,4,0,0,4
Jingili,23,52,4,125,4,64,261
Karama,38,143,0,323,11,278,790
Leanyer,31,163,0,341,3,162,708
Lyons (NT),97,191,4,436,10,240,973
Malak - Marrara,32,120,0,286,4,229,671
Millner,22,80,8,220,5,117,456
Moil,16,57,0,136,3,87,297
Nightcliff,43,154,4,324,5,215,755
Rapid Creek,24,135,0,293,4,195,648
Tiwi,23,125,0,154,0,104,410
Wagaman,7,47,0,166,3,115,345
Wanguri,18,59,0,127,5,74,271
Wulagi,21,76,4,174,7,105,389
Howard Springs,41,54,3,208,5,178,493
Humpty Doo,41,246,17,644,11,313,1268
Koolpinyah,3,0,0,0,0,0,3
Virginia,11,68,6,220,0,116,420
Weddell,19,76,3,270,4,218,590
Bakewell,32,94,0,305,3,142,586
Driver,27,63,3,223,7,155,480
Durack - Marlow Lagoon,51,132,6,364,6,231,783
Gray,19,73,0,244,3,207,542
Moulden,21,64,3,185,4,188,456
Palmerston - North,59,141,5,370,3,208,784
Palmerston - South,37,118,3,346,3,169,667
Rosebery - Bellamack,91,205,0,609,6,399,1314
Woodroffe,29,89,4,244,5,176,545
Charles,20,135,5,256,3,263,693
East Side,37,190,8,419,7,269,924
Flynn (NT),29,135,10,310,8,244,737
Larapinta,31,177,16,351,0,212,788
Mount Johns,34,173,11,310,4,217,749
Petermann - Simpson,8,14,4,250,7,181,456
Ross,12,38,3,116,6,116,288
Sandover - Plenty,5,32,15,98,0,381,528
Tanami,12,34,20,81,0,323,467
Yuendumu - Anmatjere,5,27,14,42,0,269,364
Barkly,0,31,14,81,5,248,380
Tennant Creek,8,74,3,135,7,213,446
Alligator,20,56,17,253,11,227,575
Daly,6,19,3,58,0,152,244
Thamarrurr,0,12,8,82,0,342,450
Tiwi Islands,5,10,12,91,7,266,398
West Arnhem,6,43,13,105,14,619,801
Anindilyakwa,4,24,13,123,4,264,444
East Arnhem,5,57,22,212,18,904,1213
Nhulunbuy,26,109,17,227,4,139,524
Elsey,3,34,18,58,0,205,324
Gulf,15,28,14,107,17,404,589
Katherine,91,233,32,578,0,616,1542
Victoria River,8,20,16,82,6,224,349
Migratory - Offshore - Shipping (NT),0,0,0,0,0,4,4
No Usual Address (NT),3,22,0,87,4,300,420
Aranda,102,25,0,99,0,57,279
Belconnen,368,99,3,599,6,425,1497
Bruce,354,116,0,484,7,297,1261
Charnwood,92,38,0,215,5,146,496
Cook,155,39,0,146,0,75,419
Dunlop,351,162,0,480,8,233,1235
Evatt,221,92,0,288,8,167,781
Florey,160,68,0,270,5,171,669
Flynn (ACT),134,46,0,178,3,86,459
Fraser,72,29,0,92,0,50,254
Giralang,151,60,0,199,3,104,512
Gooromon,0,0,0,0,0,0,0
Hawker,95,45,0,129,0,85,354
Higgins,133,47,0,184,6,94,455
Holt,194,70,0,303,0,168,735
Kaleen,269,98,0,384,7,202,956
Latham,169,66,0,218,9,126,585
Lawson,8,4,0,7,0,8,24
Macgregor (ACT),371,176,0,550,6,257,1358
Macquarie,138,39,0,145,0,103,424
McKellar,69,33,0,138,0,79,321
Melba,137,44,4,155,0,93,440
Page,142,52,0,155,0,105,458
Scullin,133,47,0,156,0,127,461
Spence,102,43,0,136,0,95,381
Weetangera,105,35,0,96,0,47,284
Molonglo Corridor,0,0,0,0,0,0,0
West Belconnen,0,0,0,0,0,0,0
Hume,0,0,0,0,0,19,20
Kowen,0,0,0,5,0,0,6
Canberra East,9,4,0,33,0,29,74
Canberra Airport,7,0,0,9,0,0,20
Majura,4,0,0,4,0,9,16
Amaroo,282,78,0,367,5,184,919
Bonner,361,129,0,609,22,372,1493
Casey,385,157,4,587,13,267,1413
Crace,330,102,3,420,10,185,1050
Forde,263,88,0,329,3,157,843
Franklin,369,133,4,656,3,352,1512
Gungahlin,249,90,0,532,4,340,1211
Hall,3,0,0,13,0,9,26
Harrison,411,135,8,721,9,364,1641
Mitchell,0,0,0,0,0,0,0
Ngunnawal,462,214,0,870,13,446,2000
Nicholls,206,74,4,287,4,157,728
Palmerston,236,85,0,324,9,222,868
Gungahlin - East,0,0,0,0,0,0,0
Gungahlin - West,0,0,0,0,0,0,0
Jacka,36,17,0,69,4,56,175
Kenny,0,0,0,0,0,0,4
Moncrieff,4,0,0,15,0,8,25
Taylor,0,0,0,0,0,0,0
Throsby,0,0,0,0,0,0,0
Acton,24,0,0,24,0,156,205
Ainslie,259,59,0,241,0,156,714
Braddon,502,99,0,447,4,279,1328
Civic,213,42,0,202,4,207,668
Dickson,152,37,0,136,8,109,434
Downer,173,66,5,222,4,145,616
Hackett,141,39,0,136,0,89,398
Lyneham,304,85,0,331,0,218,942
O'Connor (ACT),298,60,4,263,3,179,815
Turner,335,65,4,281,0,200,882
Watson,401,83,0,399,13,237,1125
Black Mountain,0,0,0,0,0,0,0
Campbell,160,23,0,121,0,93,395
Duntroon,67,11,0,35,0,45,153
Parkes (ACT) - North,0,0,0,0,0,0,0
Reid,57,21,0,73,3,60,225
Russell,0,0,0,0,0,0,0
Deakin,109,28,0,111,0,54,303
Forrest,83,15,0,91,0,55,245
Griffith (ACT),298,48,0,256,0,158,762
Lake Burley Griffin,0,0,0,0,0,0,0
Narrabundah,293,82,0,292,4,217,888
Parkes (ACT) - South,0,0,0,0,0,0,0
Red Hill (ACT),90,30,0,120,4,78,334
Yarralumla,64,24,0,109,0,69,269
Barton,150,14,0,89,7,52,316
Fyshwick,0,0,0,0,0,0,3
Kingston (ACT),560,106,0,321,0,160,1150
Banks,237,92,0,339,12,162,841
Bonython,147,61,0,218,7,111,539
Calwell,221,88,0,302,8,158,775
Chisholm,179,78,0,267,6,149,682
Conder,177,78,0,250,8,137,654
Fadden,96,51,0,111,0,40,304
Gilmore,113,39,0,162,0,96,407
Gordon (ACT),272,132,4,431,9,194,1037
Gowrie (ACT),111,49,3,143,0,85,386
Greenway,87,20,0,113,4,113,340
Isabella Plains,176,83,0,270,0,138,666
Kambah,524,224,0,736,12,434,1929
Macarthur,55,21,0,66,0,25,166
Monash,171,97,0,249,0,143,667
Mount Taylor,0,0,0,0,0,0,0
Oxley (ACT),42,31,0,79,0,51,206
Richardson,112,50,0,197,3,100,468
Theodore,147,55,4,234,0,111,551
Tuggeranong,0,0,0,0,0,0,0
Wanniassa,271,127,0,372,7,216,991
Tuggeranong - West,0,0,0,0,0,0,0
Chapman,77,39,0,103,0,31,254
Duffy,148,54,0,161,3,69,439
Fisher,142,52,0,158,0,85,436
Holder,121,55,5,129,5,49,362
Rivett,151,62,0,174,5,97,477
Stirling,86,24,0,80,0,57,249
Waramanga,140,52,0,108,3,77,377
Weston,150,62,6,151,0,97,459
Scrivener,0,0,0,0,0,0,0
Chifley,110,42,0,164,0,77,402
Curtin,199,78,0,251,5,107,643
Farrer,103,51,5,137,3,59,361
Garran,92,106,0,130,6,114,451
Hughes,106,40,0,99,0,75,325
Isaacs,62,26,0,91,4,33,219
Lyons (ACT),112,56,0,182,3,145,493
Mawson,116,54,0,191,3,126,485
O'Malley,14,4,0,36,0,27,80
Pearce,96,36,0,113,0,46,295
Phillip,160,186,0,265,7,155,778
Torrens,64,37,0,113,0,54,266
Arboretum,0,0,0,0,0,0,0
Coombs,98,65,0,180,0,92,443
Denman Prospect,0,0,0,0,0,0,0
Molonglo,0,0,0,0,0,0,0
Molonglo - North,0,0,0,0,0,0,0
Wright,231,106,0,273,10,127,738
ACT - South West,21,15,0,39,0,24,99
Namadgi,4,0,0,6,0,4,10
Migratory - Offshore - Shipping (ACT),0,0,0,0,0,0,0
No Usual Address (ACT),15,5,0,27,0,34,77
Christmas Island,7,25,10,92,0,72,208
Cocos (Keeling) Islands,3,10,3,22,0,30,72
Jervis Bay,4,0,0,16,0,31,56
Norfolk Island,3,11,5,143,3,25,189
Migratory - Offshore - Shipping (OT),0,0,0,0,0,0,0
No Usual Address (OT),0,0,0,8,0,0,8
Total,105199,324310,31851,1773809,23546,1039933,3298649
